"Article","Web Description","Brand","Type","Pack Qty","DQ Score"
"411716","Wilko Pocket Puzzles Crosswords","Wilko","Puzzle Books","1",1
"411717","Wilko Pocket Puzzles Sudoku","Wilko","Puzzle Books","1",1
"411718","Wilko Pocket Puzzles Wordsearch","Wilko","Puzzle Books","1",1
"411719","Wilko Pocket Puzzles Kriss Kross","Wilko","Puzzle Books","1",1
"411720","Wilko Pocket Puzzles Brain Training Teasers","Wilko","Puzzle Books","1",1
"411728","Wilko Crosswords Large Print","Wilko","Puzzle Books","1",1
"411730","Wilko Spot The Difference","Wilko","Puzzle Books","1",1
"411732","Wilko Number Fun Sudoku","Wilko","Puzzle Books","1",1
"411733","Wilko Mind Melting Crosswords","Wilko","Puzzle Books","1",1
"411734","Wilko Puzzle Tastic Wordsearch","Wilko","Puzzle Books","1",1
