"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"444885","Scholl Light Legs Small","Scholl","Tights",NA,NA,"2",NA,0.775
"134592","Wilko Tights 15 Denier Natural Regular 3pk","Wilko","Tights","Cream",NA,"3pk","Regular",0.941666666666667
"134594","Wilko Sheer Tights 15 Denier Barely Black Large3pk","Wilko","Tights","Black",NA,"3pk","Large",0.941666666666667
"134595","Wilko Tights Mink 15 Denier Large 3pk","Wilko","Tights","Brown",NA,"3pk","Large",0.941666666666667
"179209","Wilko Opaque Tights Black 40 Denier Large 2pk","Wilko","Tights",NA,NA,"2pk","Large",0.883333333333333
"179210","Wilko Opaque Tights Black 40 Denier Regular 2pk","Wilko","Tights",NA,NA,"2pk","Regular",0.883333333333333
"179212","Wilko Knee Highs Natural 15 Denier One Size 3pk","Wilko","Knee High","Cream",NA,"3pk","41824",0.941666666666667
"179252","Wilko Knee Highs Barely Black 15 Denier One Size3pk","Wilko","Knee High","Black",NA,"3pk","41824",0.941666666666667
"179262","Wilko Tights 15 Denier Large Sweet Pepper 3pk","Wilko","Tights","Red",NA,"3pk","Large",0.941666666666667
"179264","Wilko Tights 15 Denier Regular Sweet Pepper 3pk","Wilko","Tights","Red",NA,"3pk","Regular",0.941666666666667
"179274","Wilko Ankle High Barely Black 15 Denier One Size3pk","Wilko","Ankle High",NA,NA,"3pk","One Size",0.883333333333333
"246845","Wilko Hold Up Lace Top Sheer Natural One Size","Wilko","Hold Up's","Cream",NA,NA,"One Size",0.883333333333333
"250737","Wilko Fashion Hold Ups Lace Black","Wilko","Hold Up's","Black",NA,NA,"One Size",0.883333333333333
"309946","Wilko Opaque Tights 80 Denier Large 1pk","Wilko","Tights",NA,NA,"1pk","Large",0.883333333333333
"309948","Wilko Opaque Tights 80 Denier Medum 1pk","Wilko","Tights",NA,NA,"1pk","Medium",0.883333333333333
"340560","Wilko Opaque Tights with Lycra 40 Denier Large 3pk","Wilko","Tights",NA,NA,"3pk",NA,0.825
"340561","Wilko Opaque Tights with Lycra 60 Denier Medium3pk","Wilko","Tights","Black",NA,"3pk",NA,0.883333333333333
"340562","Wilko Opaque Tights with Lycra 60 Denier Large 3pk","Wilko","Tights",NA,NA,"3pk",NA,0.825
"340568","Wilko Opaque Tights with Lycra 80 Denier Medium3pk","Wilko","Tights",NA,NA,"3pk",NA,0.825
"340569","Wilko Opaque Tights with Lycra 80 Denier Large 3pk","Wilko","Tights","Black",NA,"3pk",NA,0.883333333333333
"340735","Wilko Knee High with Lycra 40 Denier 3pk","Wilko","Tights",NA,NA,"3pk",NA,0.825
"340736","Wilko Ankle High 40 Denier with Lycra 3pk","Wilko","Ankle High",NA,NA,"3pk",NA,0.825
"352100","Wilko Tights Soft 20 Denier Black Large 1pk","Wilko","Tights",NA,NA,"1","medium",0.883333333333333
"444604","Wilko Opaque Tights with Lycra 40 Denier XL 3pk","Wilko","Tights",NA,NA,NA,NA,0.766666666666667
"444605","Wilko Opaque Tights with Lycra 60 Denier XL 3pk","Wilko","Tights",NA,NA,NA,NA,0.766666666666667
"444606","Wilko Opaque Tights with Lycra 80 Denier XL 3pk","Wilko","Tights",NA,NA,"1",NA,0.825
"453254","Wilko Tights Lycra MoisturisingNatural 15Denier Medium 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453255","Wilko Tights Lycra Moisturising Finish Natural15D Large 5pk","Wilko","Tights ",NA,NA,"5",NA,0.825
"453256","Wilko Tights Lycra Moisturising Finish Natural15D Extra Large 5pk","Wilko","Tights ",NA,NA,"5",NA,0.825
"453257","Wilko Tights Lycra Moisturising Finish Black15D Medium 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453258","Wilko Matt Appearance Tights Moisturising Finish15 Denier Black 5pk L","Wilko","Tights",NA,NA,"5",NA,0.825
"453259","Wilko Matt Appearance Tights Moisturising Finish15 Denier Black 5pk XL","Wilko","Tights ",NA,NA,"5",NA,0.825
