"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","DQ Score"
"424698","BCE Multi Games Table Pool/Tennis 6ft","BCE","Games Tables",NA,NA,"1",NA,0.825
"424703","BCE Black Cat Pool Table 7ft","BCE","Games Tables","Black",NA,"1",NA,0.883333333333333
"424705","BCE Air Raider Air Hockey Table 5ft","BCE","Games Tables",NA,"220/240V Fan Motor","1",NA,0.883333333333333
"424706","BCE Viper Air Hockey Table 6ft","BCE","Games Tables","Black","220/240V Fan Motor","1",NA,0.941666666666667
"424712","BCE Table Tennis Top 6ft","BCE","Games Tables","Blue","220/240V Fan Motor","1",NA,0.941666666666667
"424713","BCE Table Tennis Table 6ft","BCE","Games Tables","Blue","220/240V Fan Motor","1",NA,0.941666666666667
"425821","Disc Deluxe Target and Dart Throwing Game","Buitenspeel","Garden Games","Multi",NA,"1","6 years +",0.891666666666667
"425822","Giant Playing Cards","Buitenspeel","Card Games","Multi",NA,"1","8 years +",0.891666666666667
"425824","Tin Throwing Game","Buitenspeel","Garden Games","Multi",NA,"1","3 years +",0.891666666666667
"425829","Parachute","Buitenspeel","Garden Games","Multi",NA,"1","4 years +",0.891666666666667
"448462","Dobble","Dobble","Party Games","Multi",NA,"1","6 Years +",0.941666666666667
"456570","Grafix 2 in 1 Geo Science Experiment Kit","Grafix","Science Fun","Multi",NA,"1","12 Months +",0.891666666666667
"456571","Grafix Ulitmate Magic Set","Grafix","Magic Set","Multi",NA,"1","5 Years +",0.891666666666667
"448596","Harry Potter Trivial Pursuit","Harry Potter","Card Games",NA,NA,"1","8+",0.883333333333333
"454754","Harry Potter Cluedo","Harry Potter","Classic Games",NA,NA,"1","8 years+",0.883333333333333
"268008","Classic Monopoly","Hasbro","Board Games","Multi",NA,"1","8 Years +",0.891666666666667
"454755","Game of Thrones Cluedo","Hasbro","Classic Games",NA,NA,"1","8 years+",0.783333333333333
"447792","EPL Match Attax 16/17 pk","Match Attax","Card Games",NA,NA,"9","3+ Years",0.883333333333333
"448590","Game Of Thrones Monopoly","Monopoly","Board Games",NA,NA,"1","18+",0.883333333333333
"448591","Disney Classic Monopoly","Monopoly","Board Games",NA,NA,"1","8+",0.883333333333333
"448593","Pokemon Monopoly","Monopoly","Board Games",NA,NA,"1","4+",0.883333333333333
"280110","Don't Say It Game","Paul Lamond Games","Card Games","Multi",NA,"1","6 Years +",0.891666666666667
"291348","Yes No Card Game","Paul Lamond Games","Card Games","Multi",NA,"1","8 Years +",0.891666666666667
"401406","Charades For Kids","Paul Lamond Games","Classic Games","Multi",NA,"1","3 Years +",0.891666666666667
"448224","Are We There Yet? Travel Game","Paul Lamond Games","Card Games","Multi",NA,"1","6 Years +",0.841666666666667
"446703","Peppa Pig 4 in 1 Shaped Puzzle","Peppa Pig","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",0.941666666666667
"427422","Pokemon Trading Card Game 60pcs","Pokemon","Card Games","Multi",NA,"1","6 Years +",0.941666666666667
"427423","Pokemon Trading Card Booster Pack 30pcs","Pokemon","Card Games","Multi",NA,"1","6 Years +",0.941666666666667
"448159","Pokemon Collectors Tin","Pokemon","Card Games","Multi",NA,"1","6 Years +",0.941666666666667
"322889","Ravensburger 4 in a Box Puzzle AssortmentA","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",0.941666666666667
"337501","Ravensburger 4 in a Box Puzzle AssortmentB","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",0.941666666666667
"419540","FX 4 x 35pc Jigsaw Asst B","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",0.891666666666667
"440504","Jigsaws 4 x 35piece Assorted Theme","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",0.891666666666667
"424697","BCE Multi Games Table Snooker/Pool/Dartboard 6ft","Riley","Games Tables","Black",NA,"1",NA,0.833333333333333
"424707","Riley Azteca Football Table 4ft","Riley","Games Tables",NA,"220/240V Fan Motor","1",NA,0.883333333333333
"424708","Riley Olmpic Football Table 4ft 6in","Riley","Games Tables",NA,"220/240V Fan Motor","1",NA,0.883333333333333
"439968","Robo Fish","Robo Fish","Figures","Multi",NA,"1","3 Years +",0.941666666666667
"439969","Robo Fish With Bowl","Robo Fish","Figure Playsets","Multi",NA,"1","3 Years +",0.941666666666667
"409218","Shopkins Basket Collectable Characters 2pk","Shopkins","Collectables",NA,NA,"2 Pack","5+",0.883333333333333
"428506","Thomas The Tank Engine Soft Ball","Thomas & Friends","Play Balls","Multi",NA,"1","12 Months +",0.891666666666667
"448594","Disney Princess Top Trumps Match","Top Trumps","Card Games",NA,NA,NA,NA,0.766666666666667
"448595","Star Wars Top Trumps Quiz","Top Trumps","Card Games",NA,NA,"1","8+",0.883333333333333
"448601","Star Wars Top Trumps","Top Trumps","Card Games",NA,NA,"1","3+",0.883333333333333
"448602","Shopkins Top Trumps","Top Trumps","Card Games",NA,NA,"1","3+",0.883333333333333
"448603","Minions Top Trumps","Top Trumps","Card Games",NA,NA,"1","3+",0.883333333333333
"448605","Paw Patrol Top Trumps","Top Trumps","Card Games",NA,NA,"1","3+",0.883333333333333
"448606","Marvel Universe Top Trumps","Top Trumps","Card Games",NA,NA,"1","3+",0.883333333333333
"448607","My Little Pony Top Trumps","Top Trumps","Card Games",NA,NA,NA,NA,0.766666666666667
"243479","Wilko Connect Colours Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"243502","Wilko Hangman Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"262707","Wilko Playing Cards","Wilko","Card Games",NA,NA,"52pk",NA,0.825
"305715","Wilko Play Self Inflating Whoopee Cushion","Wilko","Jokes",NA,NA,"1","3+",0.883333333333333
"320546","Wilko Wooden Number Puzzle","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",0.941666666666667
"320689","Wilko Play Parp Putty","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"320694","Wilko Play Chitter Chatter Teeth","Wilko","Jokes","Multi",NA,"1","3+ Years",0.941666666666667
"320772","Wilko Play Squishy Lizard Assortment","Wilko","Pocket Money",NA,NA,NA,"3+",0.825
"334752","Wilko Play Stretchy Rope","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"334760","Wilko Play Expanding Ball","Wilko","Pocket Money","Multi",NA,"1","3+ Years",0.941666666666667
"335984","Wilko Torment Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"349688","Wilko Play Pop A-Matic Gun","Wilko","Pocket Money","Multi",NA,"1","4+",0.941666666666667
"349819","Wilko Play Wind Up Chick and Bunny","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"349822","Wilko Play Globe Ball","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"350854","Wilko Play Marble Race 90pcs","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"350902","Wilko Who Am I Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"350914","Wilko 3D Snakes and Ladders Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",0.941666666666667
"417706","Wilko Robotic Hand Claw","Wilko","Pocket Money","Multi",NA,"1","1+ Years",0.941666666666667
"417707","Wilko Light Up Smilers","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
