"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"313599","Dog Life Dog Crate Double Door Black Medium","Dog Life","Crates","Black","Medium",1
"313600","Dog Life Dog Crate Double Door Black Large","Dog Life","Crates","Black","Large",1
"313603","Dog Life Dog Crate Double Door Black Extra Large","Dog Life","Crates","Black","Extra Large",1
