"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"177926","Wilko Rings Cafe Rod Brass Effect 10pk","Wilko","Curtain Rings","Gold","10pk","10 Pack",NA,0.941666666666667
"177933","Wilko Silver Effect Cafe Rod Rings 10pk","Wilko","Curtain Rings","Silver","10pk","10 Pack",NA,0.941666666666667
"232253","Wilko Curtain Pole Rings Plastic Black 19mm10pk","Wilko","Curtain Rings","Black","10pk","19mm",NA,0.941666666666667
"232255","Wilko Curtain Pole Rings Silver Effect 10pk","Wilko","Curtain Rings","Silver","10pk","19mm",NA,0.941666666666667
"232347","Wilko Curtain Pole Rings Brass Effect 28mm 8pk","Wilko","Curtain Rings","Metal","8pk","28mm",NA,0.941666666666667
"232348","Wilko Curtain Pole Rings Silver Effect 28mm 8pk","Wilko","Curtain Rings","Silver","8pk","28mm",NA,0.941666666666667
"287763","Wilko Curtain Pole Rings Natural Wood Effect 28mm4pk","Wilko","Curtain Rings","Wood","4pk","28mm",NA,0.941666666666667
"287769","Wilko Curtain Pole Rings Dark Oak Effect 28mm4pk","Wilko","Curtain Rings","Wood","1","28mm",NA,0.941666666666667
"287775","Wilko Curtain Pole Rings White Wood Effect 28mm4pk","Wilko","Curtain Rings","White","4pk","28mm",NA,0.941666666666667
"287852","Wilko Curtain Pole Rings Antique Brass Effect16 - 19mm 8pk","Wilko","Curtain Rings","Metal","8pk","19mm",NA,0.941666666666667
"287853","Wilko Curtain Pole Rings Satin Silver Effect16 - 19mm 8pk","Wilko","Curtain Rings","Silver","8pk","19mm",NA,0.941666666666667
"287856","Wilko Curtain Pole Rings Chrome Effect16 - 19mm 8pk","Wilko","Curtain Rings","Metal","8pk","19mm",NA,0.941666666666667
"287874","Wilko Curtain Pole Rings Chrome Effect 28mm 8pk","Wilko","Curtain Rings","Metal","8pk","8 Pack",NA,0.941666666666667
"326600","Wilko Arezzo Curtain Rings Satin Silver 10 - 13mm","Wilko","Curtain Rings","Silver",NA,"10-13mm","Steel",0.941666666666667
"326605","Wilko Firenze Curtain Rings Cream 19mm 10pk","Wilko","Curtain Rings","Cream",NA,"19mm","PVC",0.941666666666667
"453326","Wilko Wooden Curtain Rings 4pk","Wilko","Curtain Rings",NA,"4","2.8cm","Wood",0.941666666666667
"453349","Wilko Ares Easy Glide Curtain Rings Satin SilverEffect 8pk","Wilko","Curtain Rings",NA,"8","2.8",NA,0.883333333333333
"454243","Wilko Graphite Curtain Rings 28mm 4pk","Wilko","Curtain Rings",NA,"4",NA,"Wood, Steel",0.883333333333333
