"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOU","HEA","440044","Prolectrix Round 7 Fin Oil Filled Radiator 1500W","PROlectrix","59.0CM","13.5CM","37.0CM","Radiators","33X24X54.5cm","Silver","1",NA,NA,NA,"1500W",NA,NA,NA,"EH0564WILKPRO",1
"HOU","HEA","440047","Mini Oil Filled Radiator 700W","PROlectrix","41.0CM","135.0CM","35.5CM","Radiators","33X14X38cm","Black","1",NA,NA,NA,"700W",NA,NA,NA,"EH0575WILKPRO",0.95
"HOU","HEA","446729","Wilko Microwaveable Heat Pack","Wilko","3.5CM","12.0CM","45.0CM","Wheat Packs",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HEA","446730","Wilko Hot Water Bottle","Wilko","5.0CM","19.5CM","33.0CM","Hot Water Bottle",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HEA","446731","Wilko Hot Water Bottle With Cover","Wilko","5.0CM","19.5CM","33.0CM","Hot Water Bottle",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HTV","441062","Jerome Alexander Concealer and Rollerball","High Street TV","2.5CM","16.0CM","20.0CM","Concealer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441064","Jerome Alexander Magic Minerals Bronzer","High Street TV","23.5CM","3.5CM","19.0CM","Contouring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441065","BIT 360 Screwdriver","High Street TV","23.6CM","4.7CM","6.6CM","Screwdrivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","IRN","182125","JML Ironing Board Cover Fast Fit","JML","38.0CM","22.5CM","4.5CM","Ironing Board Covers","139x49cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300708","Minky Easy Fit Ironing Board Cover DesignCollection Large 122 x 43cm","Minky","33.0CM","20.0CM","9.5CM","Ironing Board Covers","122x43cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300709","Minky Smart Fit Ironing Board Cover 125 x 45cm","Minky","36.0CM","27.0CM","6.0CM","Ironing Board Covers","125x45cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","328217","Wilko Felt Ironing Board Pad One Size","Minky","36.5CM","26.0CM","4.0CM","Ironing Board Covers","125x45cm","Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","IRN","332969","Minky Premium Plus Ironing Board 122 x 38cm","Minky","92.0CM","122.0CM","38.0CM","Ironing Boards","122x38cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","IRN","352086","Minky Smart Fit Iron Board Cover Polka Dot Design125 x 45cm","Minky","37.0CM","28.0CM","5.0CM","Ironing Board Covers",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","352087","Minky High Performance Iron Board Cover122 x 38cm","Minky","38.0CM","24.0CM","5.5CM","Ironing Board Covers",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","417473","Minky Ergo Ironing Board","Minky","160.0CM","38.0CM","8.5CM","Ironing Boards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","IRN","283586","Russell Hobbs Supreme Steam Iron 2400W","Russell Hobbs","15.0CM","11.5CM","28.0CM","Irons","2400W","White",NA,NA,NA,NA,"Mains",NA,NA,NA,"18651",1
"HOU","IRN","305175","Russell Hobbs Auto Steam Iron 2400w","Russell Hobbs","16.8CM","33.7CM","13.5CM","Irons","2400W","Multi",NA,NA,NA,NA,"Mains",NA,NA,NA,"15081",1
"HOU","IRN","329085","Russell Hobbs Easy Store Iron 2400W","Russell Hobbs","16.0CM","11.0CM","32.0CM","Irons","2400W","Multi",NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.891666666666667
"HOU","IRN","400014","Russell Hobbs Power Steam Ultra Iron 3100W","Russell Hobbs","17.4CM","33.3CM","14.7CM","Irons",NA,"Multi",NA,NA,NA,NA,"3100w",NA,NA,NA,"20630",0.941666666666667
"HOU","IRN","438892","Russell Hobbs Supreme Steam Iron 232402400w","Russell Hobbs","32.0CM","13.1CM","15.6CM","Irons",NA,NA,NA,NA,NA,NA,"2400w",NA,NA,NA,NA,0.825
"HOU","IRN","438893","Russell Hobbs Supreme Steam Ultra 232602600w","Russell Hobbs","33.0CM","15.0CM","17.5CM","Irons",NA,NA,NA,NA,NA,NA,"2400w",NA,NA,NA,"23260",0.883333333333333
"HOU","IRN","439010","Russell Hobbs Powersteam Pro Iron 206312400w","Russell Hobbs","17.5CM","15.0CM","33.0CM","Irons",NA,NA,NA,NA,NA,NA,"2400w",NA,NA,NA,"N20631",0.833333333333333
"HOU","IRN","409313","Laundry Basket Grey","Strata","30.0CM","35.0CM","59.0CM","Laundry Baskets",NA,"Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"HOU","IRN","161778","Wilko Table Top Ironing Board 81 x 30cm","Wilko","11.5CM","30.0CM","81.0CM","Ironing Board Covers","81x30cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","267567","Wilko Laundry Trug Salmon 40L","Wilko","37.0CM","45.0CM","45.0CM","Trugs","40L",NA,NA,NA,NA,NA,NA,"40L",NA,NA,NA,0.883333333333333
"HOU","IRN","271114","Wilko  Ironing Board Assorted Large 124 x 40cm","Wilko","155.0CM","6.5CM","40.0CM","Ironing Boards","124x40cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","IRN","271115","Wilko Ironing Board Assorted Medium 116 x 35.5cm","Wilko","141.0CM","36.0CM","6.0CM","Ironing Boards","35.5x116cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327988","Wilko Steam Iron Teal and White 2200W","Wilko","15.5CM","12.5CM","30.0CM","Irons","2200W","Multi",NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.941666666666667
"HOU","IRN","328241","Wilko Laundry Basket Hipster Hip","Wilko","30.0CM","35.0CM","59.0CM","Laundry Baskets",NA,"Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","329083","Wilko Travel Steam Iron Purple and Silver900W-1100W","Wilko","10.0CM","9.0CM","20.0CM","Irons","900W-1100W","Multi",NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.941666666666667
"HOU","IRN","352074","Wilko Laundry Basket","Wilko","56.0CM","46.0CM","46.0CM","Laundry Baskets",NA,"Purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352078","Wilko Laundry Basket Round","Wilko","29.0CM","46.0CM","46.0CM","Laundry Baskets",NA,"Cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352089","Wilko Trug Blue 40L","Wilko","37.5CM","46.0CM","46.0CM","Trugs","40L","Blue",NA,NA,NA,NA,NA,"40L",NA,NA,NA,0.941666666666667
"HOU","IRN","414869","Wilko Hipster Laundry Basket","Wilko","38.0CM","47.0CM","64.0CM","Laundry Baskets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","414871","Wilko Trug Duck Egg 40L","Wilko","38.0CM","50.0CM","45.0CM","Trugs","40L","Green",NA,NA,NA,NA,NA,"40L",NA,NA,NA,0.941666666666667
"HOU","IRN","417455","Wilko Ceramic Coated Soleplate 2400W","Wilko","17.0CM","32.0CM","12.1CM","Irons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","55047","Wilko Laundry Board Sleeve","Wilko","54.1CM","11.2CM","2.6CM","Ironing Boards","50x11cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","189749","Wilko Functional Laundry Ironing Board Assorted Small 110 x 32cm","Wilko Functional","135.5CM","41.0CM","5.0CM","Ironing Boards","32x110cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327987","Wilko Steam Iron White 1200W","Wilko Functional","14.0CM","10.5CM","25.0CM","Irons","1200W","Multi",NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.891666666666667
"HOU","JML","265268","JML Doktor Multi Purpose Cleaner","JML","7.0CM","11.0CM","11.0CM","Doktor Power",NA,"White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","278007","JML Doktor Power Magic Eraser","JML","3.8CM","30.8CM","11.7CM","Doktor Power ","30.8x11.7x3.8cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","JML","347333","JML Fast Fit Sticky Rollers 2pk","JML","21.5CM","12.8CM","7.2CM","Sticky Rollers",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","351283","JML Felt Ceracraft Pan Protectors 2pk","JML","38.4CM","38.4CM",".9CM","Pan Protectors","2 Pack","Black","2pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","JML","402301","JML Mantis Scratch Remover","JML","20.0CM","6.5CM","4.0CM","Scratch Remover",NA,"Green","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","405447","JML Finishing Touch Elite Personal Hair Remover","JML","21.0CM","10.1CM","2.7CM","Finishing Touch Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","406670","JML Mineral Magic","JML","17.5CM","16.5CM","2.5CM","Magic Minerals ",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","412526","JML Dryer Balls 2pk","JML","23.0CM","7.5CM","7.0CM","Dryer Balls",NA,NA,"2 pk",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","413205","JML Multi Purpose Radiator Duster","JML","81.0CM","9.6CM","3.0CM","RadiClean Duster",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","413876","JML Purrfect Arch Cat Groomer and Massaging Toy","JML","31.0CM","35.0CM","10.0CM","Purrfect Arch Toy",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","419917","JML Hover Ball Floating Ball","JML","24.7CM","18.5CM","8.1CM","Hoverball",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","419919","JML Phoenix Gold Iron 2200W","JML","18.4CM","33.6CM","14.4CM","Irons",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","422379","JML Sensor Bright Motion Activated LED Light","JML","23.4CM","15.3CM","10.0CM","Sensor Bright",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","429306","JML Dish Drying Mat Assorted Colours","JML","41.3CM","22.9CM","1.5CM","Dish Drying Mat",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","433558","JML Veggetti 2.0","JML","25.0CM","15.5CM","8.0CM","Veggetti 2.0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","437228","JML Ped Egg Power Pink","JML","15.5CM","6.0CM","2.5CM","Foot Care",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","438820","JML Wonderbroom","JML","84.0CM","29.0CM","5.0CM","Wonderbroom",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","440625","JML Mineral Magic Dark Shade","JML","8.0CM","8.0CM","2.0CM","Magic Minerals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","JML","443306","JML Simply Straight","JML","27.0CM","7.0CM","4.0CM","Simply Straight",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","446877","JML Max Lash 2 Piece Kit","JML","24.5CM","2.8CM","14.3CM","Mascara ",NA,"Black","2",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","453440","JML Clever Cutter","JML","3.0CM","7.0CM","25.0CM","Choppers",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","453441","JML Roto Clipper","JML","21.0CM","10.0CM","6.0CM","Electric Nail File And Trimmer",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","453442","JML Regis Copper Stone Pan 20cm","JML","44.0CM","21.0CM","5.4CM","Regis Stone Pan",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
