"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","IRN","400014","Russell Hobbs Power Steam Ultra Iron 3100W","Russell Hobbs","Irons","Multi",NA,NA,NA,NA,"3100w","20630",NA,NA,0.941666666666667
"HOU","IRN","438892","Russell Hobbs Supreme Steam Iron 232402400w","Russell Hobbs","Irons",NA,NA,NA,NA,NA,"2400w",NA,NA,NA,0.825
"HOU","IRN","438893","Russell Hobbs Supreme Steam Ultra 232602600w","Russell Hobbs","Irons",NA,NA,NA,NA,NA,"2400w","23260",NA,NA,0.883333333333333
"HOU","IRN","439010","Russell Hobbs Powersteam Pro Iron 206312400w","Russell Hobbs","Irons",NA,NA,NA,NA,NA,"2400w","N20631",NA,NA,0.833333333333333
"HOU","IRN","409313","Laundry Basket Grey","Strata","Laundry Baskets","Grey",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"HOU","IRN","161778","Wilko Table Top Ironing Board 81 x 30cm","Wilko","Ironing Board Covers","Multi",NA,"81x30cm",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","267567","Wilko Laundry Trug Salmon 40L","Wilko","Trugs",NA,NA,"40L",NA,"40L",NA,NA,NA,NA,0.883333333333333
"HOU","IRN","271115","Wilko Ironing Board Assorted Medium 116 x 35.5cm","Wilko","Ironing Boards","Multi",NA,"35.5x116cm",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327988","Wilko Steam Iron Teal and White 2200W","Wilko","Irons","Multi",NA,"2200W",NA,NA,"Mains",NA,NA,NA,0.941666666666667
"HOU","IRN","328241","Wilko Laundry Basket Hipster Hip","Wilko","Laundry Baskets","Grey",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","329083","Wilko Travel Steam Iron Purple and Silver900W-1100W","Wilko","Irons","Multi",NA,"900W-1100W",NA,NA,"Mains",NA,NA,NA,0.941666666666667
"HOU","IRN","352074","Wilko Laundry Basket","Wilko","Laundry Baskets","Purple",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352078","Wilko Laundry Basket Round","Wilko","Laundry Baskets","Cream",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352089","Wilko Trug Blue 40L","Wilko","Trugs","Blue",NA,"40L",NA,"40L",NA,NA,NA,NA,0.941666666666667
"HOU","IRN","414869","Wilko Hipster Laundry Basket","Wilko","Laundry Baskets",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","414871","Wilko Trug Duck Egg 40L","Wilko","Trugs","Green",NA,"40L",NA,"40L",NA,NA,NA,NA,0.941666666666667
"HOU","IRN","417455","Wilko Ceramic Coated Soleplate 2400W","Wilko","Irons",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","55047","Wilko Laundry Board Sleeve","Wilko","Ironing Boards","Multi",NA,"50x11cm",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","189749","Wilko Functional Laundry Ironing Board Assorted Small 110 x 32cm","Wilko Functional","Ironing Boards","Multi",NA,"32x110cm",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327987","Wilko Steam Iron White 1200W","Wilko Functional","Irons","Multi",NA,"1200W",NA,NA,"Mains",NA,NA,NA,0.891666666666667
"HOU","JML","265268","JML Doktor Multi Purpose Cleaner","JML","Doktor Power","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","347333","JML Fast Fit Sticky Rollers 2pk","JML","Sticky Rollers","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","402301","JML Mantis Scratch Remover","JML","Scratch Remover","Green","1",NA,NA,NA,NA,NA,NA,NA,0.93
