"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","MOP","454156","Wilko Mop Bucket with Wringer Teal","Wilko","Buckets",NA,"1",NA,"Polypropylene",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454157","Wilko Soft Indoor Broom with Handle White","Wilko","Indoor Brooms and Brushes",NA,"1",NA,"Plastic",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454158","Wilko Soft Indoor Broom with Handle Teal","Wilko","Indoor Brooms and Brushes",NA,"1",NA,"Polypropylene, Hydrophilic Sponge, Steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454159","Wilko Sponge Mop with Handle White","Wilko","Mops",NA,"1",NA,"Polypropylene, Hydrophilic Sponge, Steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454160","Wilko Sponge Mop with Handle Teal","Wilko","Mops",NA,NA,NA,"Polypropylene, Hydrophilic Sponge, Steel",NA,NA,NA,NA,NA,0.825
"HOU","MOP","454161","Wilko Sponge Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,"Polypropylene, Hydrophilic Sponge",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","456348","Wilko Water Fed Window Cleaner","Wilko","Window Squeegee",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","456349","Wilko Handheld Window Cleaner with Bottle","Wilko","Window Squeegee",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","456351","Wilko Microfibre Window Cleaning Sponge","Wilko","Window and Glass Cleaners",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","456352","Wilko Window Wiper with Cleaning Cloth","Wilko","Window Squeegee",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","65818","Wilko Galvanised Mop Bucket Silver","Wilko","Buckets","Silver","1","13L",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","66135","Wilko Traditional Sink Plunger Large","Wilko","Sink Plungers","Multi","1","Large",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","98352","Wilko Plunger Hand Grip Sink Black/White","Wilko","Sink Plungers","Multi","1","Small",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","191511","Wilko Tough Scrubbing Brush Assorted","Wilko Functional","Scrubbing Brushes","Multi","1","Small",NA,NA,NA,NA,NA,NA,0.891666666666667
"HOU","PEG","132982","Wilko 20 Peg Airer","Wilko","Pegs","Multi","20pcs",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","300163","Wilko Peg Basket with Soft Grip Pegs 50pk","Wilko","Peg Bags and Baskets","Multi","50pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","327972","Wilko Snapper Pegs Multicoloured 36pk","Wilko","Pegs","Multi","36pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","327979","Wilko Peg Bag","Wilko","Peg Bags and Baskets","Multi","1pcs",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","328210","Wilko Lingerie Washing Bag White","Wilko","Washing Bags and Nets","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","328211","Wilko Delicates Washing Bag White","Wilko","Washing Bags and Nets","Black","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","PEG","328212","Wilko Functional Wooden Peg 36pk","Wilko Functional","Pegs","Cream","36pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","65682","Brillo Mr Muscle Multi-Use Soap Pads 10pk","Brillo","Scourers","Silver","10pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","300101","Dishmatic Dish Sponge Refill Non Scratch 2pk","Dish Matic","Washing Up Brushes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","SCO","300102","Dishmatic Dish Scourer Fill and Clean","Dish Matic","Washing Up Brushes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","SCO","300103","Dishmatic Dish Sponge Heavy Duty Refill 2pk","Dish Matic","Washing Up Brushes","Multi",NA,"Heavy Duty",NA,NA,NA,NA,NA,NA,0.88
"HOU","SCO","328266","Dishmatic Fill and Clean Washing Up Brush","Dish Matic","Washing Up Brushes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","SCO","427442","Fairy Cleaning Sponge 3in1 Green","Fairy","Scourers",NA,"2 Pack",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","427443","Fairy Cleaning Sponge 3in1 Blue","Fairy","Scourers",NA,"2 Pack",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","427444","Fairy Inox Scourer Ball 3pk","Fairy","Scourers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","SCO","436453","Fairy Platinum Sponge 2pk","Fairy","Sponges","Silver","2",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","436454","Fairy Multi-Purpose Microfibre Cloth","Fairy","Cloths","Green","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","436455","Fairy Sponge Cloths 3pk","Fairy","Sponges","Multi","3",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","453871","Fairy Hygienic Scourer Original 2pk","Fairy","Scourers",NA,"2 Pack",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","453872","Fairy Hygienic Scourer Platinum 2pk","Fairy","Scourers",NA,"2 Pack",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","453873","Fairy Hygienic Scourer Delicate 2pk","Fairy","Scourers",NA,"2",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","453874","Fairy Multi Purpose Scourer 4pk","Fairy","Scourers",NA,"4",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","453875","Fairy Scouring Pad Platinum 3pk","Fairy","Scourers",NA,"3",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","453876","Fairy Wiping Pad 3pk","Fairy","Scourers",NA,"3",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","351849","Marigold Sensitive Gloves Medium","Marigold","Gloves","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","417429","Marigold Extra Tough Outdoor Gloves Large","Marigold","Gloves","Black","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","432741","Marigold No More Elbow Grease Stainless Steel Pad","Marigold","Scourers","Grey","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","283974","No More Chemicals Window Cloth","No More Chemicals","Cloths","Yellow","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","283975","No More Chemicals Bathroom Cloth Blue","No More Chemicals","Cloths","Blue","1pcs",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","417431","Marigold Latex Free Disposable Gloves 40pk","Vileda","Gloves",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74
"HOU","SCO","1173440","Wilko Bottle Brush","Wilko","Washing Up Brushes","Multi",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","157517","Wilko Bathroom Cleaning Sponge 2pk","Wilko","Sponges","Multi","2pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","178483","Wilko Stainless Steel Scourers 6pk","Wilko","Scourers","Metal","6pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","178485","Wilko Sponge Scourers Assorted 20pk","Wilko","Scourers","Multi","20pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","178490","Wilko Cellulose Sponge Cloth 4pk","Wilko","Cloths","Multi","4pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","269768","Wilko Antibacterial Washing Pad 4pk","Wilko","Scourers","Multi","4pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","269779","Wilko SuperKnit Dish Cloths 6pk","Wilko","Dishcloths",NA,"6pk","35x30cm",NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","269791","Wilko Plastic Pan Scourers Multi Coloured 6pk","Wilko","Scourers","Multi","6pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","269792","Wilko Cellulose Sponge Wipes Assorted 4pk","Wilko","Sponges","Multi","4pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","300122","Wilko Blind Cleaner and Refills Black and Grey","Wilko","Blind Cleaner","Purple",NA,NA,"Polyester, Polyamide",NA,NA,NA,NA,NA,0.883333333333333
"HOU","SCO","300123","Wilko Microfibre Duster with Handle","Wilko","Dusters","Multi","1",NA,"Polyester",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SCO","300124","Wilko Telescopic Duster White","Wilko","Dusters","White","1",NA,"Polyester",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SCO","300125","Wilko Telescopic Duster Refill White 4pk","Wilko","Dusters","White","4pk",NA,"Polyester",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SCO","328243","Wilko Extra Wear Rubber Gloves Medium Yellow","Wilko","Gloves",NA,"1","Medium",NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","351286","Wilko Feather Duster","Wilko","Dusters","Purple","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SCO","351287","Wilko Hand Grip Sponge Scourers 10pk","Wilko","Scourers","Green","10pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","351288","Wilko Hand Grip Non Scratch Scourers 10pk","Wilko","Scourers","Multi","10pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","351290","Wilko Scouring Pads 6pk","Wilko","Scourers","Green","6pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","351858","Wilko Dish Brush Caddy","Wilko","Brush Caddy","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","417127","Wilko Striped Microfibre Cloths 2pk","Wilko","Cloths",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","SCO","454080","Wilko Latex Free Vinyl Disposable Gloves 30pk","Wilko","Gloves",NA,"30",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","454081","Wilko Natural Rubber Latex Disposable Gloves 30pk","Wilko","Gloves",NA,"30",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","SCO","78077","Wilko Sponge Scourers Assorted 6pk","Wilko","Scourers","Multi","6pk",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","87681","Wilko Gloves Washing Up Latex Rubber Pink/Yellow Small","Wilko","Gloves","Yellow",NA,"Small",NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","87682","Wilko Gloves Washing Up Rubber Medium","Wilko","Gloves","Yellow",NA,"Medium",NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","87683","Wilko Wash Up Rubber Gloves Large","Wilko","Gloves","Yellow",NA,"Large",NA,NA,NA,NA,NA,NA,0.93
"HOU","SCO","1174340","Wilko Functional Dish Brush","Wilko Functional","Washing Up Brushes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SPC","420159","Vileda Hot Spray Mop 100 Degrees","Vileda","Steam Cleaning",NA,"1","Vileda Hot Spray 1290mm (H) x 350mm (W) x 260mm (D","Plastic",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SPC","420160","Vileda 100 Degrees Hot Spray Refills","Vileda","Mop Heads and Refills",NA,"2","Vileda Hot Spray Refill 4mm (H) x 320mm (W) x 235m","Microfibre",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SPC","425196","Vileda Windowmatic Window Vacuum","Vileda","Window Vac",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","SPC","351863","Wilko 3 Tier Airer Red","Wilko","Indoor Airer","Red","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SPC","351864","Wilko 3 Tier Airer Teal","Wilko","Indoor Airer","Green","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SPC","351865","Wilko 3 Tier Airer Purple","Wilko","Indoor Airer","Purple","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","SWE","436780","Addis Multi Surface Sweeper","Addis","Carpet Sweeper",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","SWE","429071","Black and Decker Flexi Dustbuster Cordless HandHeld Vacuum Cleaner 10.8v","Black & Decker","Handheld Vacuum Cleaners",NA,NA,"(H)25.0 x (W)30.0 x (D)16.0",NA,NA,NA,"PD1020L-GB",NA,NA,0.833333333333333
"HOU","SWE","454070","Black & Decker Dustbuster Cordless Hand VacuumCleaner 5.4wh Lithium Ion 3.6V","Black & Decker","Handheld Vacuum Cleaners",NA,NA,NA,NA,NA,"7.5 air watts 3.6v Li-Ion","NVB115W-GB",NA,NA,0.833333333333333
"HOU","SWE","454071","Black & Decker Dustbuster Cordless Bagless HandVacuum Wet and Dry Lithium Ion 7.2V","Black & Decker","Handheld Vacuum Cleaners",NA,NA,NA,NA,NA,"7.2v","WDB215WA-GB",NA,NA,0.833333333333333
"HOU","SWE","454072","Black & Decker Stick Vac 2 in 1 28.8wh EPP 14.4V","Black & Decker","Vacuum Cleaners","Grey",NA,NA,NA,NA,"14.4V Lithium Ion","SVA420B-GB",NA,NA,0.891666666666667
"HOU","SWE","454073","Black & Decker Steam Mop 1300W","Black & Decker","Steam Cleaning",NA,"1",NA,"Plastic, Steel",NA,NA,NA,NA,NA,0.833333333333333
"HOU","SWE","454074","Black & Decker Steam Mop 7 in 1 Gen 1300W andAccessories","Black & Decker","Steam Cleaning",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.775
"HOU","SWE","454075","Black & Decker SteaMitt Glove Accessory Pack","Black & Decker","Steam Cleaning",NA,"1",NA,"Rubber and Microfibre",NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","454076","Black and Decker SteaMitt Replacement Pads 2pk","Black & Decker","Steam Cleaning",NA,"2 Pack",NA,"Microfibre",NA,NA,NA,NA,NA,0.783333333333333
"HOU","SWE","454077","Black & Decker Steam Mop Replacement Pads 2pk","Black & Decker","Steam Cleaning ",NA,"2 Pack",NA,"Microfibre",NA,NA,NA,NA,NA,0.833333333333333
"HOU","SWE","453878","Hoover Whirlwind Bagless Upright Vacuum Cleaner750w WR71WR01","Hoover","Vacuum Cleaners",NA,NA,NA,NA,NA,"750w","39100460",NA,NA,0.833333333333333
"HOU","SWE","453884","Hoover Whirlwind Bagless Cylinder Vacuum Cleaner700w SE71WR01","Hoover","Vacuum Cleaners",NA,NA,NA,NA,NA,"700w","SE71WR01",NA,NA,0.833333333333333
"HOU","SWE","453889","Hoover Free Motion Cordless 2 in 1 Vacuum CleanerBagless 14.4V","Hoover","Vacuum Cleaners",NA,NA,"110 x 28.5 x 16.5 cm (H x W x D)",NA,NA,"14.4V NiMH","FM144B2",NA,NA,0.891666666666667
"HOU","SWE","454750","Hoover Capture Bagged Compact Cylinder VacuumCleaner 700w BV71CP10","Hoover","Vacuum Cleaners",NA,NA,NA,NA,NA,"700w","BV71CP10",NA,NA,0.833333333333333
"HOU","SWE","417186","Prolectrix 2 in 1 Swift Vacuum Cleaner 600wEF0247WK0","PROlectrix","Vacuum Cleaners",NA,NA,NA,NA,NA,"600W","EF0247WK0",NA,NA,0.883333333333333
"HOU","SWE","436775","Prolectrix Triangular Steam Cleaner EF0248WK","PROlectrix","Steam Cleaning","Orange","1",NA,"ABS",NA,NA,NA,NA,NA,0.941666666666667
"HOU","SWE","169287","Wilko Panasonic Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","169288","Wilko Vax Vacuum Cleaner Bags 4pk","Wilko","Vacuum Bags","Brown",NA,"4 Pack",NA,NA,NA,"Code 11",NA,NA,0.941666666666667
"HOU","SWE","169291","Wilko Electrolux or Zanussi Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,NA,NA,"Code 3",NA,NA,0.941666666666667
"HOU","SWE","169295","Wilko Panasonic on Samsung  Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","169296","Wilko Hoover Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,NA,NA,NA,NA,"Code 15",NA,NA,0.883333333333333
"HOU","SWE","174869","Wilko Henry Vacuum Cleaner Bags for Henry 5pk","Wilko","Vacuum Bags",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","SWE","199036","Wilko  Electrolux Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","296407","Wilko  Electrolun and Hoover Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"16.5x18.5cm",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","296408","Wilko Universal Vacuum Cleaner Bags 3pk","Wilko","Vacuum Bags","Brown",NA,"3 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","SWE","296430","Wilko Cleaning Vacuum Lemon Scent Sticks 5pk","Wilko","Vacuum Spares and Accessories","Yellow",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","SWE","329082","Wilko Miele Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","WAR","264999","JML Bobble Off","JML","Bobble Off","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","WAR","428334","Single Fabric Wardrobe","Misterpack","Clothing and Linen Storage","Brown","1","75x50x145cm when assembled",NA,NA,NA,NA,NA,NA,0.85
"HOU","WAR","328404","Packmate Travel Roll Storage Bags 3pk","Pack Mate","Clothing and Linen Storage","Multi","3k","Medium",NA,NA,NA,NA,NA,NA,0.85
"HOU","WAR","232356","Wilko Garment Cover 127 x 61cm 2pk","Wilko","Clothing and Linen Storage","Clear","2","127x61cm","Polyethylene, Polyester",NA,NA,NA,NA,NA,0.95
"HOU","WAR","232357","Wilko Garment Cover Clear 97 x 61cm 2pk","Wilko","Clothing and Linen Storage","Clear","1","97x61cm","Polyethelene, Polyester",NA,NA,NA,NA,NA,0.95
"HOU","WAR","232360","Wilko Vacuum Sealed Storage Bags 2 Sizes 2pk","Wilko","Vacuum Storage Bag","Multi","2","70x40cm",NA,NA,NA,NA,NA,NA,0.9
"HOU","WAR","264634","Wilko Wire Coat Hangers 10pk","Wilko","Clothing and Coat Hangers","White","10pk",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","273272","Wilko Cedar Moth Balls 20pk","Wilko","Moth Proofers",NA,"20pk",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","WAR","300320","Wilko Over Door Hooks 2pk","Wilko","Overdoor Hangers","White","2",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","300321","Wilko Vacuum Sealed Storage Bags Large 2pk","Wilko","Vacuum Storage Bag","Multi","2","Large",NA,NA,NA,NA,NA,NA,0.9
"HOU","WAR","300322","Wilko Vacuum Sealed Storage Bags Extra Large 2pk","Wilko","Vacuum Storage Bag","Multi","2pk","Jumbo",NA,NA,NA,NA,NA,NA,0.9
"HOU","WAR","300329","Wilko Underbed Storage Bag Beige","Wilko","Under Bed Storage","Brown","1","16x104x46cm","Polypropylene",NA,NA,NA,NA,NA,0.95
"HOU","WAR","300332","Wilko Garment Cover 100 x 60cm","Wilko","Clothing and Linen Storage","Brown","1","100x60cm","Polypropylene",NA,NA,NA,NA,NA,0.95
"HOU","WAR","300333","Wilko Garment Cover 135 x 60cm","Wilko","Clothing and Linen Storage","Blue",NA,"135x60cm","Polypropylene",NA,NA,NA,NA,NA,0.9
"HOU","WAR","300337","Wilko Beechwood Triple Brush","Wilko","Clothes Brush ",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","WAR","300339","Wilko Scented Sachets White Rose and CottonFlower Fragrance 5pk","Wilko","Scented Sachets",NA,"5pk",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","WAR","327954","Wilko Soft Grip Plastic Coat Hangers 3pk","Wilko","Clothing and Coat Hangers","Multi","3",NA,"Polypropylene Regrind",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","327956","Wilko Adult Coat Hangers 8pk","Wilko","Clothing and Coat Hangers",NA,"8pk","Adult","N/A",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","327960","Wilko Adult Coat Hangers Charcoal 8pk","Wilko","Clothing and Coat Hangers","Black","8","8 Pack",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","327962","Wilko Wooden Coat Hangers 5pk","Wilko","Clothing and Coat Hangers","Cream","5pk",NA,"Wood",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","327966","Wilko Scarf Hanger Velvet Black","Wilko","Clothing and Coat Hangers","Black","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","327967","Wilko Necklace Hanger Velvet Black","Wilko","Clothing and Coat Hangers","Black","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","327969","Wilko Rubber Coated Coat Hangers Assorted 6pk","Wilko","Clothing and Coat Hangers","Multi","6",NA,"Plastic and Wire",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","328353","Wilko Wooden Coat Hangers White 5pk","Wilko","Clothing and Coat Hangers","White","5",NA,"Wood",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","328405","Wilko Plastic Shoe Box and Lid Clear Small11 x 19 x 33cm","Wilko","Shoe Storage","Clear","1","11x19x33cm","Polypropelyne",NA,NA,NA,NA,NA,0.95
"HOU","WAR","328427","Wilko  Plastic Shoe Boxand Lid Clear Large14 x 26 x 36cm","Wilko","Shoe Storage","Clear","1","14x26x36cm","Polypropelyne",NA,NA,NA,NA,NA,0.95
"HOU","WAR","329089","Wilko Wooden Mahogany Coat Hangers 5pk","Wilko","Clothing and Coat Hangers","Wood","5",NA,"Wood",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","333859","Wilko Wardrobe Organiser 120 x 25 x 35cm","Wilko","Clothing and Linen Storage","Blue","1","120cmx25cmx35cm","Polypropylene",NA,NA,NA,NA,NA,0.95
"HOU","WAR","333860","Wilko Shoe Organiser 127 x 25 x 30cm","Wilko","Shoe Storage","Brown","1","127cmx25cmx30cm","Polypropylene",NA,NA,NA,NA,NA,0.95
"HOU","WAR","333861","Wilko Laundry Bag 53 x 58cm","Wilko","Laundry Baskets","Blue",NA,"53cmx58cm","Polypropylene",NA,NA,NA,NA,NA,0.941666666666667
"HOU","WAR","417446","Wilko Wooden Skirt Hangers 3pk","Wilko","Clothing and Coat Hangers",NA,"3",NA,"Wood",NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","417447","Wilko Skirt Hangers with Rubber Tipped Clasps 6pk","Wilko","Clothing and Coat Hangers",NA,"6",NA,"Plastic and Wire",NA,NA,NA,NA,NA,0.883333333333333
"HOU","WAR","417449","Wilko Hanging Moisture Dehumidifier","Wilko","Dehumidifier",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","WAR","417453","Wilko Vacuum Sealed Storage Bags 2pk","Wilko","Vacuum Storage Bag",NA,"2","Large",NA,NA,NA,NA,NA,NA,0.85
"HOU","WAR","417488","Jumbo Storage Bag 120g","Wilko","Clothing and Linen Storage",NA,"1","H 46 x W 91 x D 53cm",NA,NA,NA,NA,NA,NA,0.8
"HOU","WAR","454068","Wilko Underbed Storage Box 28L","Wilko",NA,NA,"1","28L","Polypropylene","28L",NA,NA,NA,NA,0.9
"HOU","WAR","454069","Wilko Storage Box Pot Pourri 18L","Wilko",NA,NA,"1","18L","Polypropylene","18L",NA,NA,NA,NA,0.9
"HOU","WAR","230831","Zensect Moth Proofer Lavender Fragrance 20pk","Zensect","Moth Proofers",NA,"20",NA,NA,NA,NA,NA,NA,NA,0.9125
