"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Washable","Power","Capacity","Model Number","DQ Score"
"HOU","MAT","334029","Wilko Washable Door Mat Assorted Designs57 x 90cm","Wilko","1.0CM","90.0CM","57.0CM","Mats","57cmx90cm","Multi",NA,"Nylon, Latex","Washable",NA,NA,NA,1
"HOU","MAT","334031","Wilko Washable Mat Beige Large 57 x 90cm","Wilko",".3CM","90.0CM","57.0CM","Mats","57cmx90cm","Brown",NA,"Polypropylene, Latex","Washable",NA,NA,NA,1
"HOU","MAT","334032","Wilko Washable Mat Grey 40 x 60cm","Wilko",".8CM","60.0CM","40.0CM","Mats","40x60cm","Grey",NA,"Polypropylene, Latex Rubber","Washable",NA,NA,NA,1
"HOU","MAT","334033","Wilko Washable Runner Grey 57 x 150cm","Wilko","8.8CM","13.4CM","58.7CM","Runners","57x150cm","Grey","1",NA,NA,NA,NA,NA,1
"HOU","MAT","334036","Wilko Mat Chequered Design 40 x 60cm","Wilko","1.2CM","40.0CM","60.0CM","Mats","40cmx60cm","Multi",NA,"Nylon, Rubber","Washable",NA,NA,NA,1
"HOU","MAT","1484240","Wilko Functional Indoor Mat Ribbed Assorted40 x 60cm","Wilko Functional","1.3CM","60.0CM","40.0CM","Mats","60x40cm","Brown",NA,"Polypropylene, Latex Rubber","Do Not Wash",NA,NA,NA,1
"HOU","MOP","267274","Wilko Telescopic Window Cleaning Set  5 Piece","Wilko","69.5CM","20.0CM","6.0CM","Window Cleaning Set","1.2m",NA,"5pcs",NA,NA,NA,NA,NA,1
"HOU","MOP","300115","Wilko Socket Mop Head Large","Wilko","39.6CM","13.0CM","5.5CM","Mop Heads and Refills","Large","White","1","Mixed Fibre",NA,NA,NA,NA,1
"HOU","MOP","456353","Wilko Window Wiper 355mm","Wilko","13.5CM","35.5CM","3.5CM","Window Squeegee","355mm",NA,"1",NA,NA,NA,NA,NA,1
"HOU","PEG","226662","Wilko Retractable Clothes Line 12m","Wilko","15.0CM","4.5CM","18.0CM","Washing Lines and Accessories","12m","White","1",NA,NA,NA,NA,NA,1
"HOU","PEG","267261","Wilko Shower Resistant Peg Bag 38 x 28cm","Wilko","24.0CM","30.0CM",".5CM","Peg Bags and Baskets","38cmx28cm","Multi","1pcs",NA,NA,NA,NA,NA,1
"HOU","PEG","300155","Wilko Steel Clothes Line 20m","Wilko","30.5CM","6.0CM","4.0CM","Washing Lines and Accessories","20m","Silver","1",NA,NA,NA,NA,NA,1
"HOU","PEG","300156","Wilko Retractable Clothes Line Heavy Duty 15m","Wilko","18.0CM","1500.0CM","20.0CM","Washing Lines and Accessories","15m","Green","1",NA,NA,NA,NA,NA,1
"HOU","PEG","300158","Wilko Soft Grip Pegs Large 24pk","Wilko","4.0CM","2.0CM","8.0CM","Pegs","Large","Multi","24pk",NA,NA,NA,NA,NA,1
"HOU","PEG","300160","Wilko Heavy Duty Pegs Multicoloured 36pk","Wilko","2.5CM","1.0CM","8.0CM","Pegs","Heavy Duty","Multi","36pk",NA,NA,NA,NA,NA,1
"HOU","SCO","229175","Marigold Extra Life Kitchen Gloves Large","Marigold","25.0CM","14.3CM","1.4CM","Gloves","Large","Yellow","2pcs",NA,NA,NA,NA,NA,1
"HOU","SCO","229176","Marigold Extra Life Kitchen Gloves Medium","Marigold","25.0CM","14.3CM","1.4CM","Gloves","Medium","Yellow","2pcs",NA,NA,NA,NA,NA,1
"HOU","SCO","229178","Marigold Longer Bathroom Gloves Medium","Marigold","25.0CM","14.3CM","1.4CM","Gloves","Medium","Yellow","2pcs",NA,NA,NA,NA,NA,1
"HOU","SCO","351848","Marigold Extra Life Kitchen Glove Small","Marigold","25.0CM","14.3CM","1.4CM","Gloves","Small","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","432735","Marigold Wash and Wipe Dish Cloth 2pk","Marigold","23.0CM","21.0CM","1.3CM","Cloths","36 x 36cm","White","2",NA,NA,NA,NA,NA,1
"HOU","SCO","432736","Marigold Wiper Upper 2pk","Marigold","23.0CM","19.0CM","1.3CM","Cloths","34 x 34cm","Yellow","2",NA,NA,NA,NA,NA,1
"HOU","SCO","432737","Marigold Squeaky Clean","Marigold","26.0CM","18.0CM",".7CM","Cloths","29 x 29cm","Purple","1",NA,NA,NA,NA,NA,1
"HOU","SCO","432738","Marigold Let It Shine Microfibre Cloths 4pk","Marigold","18.0CM","18.0CM","20.0CM","Cloths","30 x 30cm","Multi","4",NA,NA,NA,NA,NA,1
"HOU","SCO","432739","Marigold Oops Away All Purpose Cloths 6pk","Marigold","29.0CM","18.5CM","1.5CM","Cloths","35 x 45cm","Pink","6",NA,NA,NA,NA,NA,1
"HOU","SCO","432742","Marigold Scrunchie 3pk","Marigold","22.5CM","11.6CM","4.0CM","Scourers","6.5 x 2 x 6.5cm","Grey","3",NA,NA,NA,NA,NA,1
"HOU","SCO","432743","Marigold Clean and Gleam 2pk","Marigold","9.0CM","13.6CM","4.5CM","Scourers","6.8 x 4.3 x 9cm","Green","2",NA,NA,NA,NA,NA,1
"HOU","SCO","432745","Marigold Cleaning Me Softly 2pk","Marigold","11.5CM","12.6CM","2.5CM","Scourers","11 x 6 x 2.3cm","Green","2",NA,NA,NA,NA,NA,1
"HOU","SCO","448579","Protector Household Gloves Medium","Protector","25.5CM","15.5CM",".5CM","Gloves","Medium","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","132470","Wilko Dish Cloth Roll 8pk","Wilko","6.6CM","26.7CM","6.6CM","Dishcloths","30cmx25cm","White","8pk",NA,NA,NA,NA,NA,1
"HOU","SCO","1348340","Wilko All Purpose Cloths 60 x 33cm 10pk","Wilko","30.5CM","17.7CM","1.1CM","Cloths","60cmx33cm","Multi","10pk",NA,NA,NA,NA,NA,1
"HOU","SCO","157418","Wilko Chamois Cloth Synthetic 40 x 36cm","Wilko","15.0CM","13.0CM","1.5CM","Chamois","40x36cm","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","157429","Wilko Dish Cloths Roll Large 4pk","Wilko","7.4CM","18.8CM","7.4CM","Dishcloths","Extra Large","Multi","4pk",NA,NA,NA,NA,NA,1
"HOU","SCO","157430","Wilko Yellow Dusters Large 4pk","Wilko","7.5CM","27.0CM","7.5CM","Dusters","50x40cm","Yellow","4pk","Mixed Fibre",NA,NA,NA,NA,1
"HOU","SCO","178481","Wilko All Purpose Cloths 30pk","Wilko","31.0CM","16.0CM","4.1CM","Cloths","60x30cm","Multi","30pk",NA,NA,NA,NA,NA,1
"HOU","SCO","178493","Wilko All Purpose Silver Scourers 3pk","Wilko","14.0CM","9.0CM","5.0CM","Scourers","26x13cm","Silver","3pk",NA,NA,NA,NA,NA,1
"HOU","SCO","204899","Wilko Microfibre Cloths 3pk","Wilko","18.9CM","14.6CM","2.8CM","Cloths","16x20cm","Multi","3pk",NA,NA,NA,NA,NA,1
"HOU","SCO","229174","Wilko Antibacterial All Purpose Cloths 10pk","Wilko","37.6CM","17.0CM","1.2CM","Cloths","60x33cm","Multi","10pk",NA,NA,NA,NA,NA,1
"HOU","SCO","269796","Wilko Absorbent Multi Purpose Cloths MultiColoured 10pk","Wilko","6.5CM","30.4CM","10.8CM","Cloths","38x30cm","Multi","10pk",NA,NA,NA,NA,NA,1
"HOU","SCO","300096","Wilko Pearl Scourers Assorted 2pk","Wilko","9.7CM","12.8CM","3.7CM","Scourers","12cmx9cm","Yellow","2pk",NA,NA,NA,NA,NA,1
"HOU","SCO","300127","Wilko Microfibre Cloths Glass Clean System 2pk","Wilko","23.1CM","11.6CM","1.8CM","Cloths","35x35cm",NA,"2pk",NA,NA,NA,NA,NA,1
"HOU","SCO","328244","Wilko  Extra Wear Rubber Gloves Large Yellow","Wilko","25.6CM","14.1CM","3.1CM","Gloves","Large","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","328263","Wilko Microfibre Cloth Pink and White","Wilko","25.0CM","14.0CM","1.2CM","Cloths","40cmx40cm","Multi","1",NA,NA,NA,NA,NA,1
"HOU","SCO","328272","Wilko Glass Cleaning Microfibre Cloth Blue 60 x80cm","Wilko","26.2CM","20.3CM","1.9CM","Cloths","60cmx80cm","Blue","1",NA,NA,NA,NA,NA,1
"HOU","SCO","328279","Wilko Ribbed Dish Cloths 35 x 26cm 4pk","Wilko","17.7CM","12.7CM","3.0CM","Dishcloths","35cmx26cm","Multi","4pk",NA,NA,NA,NA,NA,1
"HOU","SCO","328280","Wilko Microfibre Dish Cloths 30 x 30cm 3pk","Wilko","6.3CM","15.8CM","6.3CM","Dishcloths","30cmx30cm","Multi","3pk",NA,NA,NA,NA,NA,1
"HOU","SCO","82974","Wilko Heavy Duty Rubber Gloves Medium","Wilko","25.0CM","14.3CM","3.1CM","Gloves","Medium","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","82975","Wilko Heavy Duty rubber Gloves Large","Wilko","24.8CM","14.1CM","2.7CM","Gloves","Large","Yellow","1",NA,NA,NA,NA,NA,1
"HOU","SCO","269238","Wilko Functional Rubber Gloves One Size 2pk","Wilko Functional","20.2CM","13.8CM","2.9CM","Gloves","Medium","Multi","2pk",NA,NA,NA,NA,NA,1
"HOU","WAR","190023","Wilko Lint Roller 10m","Wilko","20.0CM","5.0CM","5.0CM","Lint Remover","10m",NA,"1",NA,NA,NA,NA,NA,1
"HOU","WAR","190024","Wilko Lint Roller Refill 10m","Wilko","10.0CM","4.4CM","4.4CM","Lint Remover","10m",NA,"1",NA,NA,NA,NA,NA,1
"HOU","WAR","230807","Wilko Storage Garment Rail Single 160cm approx","Wilko","160.0CM","85.0CM","43.0CM","Clothing and Linen Storage","95x160cm","Multi","1","Stainless Steel",NA,NA,"10kg",NA,1
"HOU","WAR","273493","Wilko Velvet Coat Hangers 5pk","Wilko","24.0CM","45.3CM","3.3CM","Clothing and Coat Hangers","5 Pack","Black","5","Plastic and Wire",NA,NA,NA,NA,1
"HOU","WAR","300340","Wilko Scented Drawer Liners 6pk","Wilko","6.4CM","35.8CM","7.6CM","Scented Sachets","34x28cm",NA,"6pk",NA,NA,NA,NA,NA,1
"HOU","WAR","327957","Wilko Adult Coat Hangers Purple 8pk","Wilko","21.0CM","37.5CM","4.0CM","Clothing and Coat Hangers","Adult","Purple","8","Polypropylene Regrind",NA,NA,NA,NA,1
"HOU","WAR","327965","Wilko Trouser Hanger Velvet Covered Black 2pk","Wilko","43.0CM","5.0CM","45.0CM","Clothing and Coat Hangers","2 Pack","Black","2","Velvet",NA,NA,NA,NA,1
"HOU","WAR","400027","Wilko Jumbo Coat Hanger Charcoal 6pk","Wilko","20.5CM","41.2CM","3.8CM","Clothing and Coat Hangers","Jumbo","Black","6","N/A",NA,NA,NA,NA,1
"HOU","WAR","437028","Wilko Kids Hangers 5pk","Wilko","2.3CM","19.0CM","30.0CM","Clothing and Coat Hangers","Kids","Multi","5","Polypropylene",NA,NA,NA,NA,1
"HOU","WAR","292469","Zensect Hanging Moth Proofer Lavender Fragrance4pk","Zensect","22.0CM","7.7CM","3.5CM","Moth Proofers","8x7.5cm",NA,"4",NA,NA,NA,NA,NA,1
