"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"231084","Dulux Bathroom+ Soft Sheen Emulsion PaintPure Brilliant White 2.5L","Dulux","Bathroom Paint","35m²","White",NA,"2.5L",0.941666666666667
"340572","Dulux Bathroom+ Soft Sheen Emulsion PaintChic Shadow 2.5L","Dulux","Bathroom Paint",NA,"Cream","1","2.5L",0.941666666666667
"340574","Dulux Bathroom+ Soft Sheen Emulsion PaintFrosted Steel 2.5L","Dulux","Bathroom Paint",NA,"Metal",NA,"2.5L",0.883333333333333
"340821","Dulux Bathroom+ Soft Sheen Emulsion PaintMarine Splash 2.5L","Dulux","Bathroom Paint",NA,"Green","1","2.5L",0.941666666666667
"341264","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Marine Splash 50ml","Dulux","Paint Tester Pot",NA,"Green",NA,"50ml",0.883333333333333
"341378","Dulux Bathroom+ Soft Sheen Emulsion PaintJasmine White 2.5L","Dulux","Bathroom Paint",NA,"White","1","2.5L",0.941666666666667
"341379","Dulux Bathroom+ Soft Sheen Emulsion PaintMagnolia 2.5L","Dulux","Bathroom Paint",NA,"Cream","1","2.5L",0.941666666666667
"341381","Dulux Bathroom+ Soft Sheen Emulsion PaintMineral Mist 2.5L","Dulux","Bathroom Paint",NA,"Blue","1","2.5L",0.941666666666667
"341382","Dulux Bathroom+ Soft Sheen Emulsion PaintNatural Hessian 2.5L","Dulux","Bathroom Paint",NA,"Brown",NA,"2.5L",0.883333333333333
"341383","Dulux Bathroom+ Soft Sheen Emulsion PaintNatural Calico 2.5L","Dulux","Bathroom Paint",NA,"Brown",NA,"2.5L",0.883333333333333
"341384","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Frosted Steel 50ml","Dulux","Paint Tester Pot",NA,"Metal","1","50ml",0.941666666666667
"341387","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Jasmine White 50ml","Dulux","Paint Tester Pot",NA,"White",NA,"50ml",0.883333333333333
"341389","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Mineral Mist 50ml","Dulux","Paint Tester Pot",NA,"Blue","1","50ml",0.941666666666667
"341391","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Natural Hessian 50ml","Dulux","Paint Tester Pot",NA,"Brown",NA,"50ml",0.883333333333333
"341392","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Natural Calico 50ml","Dulux","Paint Tester Pot",NA,"Brown","1","50ml",0.941666666666667
"341393","Dulux Kitchen+ Matt Emulsion PaintFrosted Steel 2.5L","Dulux","Kitchen Paint",NA,"Metal",NA,"2.5L",0.883333333333333
"341395","Dulux Kitchen+ Matt Emulsion PaintJasmine White 2.5L","Dulux","Kitchen Paint",NA,"White","1","2.5L",0.941666666666667
"341396","Dulux Kitchen+ Matt Emulsion PaintLuscious Lime 2.5L","Dulux","Kitchen Paint",NA,"Green","1","2.5L",0.941666666666667
"341397","Dulux Kitchen+ Matt Emulsion PaintMagnolia 2.5L","Dulux","Kitchen Paint",NA,"Cream","1","2.5L",0.941666666666667
"341438","Dulux Kitchen+ Matt Emulsion PaintNatural Calico 2.5L","Dulux","Kitchen Paint",NA,"Brown","1","2.5L",0.941666666666667
"341439","Dulux Kitchen+ Matt Emulsion PaintNatural Hessian 2.5L","Dulux","Kitchen Paint",NA,"Brown",NA,"2.5L",0.883333333333333
"341440","Dulux Kitchen+ Matt Emulsion PaintOvertly Olive 2.5L","Dulux","Kitchen Paint",NA,"Green",NA,"2.5L",0.883333333333333
"341447","Dulux Kitchen+ Matt Emulsion PaintSoft Vanilla 2.5L","Dulux","Kitchen Paint",NA,"Cream",NA,"2.5L",0.883333333333333
"341448","Dulux Kitchen+ Matt Emulsion PaintWillow Tree 2.5L","Dulux","Kitchen Paint",NA,"Green",NA,"2.5L",0.883333333333333
"341450","Dulux Kitchen+ Matt Emulsion Paint Tester PotFrosted Steel 50ml","Dulux","Paint Tester Pot",NA,"Metal",NA,"50ml",0.883333333333333
