"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"324894","Wilko Housewife Pillowcase White 2pk","Wilko","Housewife Pillowcase","White","2pk","Washable","75x50cm","52% Polyester, 48% Cotton",1
"324901","Wilko Housewife Pillowcase Cream 2pk","Wilko","Housewife Pillowcase","Cream","2pk","Washable","75x50cm","52% Polyester, 48% Cotton",1
"324909","Wilko Oxford Pillowcases White 2pk","Wilko","Oxford Pillowcase","White","2pk","Washable","75x50cm","100% Cotton",1
"324924","Wilko Housewife Pillowcase Parchment 2pk","Wilko","Housewife Pillowcase","Brown","2pk","Washable","75x50cm","100% Cotton",1
"324925","Wilko Oxford Pillowcases Parchment 2pk","Wilko","Oxford Pillowcase","Brown","2pk","Washable","75x50cm","100% Cotton",1
"325405","Wilko Housewife Pillowcases Taupe 2pk","Wilko","Housewife Pillowcase","Orange","2pk","Washable","75x50cm","100% Cotton",1
"325406","Wilko Oxford Pillowcases Taupe 2pk","Wilko","Oxford Pillowcase","Orange","2pk","Washable","75x50cm","100% Cotton",1
"327035","Wilko Housewife Pillowcases White 2pk","Wilko","Housewife Pillowcase","White","2pk","Washable","75x50cm","100% Cotton",1
"326854","Wilko Best Sateen Oxford Pillowcase White","Wilko Best","Oxford Pillowcase","White","1","Washable","75x50cm","100% Cotton",1
"326866","Wilko Best Oxford Pillowcase Cream","Wilko Best","Oxford Pillowcase","Cream","1","Washable","75x50cm","100% Cotton",1
"326384","Wilko Functional Housewife Pillowcases Cream 2pk","Wilko Functional","Housewife Pillowcase","White","2pk","Washable","75x50cm","52% Polyester, 48% Cotton",1
