"Article","Web Description","DQ Score"
"416263","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 3",1
"416267","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 3",1
"416271","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 3",1
"416275","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 3",1
"416289","Forest Garden Hamburg Screen Panel 1.8m Pk of 6",1
"416290","Forest Garden Prague Fence Panel 1.8m Pk of 3",1
"416298","Forest Garden Close Board Fence Panel 3ft Pk of 3",1
"416302","Forest Garden Close Board Fence Panel 4ft Pk of 3",1
"416306","Forest Garden Close Board Fence Panel 5ft Pk of 3",1
"416310","Forest Garden Close Board Fence Panel 6ft Pk of 3",1
"416320","Forest Garden Pale Fence Panel Pk of 5",1
"416321","Forest Garden Pale Fence Panel Pk of 6",1
"416326","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 4",1
"416328","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 6",1
"416329","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 7",1
