"Article","Web Description","Brand","DQ Score"
"300603","Heavy Duty Dustbin Black Plastic 80L","Strata",0.95
"165744","Pedal Bin Stainless Steel 30L","Wilko",0.891666666666667
"317172","Wilko Lift Top Waste Bin White 50L","Wilko Functional",0.891666666666667
