"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Assembly","Material","DQ Score"
"178551","Wilko Salt and Pepper Set","Wilko","Salt and Pepper Sets","2","Set","Clear",NA,NA,1
"325473","Wilko Floral Cushion Red 43 x 43cm","Wilko","Patterned Cushion",NA,"43x43cm","Red","No","100% Cotton",1
"325498","Wilko Faux Mongolian Red 43 x 43cm","Wilko","Mongolian Cushion",NA,"43x43cm","Red","No","100% Polyester",1
"325499","Wilko Faux Mongolian Cushion Natural 43 x 43cm","Wilko","Mongolian Cushion",NA,"43x43cm","Cream","No","100% Polyester",1
"325500","Wilko Faux Mongolian Green 43 x 43cm","Wilko","Mongolian Cushion",NA,"43x43cm","Green","No","100% Polyester",1
"328805","Wilko Madison Cutlery Set 16 Piece","Wilko","Cutlery Sets","16pcs","16 Piece Set","Silver",NA,NA,1
"328829","Wilko Lexington Cutlery Set 16 Piece","Wilko","Cutlery Sets","16pcs","16 Piece Set","Silver",NA,NA,1
"328884","Wilko Como Cutlery Set 24 Piece","Wilko","Cutlery Sets","24pcs","24 Piece Set","Silver",NA,NA,1
"447291","Wilko Serving Spoons 2 Piece","Wilko","Spoons","2","2 piece","Silver",NA,NA,1
"447295","Wilko Steak Knives 6 Pack","Wilko","Steak Knives","6","Handle W - 1.5cm, Blade W - 1.8cm, H - 22cm, 70gm","Silver",NA,NA,1
"447297","Wilko Hanging Cutlery 32 Piece","Wilko","Cutlery","32","teaspoon 13.7cm, spoon 19.4cm, fork 19.4cm, knife","Silver",NA,NA,1
"455642","Wilko Herringbone Throw Duck Egg 127 x 152cm","Wilko","Throws","1","127 x 152cm","Blue",NA,"Cotton",1
"455645","Wilko Herringbone Cushion Duck Egg 43x43cm","Wilko","Cushions",NA,"43 x 43cm","Blue","No","100% cotton cover 100% polyester fill",1
"455659","Wilko LED Cushion Red 43x43cm","Wilko","Cushions","1","43 x 43cm","Red",NA,"100% Polyester",1
"455660","Wilko LED Cushion Silver 43x43cm","Wilko","Cushions","1","43 x 43cm","Silver",NA,"100% Polyester",1
"455661","Wilko Scandi Red Cushion 43 x 43cm","Wilko","Cushions","1","43 x 43cm","Red",NA,"Polyester, cotton viscose",1
"302949","Wilko Functional Knives Stainless Steel 6pk","Wilko Functional","Knife","6pcs","6 Piece Set","Silver",NA,NA,1
