"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Size","DQ Score"
"441376","Avengers Plates 23cm 8pk","Avengers","Party Plates","Black",NA,"8","3 To 18",NA,0.941666666666667
"441377","Avengers Plastic Cups 8pk","Avengers","Party Cups","Black",NA,"8","3 To 18",NA,0.941666666666667
"441378","Avengers Napkins 20pk","Avengers","Napkins","Black",NA,"20","3 To 18",NA,0.941666666666667
"441379","Avengers Tablecover","Avengers","Table Covers","Black",NA,"1","3 To 18",NA,0.941666666666667
"441380","Avengers Party Bags 6pk","Avengers","Loot Bags","Black",NA,"6","3 To 18",NA,0.941666666666667
"441381","Avengers Party Invitations 6pk","Avengers","Party Invites","Black",NA,"6","3 To 18",NA,0.941666666666667
"441364","Princess Plates 23cm 8pk","Disney","Party Plates","Pink",NA,"8","3 To 18",NA,0.891666666666667
"441365","Princess Plastic Cup 8pk","Disney","Party Cups","Pink",NA,"8","3 To 18",NA,0.891666666666667
"441366","Princess Napkins 20pk","Disney","Napkins","Pink",NA,"20","3 To 18",NA,0.891666666666667
"441367","Princess Tablecover","Disney","Table Covers","Pink",NA,"1","3 To 18",NA,0.891666666666667
"441368","Princess Party Bags 6pk","Disney","Loot Bags","Pink",NA,"6","3 To 18",NA,0.891666666666667
"441369","Princess Party Invitations 6pk","Disney","Party Invites","Pink",NA,"6","3 To 18",NA,0.891666666666667
"334339","Illooms Light Up Balloons Happy Birthday","Illoom","Balloons",NA,NA,"1",NA,NA,0.86
"413605","Illooms Light Up Balloons Mixed Faces 5pk","Illoom","Balloons",NA,NA,"5",NA,NA,0.86
"413610","Illooms Light Up Balloons Plain Mixed Colour 5pk","Illoom","Balloons",NA,NA,"5pk",NA,NA,0.86
"441451","Paw Patrol Plates 23cm 8pk","Paw Patrol","Party Plates","Multi",NA,"8",NA,NA,0.883333333333333
"441452","Paw Patrol Napkins 20pk","Paw Patrol","Napkins","Multi",NA,"20",NA,NA,0.883333333333333
"441453","Paw Patrol Tablecover","Paw Patrol","Table Covers","Multi",NA,"1",NA,NA,0.883333333333333
"441454","Paw Patrol Party Bags 8pk","Paw Patrol","Loot Bags","Multi",NA,"8",NA,NA,0.883333333333333
"441455","Paw Patrol Cups 8pk","Paw Patrol","Party Cups","Multi",NA,"8",NA,NA,0.883333333333333
"441456","Paw Patrol Party Invitations  8pk","Paw Patrol","Party Invites","Multi",NA,"8",NA,NA,0.883333333333333
"441370","Finding Dory Plates 23cm 8pk","Pixar","Party Plates","Yellow",NA,"8","3 To 18",NA,0.891666666666667
"441371","Finding Dory Plastic Cups 8pk","Pixar","Party Cups","Yellow",NA,"8","3 To 18",NA,0.891666666666667
"441372","Finding Dory Napkins 20pk","Pixar","Napkins","Yellow",NA,"20","3 To 18",NA,0.891666666666667
"441373","Finding Dory Tablecover","Pixar","Table Covers","Yellow",NA,"1","3 To 18",NA,0.891666666666667
"441374","Finding Dory Party Bags 6pk","Pixar","Loot Bags","Yellow",NA,"6","3 To 18",NA,0.891666666666667
"334358","Snazaroo Face Painting Sticks","Snazaroo","Face Paints",NA,NA,"1",NA,NA,0.825
"441382","Star Wars Plates 23cm 8pk","Star Wars","Party Plates","Black",NA,"8","3 To 18",NA,0.941666666666667
"441383","Star Wars Plastic Cups 8pk","Star Wars","Party Cups","Black",NA,"8","3 To 18",NA,0.941666666666667
"441384","Star Wars Napkins 20pk","Star Wars","Napkins","Black",NA,"20","3 To 18",NA,0.891666666666667
"441385","Star Wars Tablecover","Star Wars","Table Covers","Black",NA,"1","3 To 18",NA,0.891666666666667
"441386","Star Wars Party Bags 6pk","Star Wars","Loot Bags","Black",NA,"6","3 To 18",NA,0.941666666666667
"441387","Star Wars Party Invitations 6pk","Star Wars","Party Invites","Black",NA,"6","3 To 18",NA,0.941666666666667
"441445","Turtles Plates 8pk","Teenage Mutant Ninja Turtles","Party Plates","Multi",NA,"8",NA,NA,0.833333333333333
"441446","Turtles Napkins 20pk","Teenage Mutant Ninja Turtles","Napkins","Multi",NA,"20",NA,NA,0.833333333333333
"441447","Turtles Tablecover","Teenage Mutant Ninja Turtles","Table Covers","Multi",NA,"1",NA,NA,0.833333333333333
"441448","Turtles Lootbags","Teenage Mutant Ninja Turtles","Loot Bags","Multi",NA,"6",NA,NA,0.833333333333333
"441449","Turtles Cups 8pk","Teenage Mutant Ninja Turtles","Party Cups","Multi",NA,"8",NA,NA,0.833333333333333
"441450","Turtles Party Invitations 6pk","Teenage Mutant Ninja Turtles","Party Invites","Multi",NA,"6",NA,NA,0.833333333333333
"334318","Donkey Pinata","Unique Party","Pinata",NA,NA,"1",NA,NA,0.775
"413666","Bats and Balls Party Favours 4pk","Unique Party","Party Favours","Multi",NA,"4pk",NA,NA,0.88
"413667","Noses and Glasses Party Favours 4pk","Unique Party","Party Favours","Multi",NA,"4pk",NA,NA,0.88
"413668","Winner Medals Party Favours 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413670","Yoyos Party Favours 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413671","Spinning Tops Party Favours 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413672","Swirl Ball Chaser Party Favour 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413673","Bouncy Balls Party Favour 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413674","Parachute Men 4pk","Unique Party","Party Favours","Multi",NA,"1",NA,NA,0.88
"413679","Water Bombs Small Bag 165pk","Unique Party","Water Bombs","Multi",NA,"1",NA,NA,0.88
"413680","Punch Ball Favours 4pk","Unique Party","Punch Balls","Multi",NA,"1",NA,NA,0.88
"413726","Balloon Weight Iridescent","Unique Party","Balloon Weight","Multi",NA,"1",NA,NA,0.88
"413741","Party Cannon 30cm","Unique Party","Party Cannons","Multi",NA,"1",NA,NA,0.88
"413744","Pinata Blindfold and Pinata Buster","Unique Party","Pinata Mask Kit","Multi",NA,"1","3 Years +",NA,0.891666666666667
"413768","Pirate Ship Pinata","Unique Party","Pinata","Multi",NA,"1","3 Years +",NA,0.891666666666667
"441388","Finding Dory 3D Pinata","Unique Party","Pinata","Multi",NA,"1","3+",NA,0.891666666666667
"441389","Kylo Ren 3D Pinata","Unique Party","Pinata","Black",NA,"1","3+",NA,0.891666666666667
"441581","Unique Chevron Happy Birthday Tableware Party Pack","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441582","Unique Princess Tableware Party Party Pack","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441583","Unique Football Tableware Party Pack","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441585","Unique Tableware Party Pack Purple Chevron","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441586","Unique Tableware Party Pack Teal Chevron","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441587","Unique Tableware Party Pack Grey Chevron","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441589","Unique Tableware Party Pack Gold","Unique Party","Party Pack","Multi",NA,"43",NA,NA,0.88
"441590","Unique Tableware Party Pack Silver","Unique Party","Party Pack","Multi",NA,"43",NA,NA,0.88
"441592","Unique Tableware Party Pack Black","Unique Party","Party Pack","Multi",NA,"43",NA,NA,0.88
"441594","Unique Polka Dot Tableware Party Pack Powder Blue","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441595","Unique Polka Dot Tableware Party Pack Pink","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"441596","Unique Polka Dot Tableware Party Pack Red","Unique Party","Party Pack","Multi",NA,"33",NA,NA,0.88
"246666","Wilko Pin the Tail on the Donkey Party Game","Wilko","Games","Multi",NA,"1","3 Years +",NA,0.941666666666667
"270029","Wilko Foil Banner Birthday Girl 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"270030","Wilko Banner Birthday Boy 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"270561","Wilko Foil Banner Happy Birthday 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"270563","Wilko Balloon Pump","Wilko","Balloon Pumps","Multi",NA,"1",NA,NA,0.93
"298056","Wilko Banner 1st Birthday Pink 3.6m","Wilko","Birthday Banners",NA,NA,"1",NA,NA,0.9125
"298057","Wilko Banner 1st Birthday Blue 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"298058","Wilko Banner 18th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"298059","Wilko Banner Happy 21st Birthday 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"298060","Wilko Banner 30th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"298061","Wilko Banner 40th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"298062","Wilko Banner Happy 50th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,"1",NA,NA,0.9125
"298063","Wilko Banner Happy 60th Birthday  3.6m","Wilko","Birthday Banners",NA,NA,NA,NA,NA,0.825
"413636","Wilko Party Numerical Birthday Candle Number 2","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413637","Wilko Party Numerical Birthday Candle Number 3","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413638","Wilko Party Numerical Birthday Candle Number 4","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413639","Wilko Party Numerical Birthday Candle Number 5","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413640","Wilko Party Numerical Birthday Candle Number 6","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413641","Wilko Party Numerical Birthday Candle Number 7","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413642","Wilko Party Numerical Birthday Candle Number 8","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413643","Wilko Party Numerical Birthday Candle Number 9","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413644","Wilko Party 12 Pink Candles","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413645","Wilko Party 12 Blue Candles","Wilko","Candles","Multi",NA,"12pk",NA,NA,0.93
"413647","Wilko Party 8 Star Topped Candles","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413648","Wilko Party Stardust Table Confetti","Wilko","Confetti","Multi",NA,"1",NA,NA,0.93
"413649","Wilko Party Balloons Table Confetti","Wilko","Confetti","Multi",NA,"1",NA,NA,0.93
"413650","Wilko Party Cheers Table Confetti Silver/Black/Gold","Wilko","Confetti","Multi",NA,"1",NA,NA,0.93
"413651","Wilko Party Cupcake Candle Toppers","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413652","Wilko Party Football Candle Toppers","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413657","Wilko Party Princess Candles","Wilko","Candles","Multi",NA,"1",NA,NA,0.93
"413710","Wilko Birthday Balloons Assorted 10pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413712","Wilko Balloons Assorted 25pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413713","Wilko Balloons Pink 8pk","Wilko","Balloons","Multi",NA,"8",NA,NA,0.93
"413714","Wilko Shaped Balloons 5pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413715","Wilko Balloons Blue 8pk","Wilko","Balloons","Multi",NA,"8",NA,NA,0.93
"413716","Wilko Balloons Silver Effect 8pk","Wilko","Balloons","Multi",NA,"8",NA,NA,0.93
"413719","Wilko Balloons 21st Birthday 10pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413720","Wilko Balloons 18th Birthday 10pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413721","Wilko Balloons 40th Birthday 10pk","Wilko","Balloons","Multi",NA,"10",NA,NA,0.93
"413722","Wilko Balloons 50th Birthday 10pk","Wilko","Balloons","Multi",NA,"10",NA,NA,0.93
"413723","Wilko Balloons 30th Birthday 10pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413724","Wilko Balloons 60th Birthday 10pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.93
"413732","Party Poppers 30pk","Wilko","Party Poppers","Multi",NA,"1",NA,NA,0.88
"413733","Sparkler Candles","Wilko","Sparkler Candles","Multi",NA,"1",NA,NA,0.88
"413734","Ice Fountain 2pk","Wilko","Ice Fountain","Multi",NA,"1",NA,NA,0.88
"413736","Wilko Party Glow Sticks Bracelets 15pk","Wilko","Glow Sticks","Multi",NA,"1",NA,NA,0.93
"413737","Wilko Party Glow Glasses","Wilko","Glow Glasses","Multi",NA,"1","5 Years +",NA,0.941666666666667
"413742","Generic Blowouts 4pk","Wilko","Blowouts","Multi",NA,"1",NA,NA,0.88
"413745","Party Hats 6pk","Wilko","Party Hats","Multi",NA,"1",NA,NA,0.88
"413770","Pirate Balloons 6pk","Wilko","Balloons","Multi",NA,"1",NA,NA,0.88
"413786","Princess Award Ribbon Badge","Wilko","Award Ribbons",NA,NA,"1","4 Years +",NA,0.833333333333333
"413795","Princess Balloons 6pk","Wilko","Balloons",NA,NA,"1",NA,NA,0.81
"413808","Party Bubbles 4pk","Wilko","Bubbles",NA,NA,"4","3 Years +",NA,0.833333333333333
"414411","Heart Shaped Balloons Red 5pk","Wilko","Balloons",NA,NA,"5",NA,NA,0.81
"414412","Assorted Shape Balloons 50pk","Wilko","Balloons",NA,NA,"50",NA,NA,0.81
"414413","Pearlised Balloons Multi 8pk","Wilko","Balloons",NA,NA,"8",NA,NA,0.81
"414415","Neon Balloons Multi 8pk","Wilko","Balloons",NA,NA,"8",NA,NA,0.81
