"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"426634","Minions Fibre Optic Light","Minions","Kids Lamps",NA,"Batteries","1","8 x 8 x 31.50 cm",0.941666666666667
"426696","Minions Illumi-Mates","Minions","Kids Lamps",NA,NA,"1","7.70 x 7.80 x 13.20 cm",0.883333333333333
"432844","Football Illumi Mate","Other","Night Lights",NA,NA,"1","10 x 10 x 9.50 cm",0.783333333333333
"451479","Paw Patrol Illumi Mate Comfort Light","Other","Kids Lamps",NA,NA,"1","9 x 9.5 x 13cm",0.833333333333333
"451480","Shimmer andShine Illumimate Assorted","Other","Kids Lamps",NA,NA,NA,NA,0.716666666666667
"451478","Marvel Spiderman Illumi Mate Comfort Light","Spiderman","Kids Lamps",NA,NA,"1","10.24 x 8.2 x 12cm",0.883333333333333
"432858","Star Wars Fibre Optic Light","Star Wars","Kids Lamps",NA,"Batteries 3 AAA","1","8 x 8 x 31.50 cm",0.941666666666667
"432861","Star Wars String Lights","Star Wars","String Lights",NA,NA,"1","280 x 2.30 x 6.50 cm",0.883333333333333
"273477","Wilko Football Papershade","Wilko","Kids Light Shades","Blue",NA,"1","34cm",0.941666666666667
"305093","Wilko Lazer Cut Paper Light Shade Pink 30cm","Wilko","Kids Light Shades","Pink",NA,NA,"30cm",0.883333333333333
"332947","Wilko Plug In Night Light Soft White Glow","Wilko","Night Lights",NA,"Mains","1",NA,0.883333333333333
"340702","Wilko Butterfly String  Lights","Wilko","String Lights","White",NA,"1","1.7m",0.941666666666667
"410430","Wilko Galaxy Cut Out Shade","Wilko","Kids Light Shades",NA,NA,"1",NA,0.825
"432852","Wilko Pink Shade","Wilko","Kids Light Shades",NA,NA,"1","25cm High, 20cm Diameter",0.883333333333333
