"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"434416","Wilko Halogen Bulb GU10 Cap 28W (35W) 3pk","Wilko","Halogen",NA,"3","28W",0.93
"434417","Wilko Halogen Bulb GU10 Cap 40W (50W) 3pk","Wilko","Halogen",NA,"3","40W",0.93
"434418","Wilko Halogen Bulb GU10 Cap 40W 6pk","Wilko","Halogen",NA,"6","40W",0.93
"434426","Wilko Halogen Capsule G4 Cap 20W 4pk","Wilko","Halogen",NA,"4","20W",0.93
"434427","Wilko Halogen Capsule G4 Cap 10W 4pk","Wilko","Halogen",NA,"4","10W",0.93
"434428","Wilko Halogen Capsule G9 Cap 18W 4pk","Wilko","Halogen",NA,"4","18W",0.93
"434429","Wilko Halogen Capsule G9 Cap 28W 4pk","Wilko","Halogen",NA,"4","28W",0.93
"434431","Wilko Halogen Spotlight Bulb R50 SES Cap 28W 4pk","Wilko","Halogen",NA,"4","28W",0.93
"434432","Wilko Halogen Spotlight Bulb R63 ES Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434434","Wilko Halogen Bulb GLS BC Cap 28W A55 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434435","Wilko Halogen Bulb GLS BC Cap 42W A55 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434436","Wilko Halogen Bulb GLS BC Cap 42W A55 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434437","Wilko Halogen Bulb GLS BC Cap 70W A55 2pk","Wilko","Halogen",NA,"2","70W",0.93
"434438","Wilko Halogen Bulb GLS BC Cap 70W A55 4pk","Wilko","Halogen",NA,"4","70W",0.93
"434439","Wilko Halogen Bulb GLS ES Cap 28W A55 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434440","Wilko Halogen Bulb GLS ES Cap 42W A55 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434441","Wilko Halogen Bulb GLS ES Cap 42W A55 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434442","Wilko Halogen Bulb GLS ES Cap 70W A55 2pk","Wilko","Halogen",NA,"2","70W",0.93
"434443","Wilko Halogen Bulb GLS BC Cap 105W A60 2pk","Wilko","Halogen",NA,"2","105W",0.93
"434444","Wilko Halogen Bulb GLS ES Cap 105W A60 2pk","Wilko","Halogen",NA,"2","105W",0.93
"434445","Wilko Halogen Bulb Candle SBC Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434446","Wilko Halogen Bulb Candle BC Cap 18W 2pk","Wilko","Halogen",NA,"2","18W",0.93
"434447","Wilko Halogen Bulb Candle BC Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434448","Wilko Halogen Bulb Candle BC Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434449","Wilko Halogen Bulb Candle BC Cap 42W 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434450","Wilko Halogen Bulb Candle SES Cap 18W 2pk","Wilko","Halogen",NA,"2","18W",0.93
"434451","Wilko Halogen Bulb Candle SES Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434452","Wilko Halogen Bulb Candle SES Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434453","Wilko Halogen Bulb Candle SES Cap 42W 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434454","Wilko Halogen Bulb Candle ES Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434455","Wilko Halogen Bulb Candle ES Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434456","Wilko Halogen Bulb Round SBC Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434457","Wilko Halogen Bulb Round BC Cap 18W 2pk","Wilko","Halogen",NA,"2","18W",0.93
"434458","Wilko Halogen Bulb Round BC Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434459","Wilko Halogen Bulb Round BC Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434460","Wilko Halogen Bulb Round BC Cap 42W 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434461","Wilko Halogen Bulb Round SES Cap 18W 2pk","Wilko","Halogen",NA,"2","18W",0.93
"434462","Wilko Halogen Bulb Round SES Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434464","Wilko Halogen Bulb Round SES Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"434465","Wilko Halogen  Bulb Round SES Cap 42W 4pk","Wilko","Halogen",NA,"4","42W",0.93
"434466","Wilko Halogen Bulb  Round ES Cap 28W 2pk","Wilko","Halogen",NA,"2","28W",0.93
"434467","Wilko Halogen Bulb  Round ES Cap 42W 2pk","Wilko","Halogen",NA,"2","42W",0.93
"437658","Wilko Halogen Bulb GU5.3 Cap 50W 6pk","Wilko","Halogen",NA,"6pk","50W",0.93
"437659","Wilko Halogen Bulb GLS ES Cap 70W 4pk A55","Wilko","Halogen",NA,"4","70W",0.93
"437660","Wilko Halogen Bulb Candle SES Cap 28w 4pk","Wilko","Halogen",NA,"4","28W",0.93
"437661","Wilko Ecohalogen Fireglow Bulb 60W 2pk","Wilko","Halogen",NA,"2","42W",0.93
