"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"288144","Korbond Knitting Needles 4mm x 35cm","Korbond","Knitting Needles",NA,"2pcs","0.4x35cm","Aluminium",0.941666666666667
"351977","Korbond Circular Knitting Needle 5.0mm","Korbond","Knitting Accessories ",NA,NA,"5.0mm",NA,0.825
"433357","Crochet Hook Set 3pk","Korbond","Knitting Accessories ",NA,"3",NA,NA,0.775
"101942","Yarnfair DK Acrylic Yarn White 100g","Yarnfair","Yarn","White",NA,"100g","Acrylic",0.941666666666667
"135117","Yarnfair Baby DK Acrylic Yarn Baby Pink 100g","Yarnfair","Yarn","Pink",NA,"100g","Acrylic",0.941666666666667
"135119","Yarnfair Baby DK Acrylic Baby Blue 100g","Yarnfair","Yarn","Blue",NA,"100g","Acrylic",0.941666666666667
"221695","Yarnfair Baby DK Acrylic Yarn White 100g","Yarnfair","Yarn","White",NA,"100g","Acrylic",0.941666666666667
"329121","Yarnfair DK  Acrylic  Yarn Ruby Red 100g","Yarnfair","Yarn","Red",NA,"100g","Acrylic",0.941666666666667
"417106","Yarnfair Stripes DK  Acrylic and Wool YarnBlue/Cream50g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417107","Yarnfair Sparkle Chunky Acrylic and Metalic YarnSilver/White 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417110","Yarnfair Flying Colours Acrylic and Wool YarnShocking Pink/Lime/Purple 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417112","Yarnfair Poppet Baby DK Acrylic YarnCream/Pink/Lilac 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
