"Article","Web Description","DQ Score"
"ab00011","Abru Step Ezee 2 Step Stepstool",0.8625
"ab00012","Abru 2 Step Large Stepstool",0.8625
"ab00013","Abru 5 Tread High Handrail Stepladder",0.8625
"ab00016","Abru 3 Way Combination ladder with Tray",0.8625
"ab00017","Abru Easy Stow 3  Section Loft Ladder",0.8625
"ab00018","Abru Easy Stow 3  Section Loft Ladder",0.8625
"ab00019","Abru DIY 2.5m Double Extension Ladder",0.95
"ab00020","Abru DIY 3.4m Double Extension Ladder",0.95
"ab00021","Abru DIY 2.8m Triple Extension Ladder",0.95
