"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"258466","L'Oreal Elvive Full Restore 5 Damaged HairShampoo 400ml","L'Oreal","Shampoo","1","400ml",1
"258468","L'Oreal Elvive Colour Protect Coloured HairConditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"258469","L'Oreal Elvive Full Restore 5 Damaged HairConditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"307579","L'Oreal Elvive Nutri Gloss Shine Dull HairConditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"347741","L'Oreal Elvive Fibrology Fine Hair ThickeningShampoo 400ml","L'Oreal","Shampoo","1","400ml",1
"352328","L'Oreal Elvive Extraordinary Oil Dry Hair Shampoo400ml","L'Oreal","Shampoo","1","400ml",1
"352329","L'Oreal Elvive Extraordinary Oil Dry HairConditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"429010","L'Oreal Elvive Clay Oily Roots Shampoo 400ml","L'Oreal","Shampoo","1","400ml",1
"429011","L'Oreal Elvive Clay Oily Roots Conditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"429012","L'Oreal Elvive Clay Oily Roots Shampoo 250ml","L'Oreal","Shampoo","1","250ml",1
"429013","L'Oreal Elvive Clay Oily Roots Conditioner 250ml","L'Oreal","Conditioner","1","250ml",1
"449219","L'Oreal Elvive Fibrology Air Flat Hair Shampoo400ml","L'Oreal","Shampoo","1","400ml",1
"449220","L'Oreal Elvive Fibrology Air Flat HairConditioner 400ml","L'Oreal","Conditioner","1","400ml",1
"452894","L'Oreal Studio Pro Heat It Hot and Go 150ml","L'Oreal","Heat Protection","1","150ml",1
"278421","Neutrogena T-Gel Shampoo 250ml","Neutrogena","Shampoo","1","250ml",1
"324866","Nizoral Anti Dandruff Shampoo 60ml","Nizoral","Shampoo","1","60ml",1
"236475","Pantene Smooth and Sleek Conditioner 360ml","Pantene","Conditioner","1","400ml",1
"236481","Pantene Smooth and Sleek Shampoo for Dry FrizzyHair 400ml","Pantene","Shampoo","1","400ml",1
"236482","Pantene Repair and Protect Conditioner 360ml","Pantene","Conditioner","1","400ml",1
"236483","Pantene Repair and Protect Shampoo for DamagedHair 400ml","Pantene","Shampoo","1","400ml",1
"252028","Pantene 2 in 1 Shampoo and Conditioner Smooth andSleek for Dry and Frizzy Hair 400ml","Pantene","Shampoo","1","400ml",1
"273854","Pantene Colour Protect Shampoo for Coloured Hair400ml","Pantene","Shampoo","1","400ml",1
"281796","Pantene 2 in 1 Shampoo and Conditioner ClassicClean For Normal Hair 400ml","Pantene","2 in 1 Shampoo and Conditioner","1","400ml",1
"281797","Pantene 2 in 1 Shampoo and Conditioner Volume andBody for Fine Hair 400ml","Pantene","2 in 1 Shampoo and Conditioner","1","400ml",1
"302584","Pantene Colour Protect and Smooth Conditioner360ml","Pantene","Conditioner","1","360ml",1
"48111","Schwarzkopf Gliss Hair Repair Shine Tonic 100ml","Schwarzkopf","Hair Treatments and Oils","1","100ml",1
"429006","Pro Voke Touch Of Silver Brightening Shampoo150ml","Touch of Silver","Shampoo","1","150ml",1
