"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Washable","Size","Material","Assembly","DQ Score"
"TOY","ACT","456605","Hot Wheels Light and Sound Extreme Action","Wilko","Cars and Playsets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","ACT","456619","Zuru Micro Boats Assorted","Wilko","Water Toys","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","ACT","456620","Micro Boat Water Slide Playset","Wilko","Waterboats and Playsets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","ACT","285276","WWE Figure 6in Assortment","WWE","Action Figures","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","ACT","439743","WWE Mini Figure Assorted","WWE","Collectables","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","446943","Wilko Blox Police Starter Tube","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447278","Wilko Blox Police and Robbery Medium Set","Wilko","Police and Fire Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447279","Wilko Blox Dump Truck Medium Set","Wilko","City Contruction Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447298","Wilko Blox Military Starter Tube","Wilko","Military Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447299","Wilko Blox City Riders Starter Tube","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447300","Wilko Blox Fireman Starter Tube","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","BLO","447301","Wilko Blox Construction Starter Tube","Wilko","City Contruction Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
