"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","DQ Score"
"PET","100","314272","Arden Grange Adult Complete Dry Dog Food with Fresh Chicken and Rice 2kg","Arden Grange","40.1CM","35.0CM","11.0CM","Small Bagged Food","2kg",NA,"1",NA,1
"PET","100","314809","Arden Grange Complete Dry Dog Food Adult Chicken and Rice 12kg","Arden Grange","18.0CM","37.5CM","62.0CM","Large Bagged Food","12kg",NA,"1",NA,1
"PET","100","314810","Arden Grange Complete Dry Dog Food Adult Lamb andRice 12kg","Arden Grange","18.0CM","37.5CM","62.0CM","Large Bagged Food","12kg",NA,"1",NA,1
"PET","100","453835","Bob Martin Chef's Selection Fish Pouches 12x85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,1
"PET","100","453836","Bob Martin Chef's Selection Pouches Meat 12x85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,1
"PET","100","453837","Bob Martin Chef's Selection Pouches Fish andMeat 12 x 85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,1
"PET","100","453915","Bob Martin Clear 3 in 1 Dewormer Dogs - 2 Tablets","Bob Martin","10.0CM","7.0CM","2.1CM","Flea and Worming Control","2pk",NA,"1",NA,1
"PET","100","453916","Bob Martin Clear 3 in 1 Dewormer Dogs - 4 Tablets","Bob Martin","10.0CM","7.0CM","2.1CM","Flea and Worming Control","4pk",NA,"1",NA,1
"PET","100","453917","Bob Martin Clear 2 in 1 Dewormer Cats - 2 Tablets","Bob Martin","10.3CM","7.7CM","2.3CM","Flea and Worming Control","BM Clear 2 in 1 Dewormer Cats x 2 tabs",NA,"1",NA,1
"PET","100","335637","Boredom Breaker Naturals Dandelion and Nettle Roots 50g","Boredom Breaker","21.5CM","8.9CM","5.0CM","Treats","50g",NA,"1",NA,1
"PET","100","335639","Boredom Breaker Naturals Little Hearts 100g","Boredom Breaker","23.3CM","5.8CM","5.0CM","Treats","100g",NA,"1",NA,1
"PET","100","335641","Boredom Breaker Naturals Breakfast Cookies 110g","Boredom Breaker","19.0CM","9.0CM","4.0CM","Treats","110g",NA,"2",NA,1
"PET","100","335648","Boredom Breaker Naturals Strawberry Sticks 120g","Boredom Breaker","19.0CM","5.7CM","3.2CM","Treats","120g",NA,"2",NA,1
"PET","100","335650","Boredom Breaker Naturals Rodent Mini Sticks 80g","Boredom Breaker","18.3CM","6.0CM","3.0CM","Treats","80g",NA,"1",NA,1
"PET","100","335651","Boredom Breaker Naturals Carrotys 200g","Boredom Breaker","17.0CM","10.0CM","4.0CM","Treats","200g",NA,"1",NA,1
