"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"PET","100","335637","Boredom Breaker Naturals Dandelion and Nettle Roots 50g","Boredom Breaker","21.5CM","8.9CM","5.0CM","Treats","50g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335639","Boredom Breaker Naturals Little Hearts 100g","Boredom Breaker","23.3CM","5.8CM","5.0CM","Treats","100g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335641","Boredom Breaker Naturals Breakfast Cookies 110g","Boredom Breaker","19.0CM","9.0CM","4.0CM","Treats","110g",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335647","Boredom Breaker Naturals Sunflower and Camomile Seeds 140g","Boredom Breaker","17.0CM","5.8CM","3.5CM","Treats","140g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335648","Boredom Breaker Naturals Strawberry Sticks 120g","Boredom Breaker","19.0CM","5.7CM","3.2CM","Treats","120g",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335650","Boredom Breaker Naturals Rodent Mini Sticks 80g","Boredom Breaker","18.3CM","6.0CM","3.0CM","Treats","80g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335651","Boredom Breaker Naturals Carrotys 200g","Boredom Breaker","17.0CM","10.0CM","4.0CM","Treats","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335652","Boredom Breaker Naturals Fenugreek Crunchies 200g","Boredom Breaker","16.0CM","10.0CM","4.5CM","Treats","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335653","Boredom Breaker Naturals Healthy Fruit Salad 125g","Boredom Breaker","15.0CM","9.0CM","5.0CM","Treats","125g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335655","Boredom Breaker Naturals Carrot Woodroll","Boredom Breaker","8.0CM","9.0CM","8.0CM","Treats",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335656","Boredom Breaker Naturals Parsley Bell","Boredom Breaker","10.0CM","10.5CM","10.5CM","Treats",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335657","Boredom Breaker Naturals Crunch N Munch Millet 3pk","Boredom Breaker","39.0CM","12.9CM","2.5CM","Treats","Small",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335658","Boredom Breaker Naturals Apple Cracker Dari","Boredom Breaker","37.4CM","12.9CM","3.0CM","Treats",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335660","Boredom Breaker Naturals Dandelion Delight 100g","Boredom Breaker","23.0CM","12.0CM","7.0CM","Treats","100g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335661","Boredom Breaker Naturals Natures Salad 200g","Boredom Breaker","23.0CM","14.0CM","6.0CM","Treats","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335662","Boredom Breaker Naturals Summerfield 100g","Boredom Breaker","24.0CM","13.0CM","5.0CM","Treats","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314817","Burgess Adult Chicken 15kg","Burgess","14.0CM","43.0CM","63.0CM","Large Bagged Food","15kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328365","Burgess Mature Complete Adult Chicken 12.5kg","Burgess","11.0CM","39.0CM","60.0CM","Large Bagged Food","12.5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","328367","Burgess Sensitive Premium Hypoallergenic Puppy Complete Turkey and Rice 12.5kg","Burgess","10.0CM","38.0CM","60.0CM","Puppy Food","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328368","Burgess Sensitive Premium Hypoallergenic Adult Complete Lamb and Rice 12.5kg","Burgess","10.0CM","38.0CM","60.0CM","Large Bagged Food","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328369","Burgess Sensitive Premium Hypoallergenic Adult Complete Salmon and Rice 12.5kg","Burgess","10.0CM","38.0CM","60.0CM","Large Bagged Food","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328371","Country Value Greyhound Complete Maintenance Adult15kg","Burgess","10.0CM","39.0CM","60.0CM","Large Bagged Food","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","314074","Cat It Design Senses Play Circuit","Cat It","24.0CM","24.0CM","7.6CM","Play Circuit",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
