"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"202200","Wilko Handy Baskets Large Assorted 37cm 2pk","Wilko","Baskets","Multi","2pk","Large 37cm","Polypropylene",1
"202201","Wilko Handy Baskets Medium Assorted 3pk","Wilko","Baskets","Multi","3pk","Medium 30cm","Polypropylene",1
"202202","Wilko Handy Baskets Small Assorted 5pk","Wilko","Baskets","Multi","5pk","Small 25cm","Polypropylene",1
"222518","Wilko Stacking Baskets Silver 3pk","Wilko","Baskets","Silver","1","3 Pack","Plastic",1
"233860","Wilko 3 Drawer Faux Leather Storage Box Brown","Wilko","Storage Tower","Brown","1","Single",NA,1
"233861","Wilko 4 Drawer Faux Leather Storage Chest Brown","Wilko","Storage Tower","Brown","1","Single",NA,1
"264227","Wilko Faux Leather Oval Waste Paper Bin Black","Wilko","Waste Paper Bin","Black","1","Single",NA,1
"264229","Wilko Faux Leather Oval Waste Paper Bin Brown","Wilko","Waste Paper Bin","Brown","1","Single",NA,1
"275726","Wilko 4 Drawer  Willow Storage Unit White","Wilko","Storage Tower","White","1","Single",NA,1
"327051","Wilko 3 Drawer Faux Leather Storage Tower Black","Wilko","Storage Tower","Black","1","Single",NA,1
"327052","Wilko 4 Drawer Faux Leather Storage Tower Black","Wilko","Storage Tower","Black","1","Single",NA,1
"327060","Wilko Willow Waste Paper Bin Grey","Wilko","Waste Paper Bin","Grey","1","Single",NA,1
"327062","Wilko Willow Storage Basket Grey Set of 2","Wilko","Storage Basket","Grey","2pk","Single",NA,1
"327174","Wilko 4 Drawer Split Wood Storage Unit","Wilko","Storage Tower","White","1","Single",NA,1
