"Article","Web Description","Brand","Type","Colour","Pack Qty","DQ Score"
"415901","Wilko Decorate Your Own Fairy Lights","Wilko","Craft Kits","Multi","1",1
"417586","Wilko Decorate Your Own Wall Clock","Wilko","Craft Kits","Multi","1",1
