"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","DQ Score"
"256669","Kilner Clip Top Glass Storage 1L","Kilner","Storage Jars",NA,"1L","1",1
"256670","Kilner Clip Top Glass Storage 1.5L","Kilner","Storage Jars",NA,"1.5L","1",1
"289848","Kilner Preserve Jar 0.5L","Kilner","Storage Jars",NA,"500ml","1",1
"289849","Kilner Preserves Jar 1L","Kilner","Storage Jars",NA,"1L","1",1
"319120","Kilner Muslin Square 50 x 50cm Square 1pk","Kilner","Muslin",NA,"50x50cm","1",1
"319121","Kilner Bottle Airtight Clip Top Lid 1 Litre","Kilner","Bottles",NA,"1L","1",1
"319122","Kilner Bottle Lid 0.55L","Kilner","Bottles",NA,"550ml","1",1
"319123","Kilner Bottle Lid 0.25L","Kilner","Bottles",NA,"250ml","1",1
"319127","Kilner The Original Preserve Jar 0.25L","Kilner","Storage Jars",NA,"250ml","1",1
"328633","Kilner Jam Jar Sealing Kit 108 Piece","Kilner","Seals",NA,"108 Piece","1",1
"328634","Kilner Replacement Rubber Seal Standard 6pk","Kilner","Seals",NA,"6 Pack","1",1
"328695","Kilner Clip Top Jar 2L","Kilner","Storage Jars",NA,"2L","1",1
"328696","Kilner Twist Top Bottle 250ml","Kilner","Bottles",NA,"250ml","1",1
"328698","Kilner Twist Top Preserving Jar","Kilner","Storage Jars",NA,"720ml","1",1
"328700","Kilner Twist Top Jar 228ml","Kilner","Storage Jars",NA,"228ml","1",1
"328701","Kilner Twist Top Jar 93ml","Kilner","Storage Jars",NA,"93ml","1",1
"328711","Kilner Coloured Clip Top Jar 0.5L","Kilner","Storage Jars",NA,"5L","1",1
"328712","Kilner Coloured Clip Top Jar 1L","Kilner","Storage Jars",NA,"1L","1",1
"184129","Wilko Plastic Funnels Set of 3","Wilko","Funnels","White","3 Pack","1",1
"222227","Wilko  Plastic Funnel 18cm","Wilko","Funnels",NA,"18cm","1",1
"237888","Wilko Ceramic Baking Beans 700g","Wilko","Baking Beans","Clear","700g","1",1
"242802","Wilko Stackable Mixing Bowl 26cm","Wilko","Bowls","Clear","26cm","1",1
"284939","Wilko Silicone Whisk with Stainless Steel Handle","Wilko","Whisk","Silver","30.5x7.5x1.7cm","1",1
"318188","Wilko Gingerbread Man Cookie Cutters","Wilko","Cutters","Silver","Assorted","3",1
"318189","Wilko Cookie Cutter Stainless Steel Heart Shaped3pk","Wilko","Cutters","Pink","Assorted","1",1
"319625","Wilko Scales Black 5kg","Wilko","Kitchen Scales","Black","5kg","1",1
"328764","Wilko Disposable Icing Bags 30pk","Wilko","Icing, Bags and Nozzles","White","30 Pack","30pk",1
"328775","Wilko Daisy Icing Plunge Cutters 4pk","Wilko","Cutters","White","4 Pack","1",1
"328777","Wilko Butterfly Icing Sugar Cutters Set 3 Piece","Wilko","Cutters","White","Assorted","3pk",1
"328780","Wilko Sugar Modeling Craft Tool Set","Wilko","Icing Tools","Multi","Set","1",1
"328815","Wilko Cake Decorating Turntable 28cm","Wilko","Turntable","White","28cm","1",1
"346285","Wilko Cake Tester","Wilko","Cake Tester","Multi","16.8 x 2.8 x 0.65cm","1",1
"351587","Wilko Weights and Measures Baking Board","Wilko","Baking Board","Multi","Work surface protector 48 x 38 x 0.5cm 1.790kg","1",1
"36546","Wilko Metal Whisk 20cm","Wilko","Whisk","Silver","20cm","1",1
"452433","Wilko Storage Jar Black Board Lid 0.5L","Wilko","Storage Jars",NA,"0.5L","1",1
"452434","Wilko Storage Jar Black Board Lid 1L","Wilko","Storage Jars",NA,"1L","1",1
"452435","Wilko Storage Jar Black Board Lid 1.5L","Wilko","Storage Jars",NA,"1.5L","1",1
"453102","Wilko Hexagonal Jars 340ml 12pk","Wilko","Storage Jars",NA,"340ml","12",1
"453105","Wilko Square Jars 200ml 12pk","Wilko","Storage Jars",NA,"200ml","12",1
"97387","Wilko Measuring Jug 2L","Wilko","Jugs","Clear","2L","1",1
