"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Material","DQ Score"
"435081","Cake Decor Chocoholic Vanilla Two Stripe Icing","Cake Decor","Frosting",NA,"1","275g",NA,NA,0.93
"435082","Cake Decor Strawberry and Vanilla Two Stripe Icing","Cake Decor","Frosting",NA,"1","275g",NA,NA,0.88
"435083","Cake Décor Hundreds and Thousands","Cake Decor","Decorations",NA,"1","65g",NA,NA,0.88
"435084","Cake Décor Chocolatey Strands","Cake Decor","Decorations",NA,"1","55g",NA,NA,0.88
"435085","Cake Décor Pink Glimmer Sugar","Cake Decor","Decorations",NA,"1","70g",NA,NA,0.88
"435086","Cake Décor Micro Mallows","Cake Decor","Decorations",NA,"1","14g",NA,NA,0.88
"435087","Cake Décor Glitter Spray Gold","Cake Decor","Decorations",NA,"1","4g",NA,NA,0.88
"435088","Cake Décor Glitter Spray Silver","Cake Decor","Decorations",NA,"1","4g",NA,NA,0.88
"435089","Cake Décor Bright Writing Icing 4pk","Cake Decor","Decorations",NA,"1","76g",NA,NA,0.88
"435090","Cake Décor Choco Writers White","Cake Decor","Decorations",NA,"1","80g",NA,NA,0.88
"435091","Cake Décor Choco Writers Milk","Cake Decor","Decorations",NA,"1","80g",NA,NA,0.88
"435092","Cake Décor Ready To Roll Icing White","Cake Decor","Icing",NA,"1","250g",NA,NA,0.88
"435093","Cake Décor Ready To Roll Icing Red","Cake Decor","Icing",NA,"1","250g",NA,NA,0.88
"435094","Cake Décor Ready To Roll Icing Pink","Cake Decor","Icing",NA,"1","250g",NA,NA,0.88
"263845","Kilner Clip Top Jar 0.5L","Kilner","Storage Jars",NA,NA,"500ml",NA,NA,0.9125
"319115","Kilner Stainless Steel Funnel","Kilner","Funnel",NA,"1",NA,NA,NA,0.9125
"319804","Kilner Thermometer","Kilner","Thermometer",NA,"1",NA,NA,NA,0.9125
"435783","Kilner Shaker","Kilner","Shaker",NA,"1","8cm x 8cm x 8.2cm","0.25lt","Soda Lime Stainless Steel",0.9
"451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft","Icing, Bags and Nozzles",NA,"2",NA,NA,NA,0.81
"451709","Kitchen Kraft Ribbons Assorted 5pk","Kitchen Kraft","Ribbon and String",NA,"5",NA,NA,NA,0.86
"451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft","Gift Tags",NA,"1pk",NA,NA,NA,0.81
