"Article","Web Description","DQ Score"
"435082","Cake Decor Strawberry and Vanilla Two Stripe Icing",0.88
"435783","Kilner Shaker",0.9
"435794","Salter Add and Weigh Mechanical Kitchen Scale",0.88
"435796","Salter Arc Electrical Kitchen Scale",0.88
