"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"434664","Atrixo Enriched Moisturising Cream 50ml","Atrixo","Hand Cream","1","50ml",1
"351452","Aveeno Skin Relief Lotion 75ml","Aveeno","Hand Cream","1","75ml",1
"452888","Aveeno Daily Moist Hand Cream 75ml","Aveeno","Hand Cream","1","75ml",1
"338616","Garnier Intensive 7 Days Shea Butter Hand CreamDry Skin 100ml","Garnier","Hand Cream","1","100ml",1
"449224","Nivea Q10 Anti-Age Hand Cream 75ml","Nivea","Hand Cream","1","75ml",1
"449225","Nivea Express Care Hand Cream 75ml","Nivea","Hand Cream","1","75ml",1
"449226","Nivea Hand Cream Nourishing Care 75ml","Nivea","Hand Cream","1","75ml",1
"433561","Palmers Coconut Oil Hand Cream 60g","Palmers","Hand Cream","1","60G",1
"84534","Vaseline Healthy Hands and Stronger Nails HandCream 200ml","Vaseline","Hand Cream","1","200ml",1
"348471","Wilko Daily Moisturising Foot Cream 75ml","Wilko","Foot Cream","1","75ml",1
"456297","Wilko Intense Hand Lotion 75ml","Wilko","Hand Cream","1","75ml",1
