"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"287758","Wilko Curtain Pole Natural Wood Effect 150cm x28mm","Wilko","Fixed Poles","Wood",NA,"150cm",NA,0.883333333333333
"287759","Wilko Curtain Pole Natural Wood Effect 180cm x28mm","Wilko","Fixed Poles","Wood",NA,"180cm",NA,0.883333333333333
"287760","Wilko Curtain Pole Natural Wood Effect 240cm x28mm","Wilko","Fixed Poles","Wood",NA,"240cm",NA,0.883333333333333
"287761","Wilko Curtain Pole Natural Wood Effect 300cm x28mm","Wilko","Fixed Poles","Wood","1","300cm",NA,0.941666666666667
"287764","Wilko Curtain Pole Dark Oak Effect 150cm x 28mm","Wilko","Fixed Poles","Wood",NA,"150cm",NA,0.883333333333333
"287765","Wilko Curtain Pole Dark Oak Effect 180cm x 28mm","Wilko","Fixed Poles","Wood",NA,"28mm",NA,0.883333333333333
"287766","Wilko Curtain Pole Dark Oak Effect 240cm x 28mm","Wilko","Fixed Poles","Wood",NA,"240cm",NA,0.883333333333333
"287767","Wilko Curtain Pole Dark Oak Effect 300cm x 28mm","Wilko","Fixed Poles","Wood","1","300cm",NA,0.941666666666667
"287770","Wilko Curtain Pole White Wood 150cm x 28mm","Wilko","Fixed Poles","White",NA,"150cm",NA,0.883333333333333
"287771","Wilko Curtain Pole White Wood Effect 180cm x 28mm","Wilko","Fixed Poles","White","1","180cm",NA,0.941666666666667
"287772","Wilko Curtain Pole White Wood Effect 240cm x 28mm","Wilko","Fixed Poles","White",NA,"240cm",NA,0.883333333333333
"287773","Wilko Curtain Pole White Wood Effect 300cm x 28mm","Wilko","Fixed Poles","White",NA,"300cm",NA,0.883333333333333
"453321","Wilko Wooden Curtain Pole Grey 150cm","Wilko","Fixed Poles",NA,"1","150x2.8cm","Wood",0.941666666666667
"453322","Wilko Wooden Curtain Pole Grey 180cm","Wilko","Fixed Poles",NA,"1","180x2.8cm","Wood",0.941666666666667
"453323","Wilko Wooden Curtain Pole Grey 240cm","Wilko","Fixed Poles",NA,"1","240x2.8cm","Wood",0.941666666666667
"453324","Wilko Wooden Curtain Pole Grey 300cm","Wilko","Fixed Poles",NA,"1","300x2.8cm","Wood",0.941666666666667
