"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"303685","Beaphar Small Animal Cage Fresh Granules 600g","Beaphar","Healthcare",NA,"600g",NA,0.9125
"303686","Beaphar Small Animal Anti-Parasite Spot On 4pk","Beaphar","Healthcare",NA,NA,NA,0.825
"346561","Mr Johnsons Ferret Food  2kg","Mr Johnsons","Food",NA,"2kg",NA,0.9125
"437009","Rosewood Small Animal Toy Blossom Tower","Rosewood","Treats","1",NA,NA,0.9125
"437014","Rosewood Small Animal Toy Foraging Cylinder","Rosewood","Treats","1",NA,NA,0.9125
"182648","Wagg Rabbit Food Bunny Brunch 2kg","Wagg","Food",NA,"2kg",NA,0.9125
"238921","Wagg Guinea Pig Food 2kg","Wagg","Food",NA,"2kg",NA,0.9125
"122059","Wilko Hamster Play Ball Diameter 17cm","Wilko","Activity Toys","1","17cm",NA,0.93
"150084","Wilko Small Animal Carrot Bar Treat","Wilko","Treats","1",NA,NA,0.9125
"150085","Wilko Small Animal Treat Nut and Berry Bar ForHamsters","Wilko","Treats","1",NA,NA,0.9125
"150088","Wilko Rabbit and Guinea Pig Apple Bar","Wilko","Treats","1",NA,NA,0.9125
"165259","Wilko Rat Food Muesli Mix 1kg","Wilko","Food",NA,"1kg",NA,0.9125
"183096","Wilko Rabbits and Guinea Pig Treats Honey Sticks2pk","Wilko","Treats",NA,"80g",NA,0.9125
"267067","Wilko Small Animal Apple Berry and Banana CubesTreats 90g","Wilko","Treats",NA,"90g",NA,0.9125
"267331","Wilko Small Animal Chew Tube","Wilko","Chew Toys","1",NA,NA,0.86
"303656","Wilko Small Animal Litter Pan","Wilko","Litter Trays","1",NA,NA,0.9125
"303657","Wilko Small Animal Treats Dandelion and FennelSticks 2pk","Wilko","Treats",NA,"2x60g",NA,0.9125
"303661","Wilko Small Animal Claw Trimmers","Wilko","Healthcare","1",NA,NA,0.9125
"303664","Wilko Small Animal Lead and Harness Set Large","Wilko","Exercise Toys",NA,"Large",NA,0.86
"303670","Wilko Small Animal Seagrass Funball Toy","Wilko","Activity Toys","1","Large",NA,0.93
"303671","Wilko Small Animal Fun Ball Trio Toy","Wilko","Chew Toys",NA,NA,NA,0.79
"303672","Wilko Small Animal Treats Nibble Stix 4pk","Wilko","Treats","4",NA,NA,0.9125
"303677","Wilko Small Animal Alfalfa Ring Toy","Wilko","Activity Toys","1",NA,NA,0.86
"303684","Wilko Small Animal Treats Munching Sticks150g","Wilko","Treats",NA,"150g",NA,0.9125
"417680","Wilko Small Animal Hula Rope Chew","Wilko","Treats","1",NA,NA,0.9125
"417681","Wilko Small Animal Edible Hide and Treat","Wilko","Treats","1",NA,NA,0.9125
"417688","Wilko Small Animal Natures Salad Mix 200g","Wilko","Food","1",NA,NA,0.9125
"433696","Wilko Small Animal Treats Apple Drop 75g","Wilko","Treats","1",NA,NA,0.9125
"438565","Wilko Small Animal Grooming Kit 2pk","Wilko","Grooming Kit","2",NA,NA,0.9125
"451238","Small Animal Nibble 'n' Dig Meadow","Wilko","Treats","1",NA,NA,0.8625
"451241","Wilko Snap 'n' Share Fruit Bars 150g","Wilko","Treats",NA,"150g",NA,0.9125
"452698","Wilko Tropical Fruit Cushions 50g","Wilko","Treats","1","50g",NA,0.93
"80646","Wilko Small Animal Treats Fruity Sticks 2pk","Wilko","Treats",NA,"80g",NA,0.9125
"80650","Wilko Small Animal Salt Lick 35g","Wilko","Salt Lick",NA,"35g",NA,0.9125
"80876","Wilko Hamster Food Muesli Mix 1kg","Wilko","Food",NA,"1kg",NA,0.9125
"94065","Wilko Rabbit Food Muesli Pea Feast 2kg","Wilko","Food",NA,"2kg",NA,0.9125
"453253","Crystal Deluxe Drinking Bottle 1.1L",NA,"Bottle",NA,NA,NA,0.825
