"Article","Web Description","Brand","Type","Pack Qty","Size","Age","DQ Score"
"417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers","Nappies",NA,NA,NA,0.79
"417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers","Nappies",NA,NA,NA,0.79
"417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers","Nappies",NA,NA,NA,0.79
"430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers","Nappies",NA,NA,NA,0.79
"430354","Pampers Baby Dry Pants Size 5 Junior 21pk","Pampers","Nappies",NA,NA,NA,0.79
"430357","Pampers Baby Dry Pants Size 4 Maxi 23pk","Pampers","Nappies",NA,NA,NA,0.79
