"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"437079","Alberto Balsam Blends Smooth and Sleek Shampoo300ml","Alberto Balsam","Shampoo",NA,"300ml",NA,0.9125
"437081","Alberto Balsam Blends Stunning Shine Shampoo 300ml","Alberto Balsam","Shampoo",NA,"300ml",NA,0.9125
"437083","Alberto Balsam Blends Damage Repair Shampoo 300ml","Alberto Balsam","Shampoo",NA,"300ml",NA,0.9125
"437085","Alberto Balsam Blends Smooth and SleekConditioner 300ml","Alberto Balsam","Conditioner",NA,"300ml",NA,0.9125
"437086","Alberto Balsam Blends Stunning Shine Conditioner300ml","Alberto Balsam","Conditioner",NA,"300ml",NA,0.9125
"193826","Aussie Miracle Moist Shampoo 300ml","Aussie","Shampoo",NA,"300ml",NA,0.9125
"278422","Aussie Shampoo Miracle Shine For Dull TiredHair 300ml","Aussie","Shampoo",NA,"300ml",NA,0.9125
"307794","Aussie Mega Conditioner for Everyday Cleaning250ml","Aussie","Conditioner",NA,"250ml",NA,0.9125
"452980","Aussie Repair Miracle Conditioner 250ml","Aussie","Conditioner","1",NA,NA,0.9125
"452983","Aussie Repair Miracle Shampoo 300ml","Aussie","Shampoo","1",NA,NA,0.9125
"452987","Aussie 3 Minute Miracle Moisture Deep Treatment250ml","Aussie","Conditioner","1",NA,NA,0.9125
"320810","Batiste Dry Shampoo Floral and Flirty Blush 200ml","Batiste","Dry Shampoo",NA,"200ml",NA,0.9125
"334582","Batiste Dry Shampoo Hint of Colour Dark and Deep Brown 200ml","Batiste","Dry Shampoo",NA,"200ml",NA,0.9125
"453522","Batiste 2 in 1 Dry Shampoo and ConditionerOrange and Pomegranate 200ml","Batiste","Dry Shampoo",NA,NA,NA,0.825
"453523","Batiste 2 in 1 Dry Shampoo and ConditionerVanilla and Passionflower 200ml","Batiste","Dry Shampoo",NA,NA,NA,0.825
"453524","Batiste 2in1 Dry Shampoo and ConditionerCocoa and Cashmere 200ml","Batiste","Dry Shampoo",NA,NA,NA,0.825
"68050","Bristows Hair Spray Extra 300ml","Bristows","Hairspray",NA,"300ml","Multi",0.93
"454550","Dove Coconut Restore Ritual Conditioner 250ml","Dove","Conditioner ","1",NA,NA,0.8625
"454553","Dove Lavender Thicken Ritual Conditioner 250ml","Dove","Conditioner ","1",NA,NA,0.8625
"454558","Dove Avocado Strengthening Ritual Conditioner200ml","Dove","Conditioner ","1",NA,NA,0.8625
"319111","Gas Cell Energy Refills 2pk","Gas Cell","Gas Cells",NA,NA,NA,0.766666666666667
"242518","Head & Shoulders Classic Clean Shampoo andConditioner 450ml","Head & Shoulders","2 in 1 Shampoo and Conditioner",NA,"400ml",NA,0.9125
"265023","Head & Shoulders Citrus Fresh Anti-DandruffShampoo 500ml","Head & Shoulders","Shampoo",NA,"400ml",NA,0.9125
"324070","Head & Shoulders Itchy Scalp Anti-DandruffShampoo 500ml","Head & Shoulders","Shampoo","1",NA,NA,0.9125
"452984","Head & Shoulders Thick and Strong Anti DandruffShampoo 500ml","Head & Shoulders","Shampoo","1",NA,NA,0.9125
"453223","Head & Shoulders Men Ultra 2in1 Total CareAnti Dandruff Shampoo and Conditioner 225ml","Head & Shoulders","Shampoo","1",NA,NA,0.9125
