"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","DQ Score"
"320573","Wilko Blox Emergency Vehicle Starter Set Assortment","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"335883","Wilko Blox Ice Cream/Camper Van Assortment","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"335884","Wilko Blox Baseplate Assortment","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"335886","Wilko Blox Fashion Beauty Starter Set","Wilko","City Life Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"336343","Wilko Blox Figures 5pk Assortment","Wilko","Accessories","Multi",NA,"5","3 Years +",0.941666666666667
"337773","Wilko Blox High Speed Tanker Set Assortment","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"350199","Wilko Blox Spaceship Starter Set Assorted","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"350201","Wilko Blox Park Cafe Small Set","Wilko","City Life Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"414818","Wilko Blox Animal Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"414819","Wilko Blox Dinosaur Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"414821","Wilko Blox Safari Mammal Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","3 Years +",0.941666666666667
"414822","Wilko Blox Dinosaur Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"414823","Wilko Blox Space Ship Medium Set","Wilko","Space Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"414824","Wilko Blox Emergency Medium Set Assortment","Wilko","Police and Fire Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"414842","Wilko Blox Storage Box","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"414843","Wilko Blox Base Plate 5pk","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"417597","Wilko Blox Luxury Yacht Set","Wilko","City Life Building Sets","Multi",NA,"1","3 Years +",0.941666666666667
"417599","Wilko Blox Advent Calendar","Wilko","Advent Calendar","Multi",NA,"1","5 Years +",0.941666666666667
"419989","Wilko Christmas Blox Crackers 6pk","Wilko","Christmas Building Sets","Multi",NA,"6","3 Years +",0.941666666666667
"438388","Wilko Blox Space Ships Small Set Assortment","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"438392","Wilko Blox Aircraft Small Set","Wilko","Police and Fire Building Sets","Multi",NA,"1","3 Years +",0.941666666666667
"438393","Wilko Blox Robot 3 in 1 Small Set Assortment","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"438395","Wilko Blox Xmas Scene Medium Set","Wilko","Christmas Building Sets","Multi",NA,"1","3 Years +",0.941666666666667
"438396","Wilko Blox Pet Parlour Medium Set","Wilko","City Life Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"438397","Wilko Blox Sweet Shop Medium Set","Wilko","City Life Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"438398","Wilko Blox London Bus Medium Set","Wilko","City Vehicles Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"438411","Wilko Blox Drawstring Playmat Carry Bag","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"438430","Wilko Blox Figures 5pk Asst B","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"438431","Wilko Blox Figures 5pk Asst C","Wilko","Accessories","Multi",NA,"1","3 Years +",0.941666666666667
"446943","Wilko Blox Police Starter Tube","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"447278","Wilko Blox Police and Robbery Medium Set","Wilko","Police and Fire Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"447279","Wilko Blox Dump Truck Medium Set","Wilko","City Contruction Building Sets","Multi",NA,"1","6 Years +",0.941666666666667
"447298","Wilko Blox Military Starter Tube","Wilko","Military Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"447299","Wilko Blox City Riders Starter Tube","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"447300","Wilko Blox Fireman Starter Tube","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
"447301","Wilko Blox Construction Starter Tube","Wilko","City Contruction Building Sets","Multi",NA,"1","5 Years +",0.941666666666667
