"Article","Web Description","Brand","Type","Pack Qty","Size","Age","DQ Score"
"430347","Bathtime Buddies Alphabet Set","Bathtime Buddies","Water Toys",NA,NA,NA,0.79
"441278","Marvel Avengers Superhero 2in1 Shampoo andConditioner 400ml","Disney","Kids Shampoo and Conditioner","1",NA,NA,0.81
"441744","Disney Frozen Detangling Hair Spritz 100ml","Disney","Kids Hair Treatments and Oils",NA,NA,NA,0.79
"429232","Vosene Kids Conditioning Defence Spray","Vosene","Kids Hair Treatments and Oils","1","150ml",NA,0.93
