"Article","Web Description","Brand","Type","Pack Qty","Size","Age","DQ Score"
"347673","Wilko Kids Shampoo Strawberry 250ml","Wilko","Kids Shampoo and Conditioner","1","250ml","Toddler",1
"347674","Wilko Kids Detangling Spray Conditioner 150ml","Wilko","Kids Shampoo and Conditioner","1","125ml","Toddler",1
"347675","Wilko Kids Apple  Shampoo 250ml","Wilko","Kids Shampoo and Conditioner","1","250ml","Toddler",1
