"Article","Web Description","DQ Score"
"412235","Charlie Divine Body Spray 75ml",0.8625
"454056","Impulse Sweet Smile Body Spray 75ml",0.95
"456467","Charlie Bodyspray Peach Passion 75ml",0.8125
