"Article","Web Description","Brand","Type","DQ Score"
"319586","Wilko Colourplay Placemat Red 30 x 40cm","Wilko","Placemats",1
"319592","Wilko Colourplay Table RunnerRed 30 x 180cm","Wilko","Table Runners",1
"427928","Wilko Cannister Red Small","Wilko","Storage Jars",1
"445513","Wilko Large Tray Oriental Blossom","Wilko","Trays",1
"445514","Wilko Worktop Saver Oriental Blossom","Wilko","Worktop Saver",1
"445598","Wilko Apron Oriental Blossom","Wilko","Aprons",1
"445599","Wilko Oven Glove Double Oriental Blossom","Wilko","Oven Gloves",1
"445600","Wilko Oven Glove Single Mitt Oriental Blossom","Wilko","Oven Gloves",1
"445601","Wilko Tea Towel Oriental Blossom 3 Pack","Wilko","Tea Towels",1
"447410","Wilko Dinner Set Oriental Blossom 12 Piece","Wilko","Dinner Sets",1
"447411","Wilko Dinner Plate Oriental Blossom 27cm","Wilko","Dinner Plate",1
"447412","Wilko Side Plate Oriental Blossom 19cm","Wilko","Side Plate",1
"447413","Wilko Bowl Oriental Blossom 14cm","Wilko","Bowls",1
"447414","Wilko Mug Oriental Blossom 14oz","Wilko","Mugs",1
"447415","Wilko Cup and Saucer Oriental Blossom","Wilko","Cup and Saucer",1
"447451","Wilko Teslin Placemat Red 40cm x 30cm","Wilko","Placemats",1
"453050","Wilko Red Bread Bin","Wilko","Bread Bins",1
"453126","Wilko Dinner Plate Reactive Glazed Red","Wilko","Dinner Plate",1
"453127","Wilko side Plate Reactive Glazed Red","Wilko","Side Plate",1
"453128","Wilko Bowl Reactive Glazed Red","Wilko","Bowls",1
"453129","Wilko Mug Reactive Glazed Red","Wilko","Mugs",1
"453130","Wilko Dinner Set Reactive Glazed Red 12pcs","Wilko","Dinner Sets",1
