"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","Pack Qty","Material","DQ Score"
"317067","Wilko Pencil Case Ringbinder","Wilko","Ringbinder",NA,NA,NA,NA,NA,NA,0.766666666666667
"317069","Wilko Pencil Case Clear","Wilko","Pencil Case",NA,NA,NA,NA,NA,NA,0.79
"317090","Wilko Compass with Case","Wilko","Geometry Sets",NA,NA,NA,NA,"1",NA,0.9125
"317092","Wilko Sticky Tabs Multi Coloured","Wilko","Sticky Notes","Multi",NA,NA,NA,"1",NA,0.93
"317094","Wilko Basic Pencil Sharpener","Wilko","Pencil Sharpeners",NA,NA,NA,NA,"1",NA,0.9125
"317105","Wilko White Circle Labels 5 Sheets","Wilko","Sticky Notes","White",NA,NA,NA,"105pk",NA,0.93
"317115","Wilko Pencil with Grip and Eraser HB 4pk","Wilko","Pencils",NA,NA,NA,NA,"4pk",NA,0.86
"317121","Wilko Oversized Erazer Pink","Wilko","Erasers",NA,NA,"Large",NA,NA,NA,0.9125
"317156","Wilko Rubber Band Ball 170pcs","Wilko","Rubber Bands","Multi",NA,NA,NA,"170pk",NA,0.93
"318169","Wilko 3 Pocket Pencil Case Love","Wilko","Pencil Case",NA,NA,NA,NA,"1",NA,0.86
"318210","Wilko Corkboard 30cm x 40cm","Wilko","Message Boards",NA,NA,"30 x 40cm",NA,"1",NA,0.93
"318268","Wilko Fluffy Pencil Case Pink","Wilko","Pencil Case","Pink",NA,NA,NA,"1",NA,0.93
"319390","Wilko Double Sided Tape Clear 19mm x 4m","Wilko","Adhesive Tape and dispensers",NA,NA,"19mm x 11.4m",NA,NA,NA,0.825
"349305","Wilko Cased Eraser","Wilko","Erasers",NA,NA,NA,NA,"1",NA,0.9125
"349306","Wilko Retractable Eraser","Wilko","Erasers",NA,NA,NA,NA,"1",NA,0.9125
"349307","Wilko Pencil Sharpener Barrel","Wilko","Pencil Sharpeners",NA,NA,NA,NA,"1",NA,0.9125
"349310","Wilko 4B Eraser","Wilko","Erasers",NA,NA,NA,NA,"1",NA,0.9125
"349313","Wilko Gem Push Pinks 16pk","Wilko","Punches and Fasteners",NA,NA,NA,NA,"16pk",NA,0.86
"349315","Wilko Sticky Label Strips","Wilko","Sticky Notes",NA,NA,NA,NA,NA,NA,0.79
"349317","Wilko Desk Set","Wilko","Stationery Sets",NA,NA,NA,NA,"1",NA,0.9125
"349320","Wilko Hole Punch Flat","Wilko","Hole Punches",NA,NA,NA,NA,"1",NA,0.9125
"349322","Wilko Triangular Scale Ruler","Wilko","Rulers",NA,NA,NA,NA,NA,NA,0.79
"349331","Wilko Jewel Magnets","Wilko","Magnets",NA,NA,NA,NA,"1",NA,0.86
"349364","Wilko Wooden Pencil Sharpener","Wilko","Pencil Sharpeners",NA,NA,NA,NA,"1",NA,0.9125
"349365","Wilko Weekly Planner Set","Wilko","Journals, Planners and Organisers",NA,NA,NA,NA,"1",NA,0.86
"349366","Wilko Colour Fine Liners 12pk","Wilko","Fineliners",NA,NA,NA,NA,"12pk",NA,0.86
"349367","Wilko Pen Ball Point Soft Touch Ball 5pk","Wilko","Ballpoint Pens",NA,NA,NA,NA,"5pk",NA,0.86
"349369","Wilko Marker Slim Permanent 4pk","Wilko","Marker Pens",NA,NA,NA,NA,"4pk",NA,0.86
"413983","Wilko Paper Clips","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.79
"413984","Wilko Binder Clip","Wilko","Binder Clip",NA,NA,NA,NA,NA,NA,0.79
"413985","Wilko Mini Pegs","Wilko","Pegs",NA,NA,NA,NA,NA,NA,0.79
"413986","Wilko Push Pins","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.79
"413987","Wilko Craft Tags","Wilko","Tags",NA,NA,NA,NA,NA,NA,0.79
"413988","Wilko Thumb Tacks","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.79
"413990","Wilko Treasury Tags And Ring Pack","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.766666666666667
"413994","Wilko Paper Clip Pink Blue or Black","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.79
"413995","Wilko Binder Clip Pink Blue or Black","Wilko","Binder Clip",NA,NA,NA,NA,NA,NA,0.79
"413997","Wilko Push Pins Assorted Colours","Wilko","Punches and Fasteners","Multi",NA,NA,NA,"1",NA,0.93
"414007","Wilko Novelty Paper Clip Set","Wilko","Punches and Fasteners",NA,NA,NA,NA,NA,NA,0.79
"414014","Wilko Pencil Case Slim","Wilko","Pencil Case","Multi",NA,NA,NA,"1",NA,0.93
"414039","Wilko Ruler 30cm","Wilko","Rulers",NA,NA,NA,NA,NA,NA,0.825
"414045","Wilko Colour 15cm Ruler","Wilko","Rulers",NA,NA,NA,NA,NA,NA,0.825
"414048","Wilko Index Cards Multicoloured Pack","Wilko","Record and Index Cards",NA,NA,NA,NA,NA,NA,0.825
"414052","Wilko White Board","Wilko","Message Boards",NA,NA,NA,NA,NA,NA,0.79
"414055","Wilko Storage Pots Assorted Colour 5pk","Wilko","Desk Organising",NA,NA,NA,NA,NA,NA,0.766666666666667
"414058","Wilko Pencil Case Boxset","Wilko","Pencil Case",NA,NA,NA,NA,NA,NA,0.79
"414063","Wilko Barrel Pencil Case Black","Wilko","Pencil Case",NA,NA,NA,NA,NA,NA,0.79
"414083","Wilko Small Stapler","Wilko","Staples and Staplers",NA,NA,NA,NA,"1",NA,0.9125
"414084","Wilko Medium Stapler","Wilko","Staples and Staplers",NA,NA,NA,NA,"1",NA,0.9125
"414086","Wilko Hole Punch","Wilko","Hole Punches",NA,NA,NA,NA,"1",NA,0.9125
"414091","Wilko Sticky Notes Pack","Wilko","Sticky Notes",NA,NA,NA,NA,"1",NA,0.86
"417104","Wilko Smiley Faces Coloured Sticker A6","Wilko","Sticky Notes",NA,NA,NA,NA,NA,NA,0.79
"417128","Wilko Mini Highlighters 10pk","Wilko","Highlighters",NA,NA,NA,NA,NA,NA,0.79
"417498","Wilko Chunky Pencils With Sharpener 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,NA,NA,NA,"10",NA,0.86
"430054","Wilko Correction Fluid","Wilko","Correction",NA,NA,NA,NA,"1",NA,0.825
"430055","Wilko Correction Pen","Wilko","Correction",NA,NA,NA,NA,"1",NA,0.825
"433819","Wilko Keyboard Pencil Case","Wilko","Keyboard Case","Grey",NA,NA,NA,"1",NA,0.93
"433891","Wilko Animal Print Pencil Case","Wilko","Pencil Case","Multi",NA,NA,NA,"1",NA,0.93
"433892","Wilko Slim Canvas Polka Dot Pen Case","Wilko","Pencil Case","Blue",NA,NA,NA,"1",NA,0.93
"433893","Wilko Triangular Attitude Pencil Case","Wilko","Pencil Case","White",NA,NA,NA,"1",NA,0.93
"433894","Wilko Barrel Horse Pencil Case","Wilko","Pencil Case","Pink",NA,NA,NA,"1",NA,0.93
"433895","Wilko Photograph Cat Barrel Pencil Case","Wilko","Pencil Case","White",NA,NA,NA,"1",NA,0.93
"433896","Wilko Butterfly Pencil Case With Pocket","Wilko","Pencil Case","Multi",NA,NA,NA,"1",NA,0.93
"433897","Wilko Whiteboard Magnet Kit","Wilko","Magnets","White",NA,NA,NA,"1",NA,0.93
"433898","Wilko Set Of Cloud Sticky Notes","Wilko","Sticky Notes","White",NA,NA,NA,"1",NA,0.93
"433901","Wilko Assorted Sizes Colour Card Stars12pk","Wilko","Memo Pads, Blocks and Boxes","Multi",NA,NA,NA,"1",NA,0.93
"433904","Wilko Assorted Erasers 4pk","Wilko","Erasers",NA,NA,NA,NA,"4",NA,0.9125
"433905","Wilko Pencil Top Erasers 12pk","Wilko","Erasers",NA,NA,NA,NA,"12",NA,0.9125
"433907","Wilko Glitter Tape 3pk","Wilko","Craft Accessories","Multi",NA,NA,NA,"3",NA,0.93
"433908","Wilko Liquid Glue Pen","Wilko","Glue","Multi",NA,NA,NA,"1","plastic, fiber, ink",0.941666666666667
"433909","Wilko Whiteboard Neon Markers 4pk","Wilko","Marker Pens","Multi",NA,NA,NA,"4",NA,0.93
"433910","Wilko Highlighters 3pk","Wilko","Highlighters","Multi",NA,NA,NA,"1",NA,0.93
"433911","Wilko Handwriting Pen 4pk","Wilko","Rollerball Pens","Blue",NA,NA,NA,"4",NA,0.93
"433912","Wilko HighlighterTape","Wilko","Correction","Multi",NA,NA,NA,"1","plastic, fiber, ink",0.941666666666667
"433913","Wilko Inspirational Quote Pencils 6pk","Wilko","Pencils","Multi",NA,NA,NA,"6",NA,0.93
"433914","Wilko Pebble Eraser 2pk","Wilko","Erasers",NA,NA,NA,NA,"2",NA,0.9125
"433932","Wilko Gel Pens 30pk","Wilko","Gel Pens","Multi",NA,NA,NA,"30",NA,0.93
"433948","Wilko Desktop Set 5pcs","Wilko","Stationery Sets",NA,NA,NA,NA,"1",NA,0.9125
"433950","Wilko Desk Accessory Set","Wilko","Punches and Fasteners","Gold",NA,NA,NA,"1",NA,0.93
"434011","Wilko Ergo Grip Eraser 4pk","Wilko","Erasers",NA,NA,NA,NA,"4",NA,0.9125
"434022","Wilko Butterfly Sticky Notes 3pk","Wilko","Sticky Notes","Multi",NA,NA,NA,"3",NA,0.93
"434024","Wilko 8 Sets Pet Sticky Notes","Wilko","Sticky Notes","Multi",NA,NA,NA,"8",NA,0.93
"434032","Wilko Magnet Clips 2pk","Wilko","Punches and Fasteners","Multi",NA,NA,NA,"2",NA,0.93
"434045","Wilko Petal Pencil Case","Wilko","Pencil Case","Multi",NA,NA,NA,"1",NA,0.93
"434046","Wilko Gold Bling Pencil Case","Wilko","Pencil Case","Multi",NA,NA,NA,"1",NA,0.93
"434047","Wilko Tin Pencil Case","Wilko","Pencil Case","Multi",NA,NA,NA,NA,NA,0.86
"434048","Wilko Basic Magnets","Wilko","Magnets","Multi",NA,NA,NA,"1",NA,0.93
"434049","Wilko Cube Metal Magnets","Wilko","Magnets","Multi",NA,NA,NA,"1",NA,0.93
"434050","Wilko Metal Noticeboard","Wilko","Message Boards","Multi",NA,NA,NA,"1",NA,0.93
"434051","Wilko Large Binder Clips","Wilko","Binder Clip","Multi",NA,NA,NA,"1",NA,0.93
"434052","Wilko Lanyard 2pk","Wilko","Lanyards and Badges","Multi",NA,NA,NA,"2",NA,0.93
"434053","Wilko Plastic Badges","Wilko","Lanyards and Badges","Multi",NA,NA,NA,"1",NA,0.93
"434054","Wilko A4 Chalkboard","Wilko","Message Boards","Multi",NA,NA,NA,"1",NA,0.93
"434056","Wilko Natural Colour Rubberbands","Wilko","Elastic bands","Multi",NA,NA,NA,"1",NA,0.93
"434057","Wilko Transparent Sticky Notes","Wilko","Sticky Notes","Multi",NA,NA,NA,"3",NA,0.93
"260311","Wilko Wooden Pencils 10pk","Wilko Functional","Pencils",NA,NA,NA,NA,"10pk",NA,0.81
"260399","Wilko Bingo Marker Red","Wilko Functional","Highlighters",NA,NA,NA,NA,"1",NA,0.81
"260402","Wilko Bingo Marker Black","Wilko Functional","Highlighters","Black",NA,NA,NA,"1",NA,0.88
"260671","Wilko Functional Drawing Pins Silver Effect 300pk","Wilko Functional","Punches and Fasteners","Silver",NA,NA,NA,"300pk",NA,0.93
"260723","Wilko Ball Point Pen Assorted Colours 10pk","Wilko Functional","Ballpoint Pens",NA,NA,NA,NA,"10pk",NA,0.81
