"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,"Wipe Clean Only","Width 60cm x Drop 160cm","PVC and Aluminium",0.85
"446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 90cm x Drop 160cm","PVC and Aluminium",0.8
"446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"60x160cm - 50mm PVC Slat 3mm thick","PVC and Aluminium",0.8
"446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 90cm x Drop 160cm","PVC and Aluminium",0.8
"446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 120cm x Drop 160cm","PVC and Aluminium",0.8
"446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 150cm x Drop 160cm","PVC and Aluminium",0.8
"446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 180cm x Drop 160cm","PVC and Aluminium",0.8
"sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","90x152cm","Wood",0.9
"sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","120x152cm","Wood",0.9
"sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","150x152cm","Wood",0.9
"sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","60x152cm","Wood",0.9
"sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","90x152cm","Wood",0.9
"sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Cream","Wipe Clean Only","120x152cm","Fabric",0.9
"sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Wood","Wipe Clean Only","60x152cm","Wood",0.9
"sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Wood","Wipe Clean Only","60x152cm","Wood",0.9
"sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Wood","Wipe Clean Only","90x152cm","Wood",0.9
"sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover","Hardwood Venetian Blinds",NA,"Wood","Wipe Clean Only","120x152cm","Wood",0.9
"218817","Wilko Venetian Blind Aluminium Silver Effect60cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Silver","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"218819","Wilko Venetian Blind Aluminium Silver Effect90cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Silver","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"218821","Wilko Venetian Blind Aluminium Silver Effect120cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Silver","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
