"Article","Web Description","Brand","DQ Score"
"446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global",0.85
"446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global",0.8
"446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global",0.8
"446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global",0.8
"446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global",0.8
"446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global",0.8
"446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global",0.8
"sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover",0.9
"sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover",0.9
"sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover",0.9
"sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover",0.9
"sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover",0.9
"sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover",0.9
"sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover",0.9
"sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover",0.9
"sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover",0.9
"sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover",0.9
