"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"185422","Wilko Easy Photo Frame Silver Effect 6 x 4in","Wilko","Plastic Frame","Silver","1","6x4in",NA,1
"185423","Wilko Easy Photo Frame Silver Effect 7 x 5in","Wilko","Plastic Frame","Silver","1","7x5in",NA,1
"185424","Wilko Easy Photo Frame Silver Effect 8 x 6in","Wilko","Plastic Frame","Silver","1","8x6in",NA,1
"185425","Wilko Easy Photo Frame Silver Effect 10 x 8in","Wilko","Plastic Frame","Silver","1","10x8in",NA,1
"185426","Wilko Easy Photo Frame Silver Effect A4","Wilko","Plastic Frame","Silver","1","A4",NA,1
"185427","Wilko Easy Photo Frame Silver Effect 16 x 12in","Wilko","Plastic Frame","Silver","1","16x12in",NA,1
"186289","Wilko Rustic  Effect Photo Frame 7 x 5in","Wilko","Wood Effect Frame","Wood","1","7x5in",NA,1
"186290","Wilko Rustic Effect Photo Frame 8 x 6in","Wilko","Wood Effect Frame","Wood","1","8x6in",NA,1
"186292","Wilko Rustic Effect Photo Frame 10 x 8in","Wilko","Wood Effect Frame","Wood","1","10x8in",NA,1
"186293","Wilko Rustic Effect Photo Frame 12 x 10in","Wilko","Wood Effect Frame","Wood","1","12x10in",NA,1
"186294","Wilko Rustic Effect Photo Frame 14 x 11in","Wilko","Wood Effect Frame","Wood","1","14x11in",NA,1
"187652","Wilko Rustic Effect Photo Frame 20 x 16in","Wilko","Wood Effect Frame","Wood","1","20x16in",NA,1
"213564","Wilko Dorchester Gold Photo Frame 7 x 5in","Wilko","Metal Effect Frame","Gold","1","7x5in",NA,1
"213565","Wilko Dorchester Gold Photo Frame 8 x 6in","Wilko","Metal Effect Frame","Gold","1","8x6in",NA,1
"213566","Wilko Dorchester Gold Photo Frame 10 x 8in","Wilko","Metal Effect Frame","Gold","1","10x8in",NA,1
"213567","Wilko Dorchester Gold Photo Frame 12 x 10in","Wilko","Metal Effect Frame","Gold","1","12x10in",NA,1
"213568","Wilko Dorchester Gold Photo Frame 14 x 11in","Wilko","Metal Effect Frame","Gold","1","14x11in",NA,1
"242196","Wilko Dorchester Gold Photo Frame 20 x 16in","Wilko","Metal Effect Frame","Gold","1","20x16in",NA,1
"242202","Wilko Pewter Effect Photo Frame 6 x 4in","Wilko","Metal Effect Frame","Grey","1","6x4in",NA,1
"242203","Wilko Pewter Effect Photo Frame 7 x 5in","Wilko","Metal Effect Frame","Grey","1","7x5in",NA,1
"242204","Wilko Pewter Effect Photo Frame 8 x 6in","Wilko","Metal Effect Frame","Grey","1","8x6in",NA,1
"242205","Wilko Pewter Effect Photo Frame 10 x 8in","Wilko","Metal Effect Frame","Grey","1","10x8in",NA,1
"242322","Wilko Rustic Effect Photo Frame A4","Wilko","Wood Effect Frame","Wood","1","A4",NA,1
"242493","Wilko Easy Photo Frame Black 6 x 4in","Wilko","Plastic Frame","Black","1","6x4in",NA,1
"242494","Wilko Easy Photo Frame Black 10 x 8in","Wilko","Plastic Frame","Black","1","10x8in",NA,1
"242495","Wilko Easy Photo Frame Black A4","Wilko","Plastic Frame","Black","1","A4",NA,1
"242496","Wilko Easy Photo Frame Black 7 x 5in","Wilko","Plastic Frame","Black","1","7x5in",NA,1
"242498","Wilko Easy Photo Frame Black 16 x 12in","Wilko","Plastic Frame","Black","1","16x12in",NA,1
"250486","Wilko Pewter Effect Photo Frame A4","Wilko","Metal Effect Frame","Grey","1","A4",NA,1
"250487","Wilko Pewter Effect Photo Frame 12 x 10in","Wilko","Metal Effect Frame","Grey","1","12x10in",NA,1
"250488","Wilko Pewter Effect Photo Frame 20 x 16in","Wilko","Metal Effect Frame","Grey","1","20x16in",NA,1
"277030","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","Metal Effect Frame","Silver","1","7x5in",NA,1
"277031","Wilko Dorchester Silver Photo Frame 8 x 6in","Wilko","Metal Effect Frame","Silver","1","8x6in",NA,1
"277033","Wilko Dorchester Silver Photo Frame 10 x 8in","Wilko","Metal Effect Frame","Silver","1","10x8in",NA,1
"277034","Wilko Dorchester Silver Photo Frame 12 x 10in","Wilko","Metal Effect Frame","Silver","1","12x10in",NA,1
"277035","Wilko Dorchester Silver Photo Frame 14 x 11in","Wilko","Metal Effect Frame","Silver","1","11x14in",NA,1
"277037","Wilko Dorchester Silver Photo Frame 20 x 16in","Wilko","Metal Effect Frame","Silver","1","20x16in",NA,1
"291010","Wilko Black Photo Frame 6 x 4in","Wilko","Plastic Frame","Black","1","6x4in",NA,1
"291011","Wilko Black Photo Frame 7 x 5in","Wilko","Plastic Frame","Black","1","7x5in",NA,1
"291012","Wilko Black Photo Frame 8 x 6in","Wilko","Plastic Frame","Black","1","8x6in",NA,1
"291013","Wilko Black Photo Frame 10 x 8in","Wilko","Plastic Frame","Black","1","10x8in",NA,1
"291027","Wilko Black Photo Frame 12 x 10in","Wilko","Plastic Frame","Black","1","10x12in",NA,1
"291028","Wilko Black Photo Frame 14 x 11in","Wilko","Plastic Frame","Black","1","14x11in",NA,1
"291029","Wilko Black Photo Frame 20 x 16in","Wilko","Plastic Frame","Black","1","16x20in",NA,1
"291032","Wilko Black Multi Aperture Photo Frame3 x 6 x 4in","Wilko","Multi Aperture Frame","Black","1","3x6x4in",NA,1
"291043","Wilko Light Wood Effect Photo Frame 6 x 4in","Wilko","Wood Effect Frame","Wood","1","6x4in",NA,1
"291044","Wilko Light Wood Effect Photo Frame 7 x 5in","Wilko","Wood Effect Frame","Wood","1","7x5in",NA,1
