"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"348685","Wilko Kraft Scrapbook 210gsm 25 Sheets22.5cm x 22.5cm","Wilko","Scrapbooks",NA,"1","22.5cm x 22.5cm",NA,0.93
"413207","Wilko Kraft Photo Album 200 Photos 6 x 4in","Wilko","Photo Album",NA,"1","26.2*46.4*42.0cm",NA,0.93
"413210","Wilko Kids Photo Album 50 Photos 6 x 4in","Wilko","Photo Album",NA,"1","36.0*36.0*12.0cm",NA,0.93
"413212","Wilko Magnetic Diet Planner 52 Sheets","Wilko","Journals, Planners and Organisers",NA,"1",NA,NA,0.9125
"413216","Wilko Magnetic Shopping List","Wilko","Journals, Planners and Organisers",NA,"1",NA,NA,0.9125
"413218","Wilko Magnetic Weekly Planner 52 Sheets","Wilko","Journals, Planners and Organisers",NA,"1",NA,NA,0.9125
"432617","Wilko Maps Photo Album 25 Sheets","Wilko","Photo Album",NA,"1","48.0*56.0*24.0cm",NA,0.93
"432618","Wilko City Scape Photo Album 25 Sheets","Wilko","Photo Album",NA,"1","52.0*26.0*25.0cm",NA,0.93
"432621","Wilko Address Book A6","Wilko","Address Books",NA,"1",NA,NA,0.9125
"432623","Wilko Recipe Book","Wilko","Journals, Planners and Organisers",NA,"1",NA,NA,0.9125
"432624","Wilko Birthday and Important Dates Book","Wilko","Calendars and Diaries",NA,"1",NA,NA,0.86
"273506","Wilko Functional Pocket Album 24 Photos 6 x 4in","Wilko Functional","Photo Album","Grey","1",NA,NA,0.93
