"Article","Web Description","Brand","Type","Size","DQ Score"
"435205","Peppa Pig Drinking  Bottle 200ml","Peppa Pig","Drinks Bottle","200ml",1
"445310","Sonic Daisy Bike White/Pink, 12"" Wheel","Sonic","Children's Bikes","67cm x 15cm x 36cm",1
"445312","Sonic Buzz Bike Spoked Wheels, 12"" Wheel","Sonic","Children's Bike","67cm x 15cm x 36cm",1
"445316","Sonic Glamour Bike, 16"" Wheel","Sonic","Children's Bikes","98cm x 16cm x 55cm",1
