"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","Age","Model Number","DQ Score"
"316545","Wilko Small Chalk Board","Wilko","Message Boards","Black",NA,"400x300mm",NA,NA,NA,0.93
"316723","Wilko Bumper Craft Pack","Wilko","Craft Accessories",NA,"1",NA,NA,"4 Years",NA,0.93
"316741","Wilko Let's Create My First Paint Brushes 2pk","Wilko","Paints and Paint Brushes",NA,"2pk",NA,NA,NA,NA,0.86
"316785","Wilko Paint Tray 7 pots","Wilko","Paint Pots and Palettes",NA,"7pcs",NA,NA,NA,NA,0.86
"316885","Wilko Paint Pots Non Spill 3pk","Wilko","Paint Pots and Palettes",NA,NA,"Medium",NA,NA,NA,0.86
"316887","Wilko Let's Create Assorted Foam Shapes 180pk","Wilko","Craft Accessories",NA,"1",NA,NA,"36 Months",NA,0.93
"316896","Wilko Wooden Lolly Sticks 50pk","Wilko","Craft Accessories",NA,"50pk",NA,NA,"36 Months",NA,0.93
"316900","Wilko Make Your Own Keyring 2pk","Wilko","Craft Kits",NA,"2pk",NA,NA,"36 Months",NA,0.883333333333333
"316902","Wilko Animal Keyring 2pk","Wilko","Craft Kits",NA,"2pcs",NA,NA,"3 Years",NA,0.883333333333333
"316904","Wilko Ribbon Bracelet 2pk","Wilko","Craft Kits",NA,"2pk",NA,NA,"36 Months",NA,0.883333333333333
"316974","Wilko Paint Your Own Coin Bank","Wilko","Craft Kits",NA,"1",NA,NA,"3 Years",NA,0.883333333333333
"317023","Wilko Glue Spreader 4pk","Wilko","Glue Spreader",NA,NA,NA,NA,NA,NA,0.825
"317026","Wilko Paint Brushes Assorted Sizes 11pk","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,NA,NA,0.86
"317053","Wilko Let's Create Foam Stickers Animals 36pk","Wilko","Craft Kits","Multi","36pk",NA,NA,"36 Months",NA,0.941666666666667
"317054","Wilko Let's Create Foam Stickers Letters 52pk","Wilko","Craft Kits","Multi","52pk",NA,NA,"36 Months",NA,0.941666666666667
"317076","Wilko Let's Create Mixed Sequins","Wilko","Craft Accessories",NA,NA,NA,NA,"36 Months",NA,0.86
"317087","Wilko Let's Create Assorted Feathers","Wilko","Craft Accessories","Multi",NA,NA,NA,"4 Years",NA,0.93
"318101","Wilko Spoon People Bride and Groom","Wilko","Craft Kits",NA,NA,NA,NA,"36 Months",NA,0.825
"318125","Wilko Make Your Own Foam Fairies 2pk","Wilko","Craft Kits",NA,"2pk",NA,NA,"36 Months",NA,0.883333333333333
"333593","Wilko Sew Your Own Animals","Wilko","Craft Kits",NA,"1",NA,NA,"3 Years",NA,0.93
"333715","Wilko Cut Out Shapes 15 pack","Wilko","Craft Paper and Card ",NA,NA,NA,NA,NA,NA,0.79
"349448","Wilko Fun Learning Book 123 and ABC","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"349449","Wilko Shaped Wipe Clean Book","Wilko","Activity Books",NA,NA,NA,NA,NA,NA,0.79
"349451","Wilko Magic Painting Book","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"349452","Wilko Copy Colouring Shaped","Wilko","Activity Books",NA,NA,NA,NA,NA,NA,0.79
"349453","Wilko Animal Colouring Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"349529","Wilko Paint Brushes 6pk","Wilko","Paints and Paint Brushes",NA,"6pk",NA,NA,NA,NA,0.86
"349531","Wilko Messy Mat","Wilko","Mess Mats",NA,NA,NA,NA,NA,NA,0.79
"349532","Wilko Modelling Clay Rolls 32pk","Wilko","Dough and Modelling",NA,"32",NA,NA,NA,NA,0.86
"349533","Wilko Colouring Dough Set 4 x 150g","Wilko","Dough and Modelling",NA,"1",NA,NA,NA,NA,0.86
"349545","Wilko Sticker Book Princess 500 Stickers","Wilko","Activity Books",NA,"500pcs",NA,NA,NA,NA,0.86
"349546","Wilko Sticker Book Dinosaur 500 Stickers","Wilko","Activity Books",NA,"500pcs",NA,NA,NA,NA,0.86
"349547","Wilko Let's Create Stickers Smiling Face 36Stickers","Wilko","Stickers And Stencils",NA,"1",NA,NA,NA,NA,0.9125
"349551","Wilko Let's Create Embelishment Polka Dot Flower","Wilko","Embellishments",NA,"1",NA,NA,NA,NA,0.9125
"349563","Wilko Let's Create Beads Alphabet 30g","Wilko","Beads And Jewels",NA,"1",NA,NA,NA,NA,0.86
"349610","Wilko Let's Create Beads Multi Coloured Flower 30g","Wilko","Beads And Jewels",NA,NA,NA,NA,NA,NA,0.79
"349613","Wilko Let's Create Beads Multi Coloured Striped30g","Wilko","Beads And Jewels",NA,NA,NA,NA,NA,NA,0.79
"349614","Wilko Let's Create Bead Threading String andClasps","Wilko","Beads And Jewels",NA,"1",NA,NA,NA,NA,0.86
"349616","Wilko Glitter Mega Pack","Wilko","Craft Accessories",NA,"1",NA,NA,NA,NA,0.86
"349619","Wilko My Amazing Doodle Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"349624","Wilko Let's Create Puzzle Foam Dinosaur Assorted","Wilko","Craft Kits",NA,NA,NA,NA,NA,NA,0.79
