"Article","Web Description","DQ Score"
"a100007","Keswick Mattress Rolled Single",0.9
"a100008","Keswick Mattress Rolled Double",0.9
"a100089","Comfort Express Rolled Mattress Double",0.9
"a200001","York Mattress Medium Firm Single",0.9
"a200002","York Mattress Medium Firm Double",0.9
"a200003","York Mattress Medium Firm Kingsize",0.9
"a200004","Henley Trizone Deluxe Mattress Single",0.9
"a200005","Henley Trizone Deluxe Mattress Double",0.9
"a200069","Blythe Memory Foam No Turn Mattress Double",0.841666666666667
