"Article","Web Description","Brand","Type","Size","DQ Score"
"147840","Thermos Originals Flask Black 0.5L","Thermos","Flasks","500ml",1
"241904","Wilko Cooling Bottle 2pk","Wilko","Ice Packs","2 Pack",1
"250417","Wilko Vacuum Flask Stainless Steel 1L","Wilko","Flasks","1L",1
"318434","Wilko 1.2L Stainless Steel Jumbo Flask","Wilko","Flasks","1200ml",1
"447946","Wilko Fruit Infuser Bottle Purple 700ml","Wilko","Infuser Drinks Bottle","7.5cm x 7.5cm x 23cm",1
"447948","Wilko Fruit Infuser Bottle Green 700ml","Wilko","Infuser Drinks Bottle","7.5cm x 7.5cm x 23cm",1
"447949","Wilko Fruit Infuser Bottle Black 1000ml","Wilko","Infuser Drinks Bottle","10.7cm x 8cm x 27cm",1
