"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","DQ Score"
"1554","Wilko Tie Handle Swing Bin Liners 50L 15pk","Wilko",NA,"Swing Bin Liners",NA,"15","Large",0.883333333333333
"214132","Wilko Tie Handle Pedal Bin Liners 25L 30pk","Wilko",NA,"Pedal Bin Liners",NA,"30pk","Large",0.883333333333333
"238429","Wilko Tie Top Refuse Sacks 80L 20pk","Wilko",NA,"Refuse Sacks",NA,"30pk","73cmx93cm",0.883333333333333
"278076","Wilko Tall Kitchen Bin Liners 30L 20pk","Wilko",NA,"Drawstring Liners",NA,"20pk","30L",0.883333333333333
"278077","Wilko Tall Kitchen Bin Liners 50L 15pk","Wilko",NA,"Drawstring Liners",NA,"15pk","50L",0.883333333333333
"330867","Wilko Tie Handle Garden Refuse Sacks 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","80L",0.883333333333333
"330868","Wilko Wheelie Bin Liners 120 x 240L 10pk","Wilko",NA,"Wheelie Bin Liners",NA,"10pk","80L",0.883333333333333
"332574","Wilko Recycled Refuse Bags Large 100L 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk","Large",0.883333333333333
"332590","Wilko Recycled Refuse Bags Large 90L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","Large",0.883333333333333
"332591","Wilko Recycled Bin Bags Extra Large 120L 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk","Extra Large",0.883333333333333
"333513","Wilko Recycled Swing Bin Liners 50L 20pk","Wilko",NA,"Swing Bin Liners",NA,"20pk","50L",0.883333333333333
"400384","Wilko Home Compost Caddy Liner 20pk","Wilko",NA,"Refuse Sacks",NA,NA,NA,0.766666666666667
"400385","Wilko Industrial Compost Caddy Liner 20pk","Wilko",NA,"Refuse Sacks",NA,"20",NA,0.825
"400391","Wilko Extra Strong Rubble Sacks 10pk","Wilko",NA,"Refuse Sacks",NA,"1","10 Pack",0.883333333333333
"400392","Wilko Refuse Sacks Clear 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk",NA,0.825
"400393","Wilko Drawstring Storage Bag Clear 10pk","Wilko",NA,"Storage Bags",NA,"10","90L",0.883333333333333
"400394","Wilko Kerbside Caddy Liners Large 10pk","Wilko",NA,"Refuse Sacks",NA,"10",NA,0.825
"400395","Wilko Waste Basket Liners Lavender Scented 25pk","Wilko",NA,"Swing Bin Liners",NA,"25",NA,0.825
"63855","Wilko Drawstring Refuse Sacks 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","Large",0.883333333333333
"63857","Wilko Drawstring Swing Bin Liners 50L 15pk","Wilko",NA,"Swing Bin Liners",NA,"15","Large",0.883333333333333
"71844","Wilko Tie Handle Refuse Sacks Black 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10","Large",0.883333333333333
"193718","Wilko Swing Bin Liners 58 x76cm 50pk","Wilko Functional",NA,"Swing Bin Liners",NA,"50pk","585mmx760mm",0.833333333333333
"332570","Wilko Functional Refuse Sacks 30pk","Wilko Functional",NA,"Refuse Sacks",NA,"30",NA,0.825
"332690","Wilko Functional Pedal Bin Liners 50pk","Wilko Functional",NA,"Pedal Bin Liners",NA,"50pk","46cmx46cm",0.883333333333333
