"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","423226","Wilko Housewife Pillowcases Black 2pk","Wilko","50 x 75 x 13cm",NA,"2","Fabric",NA,NA,NA,NA,NA,0.9
"HOM","BED","423227","Wilko Fitted Sheet Single Plum","Wilko","Fitted sheet Single 90x190x25cm",NA,"1","Fabric",NA,NA,NA,NA,NA,0.9
"HOM","BED","423228","Wilko Fitted Sheet Double Plum","Wilko","Fitted sheet Double 140x190x25cm",NA,"1","Fabric",NA,NA,NA,NA,NA,0.9
"HOM","BED","423229","Wilko Fitted Sheet King Size Plum","Wilko","Fitted sheet King 150X200X25cm",NA,"1","Fabric",NA,NA,NA,NA,NA,0.9
"HOM","BED","423231","Wilko Housewife Pillowcase Plum","Wilko","Housewife Pillow Pair 50X75X13CM",NA,"2","Fabric",NA,NA,NA,NA,NA,0.9
"HOM","BED","424523","Wilko Fitted Sheet Single Caramel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424524","Wilko Fitted Sheet Double Caramel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424525","Wilko Fitted Sheet King Size Caramel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424527","Wilko Oxford Pillowcases Caramel 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424528","Wilko Fitted Sheet Single Taupe","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424529","Wilko Fitted Sheet Double Taupe","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424530","Wilko Fitted Sheet King Size Taupe","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424531","Wilko Housewife Pillowcase Taupe","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424533","Wilko Fitted Sheet Single Chocolate","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424535","Wilko Fitted Sheet King Size Chocolate","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424538","Wilko Fitted Sheet Single Navy","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424539","Wilko Fitted Sheet Double Navy","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424540","Wilko Fitted Sheet King Size Navy","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424541","Wilko Housewife Pillowcases Navy 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424542","Wilko Oxford Pillowcase Navy 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424543","Wilko Fitted Sheet Single Denim","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424544","Wilko Fitted Sheet Double Denim","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424545","Wilko Fitted Sheet King Size Denim","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
