"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Age","DQ Score"
"TOI","FAC","249652","Nivea Pearly Shine Lip Balm 4.8g","Nivea","4.8g",NA,"1",NA,NA,0.93
"TOI","FAC","249653","Nivea Daily Essentials Rich Moisturising DayCream SPF 15 50ml","Nivea","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","269390","Nivea Daily Essentials Light Moisturising DayCream SPF 15 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","269391","Nivea Daily Essentials 2 in 1 Cleanser and Toner200ml","Nivea","200ml",NA,"1",NA,NA,1
"TOI","FAC","278476","Nivea Daily Essentials Double Effect Eye Make-UpRemover 125ml","Nivea","125ml",NA,"1",NA,NA,1
"TOI","FAC","278478","Nivea  Daily Essentials Regenerating NightCream 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","303391","Nivea Pure and Natural Soothing Day Cream 50ml","Nivea","50ml",NA,"1",NA,NA,0.95
"TOI","FAC","304155","Nivea Pure and Natural Moisturising Day Cream 50ml","Nivea","50ml",NA,"1",NA,NA,0.95
"TOI","FAC","306724","Nivea Hydro Care Lip Balm SPF 15 4.8g","Nivea",NA,NA,NA,NA,NA,0.825
"TOI","FAC","309460","Nivea Daily Essentials Oil Free Moisturising DayCream 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","310868","Nivea Daily Essentials Refreshing Facial Wash Gel150ml","Nivea","150ml",NA,"1",NA,NA,1
"TOI","FAC","310869","Nivea Daily Essentials Rich Regenerating NightCream 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","324061","Nivea Pure and Natural Regenerating Night Cream50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","335307","Nivea Daily Essentials Express Hydration PrimerNormal Skin 50ml","Nivea","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","338360","Nivea Daily Essentials Express Hydration PrimerDry and Sensitive Skin 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","338498","Nivea Daily Essentials Extra Gentle Eye MakeupRemover 125ml","Nivea","125ml",NA,"1",NA,NA,1
"TOI","FAC","338506","Nivea In-Shower Body Moisturiser Nourishing 250ml","Nivea","250ml",NA,NA,NA,NA,0.9125
"TOI","FAC","338510","Nivea Q10 Plus Anti-Wrinkle Pore Refining Day Cream SPF 15 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","338596","Nivea Lip Butter Raspberry Rosé 19ml","Nivea","19ml",NA,"1",NA,NA,0.93
"TOI","FAC","351154","Nivea Daily Essentials 3 in 1 Sensitive CaringMicellar Water 200ml","Nivea","200ml",NA,"1",NA,NA,1
"TOI","FAC","351155","Nivea Daily Essentials Sensitive Cleansing Milk200ml","Nivea","200ml",NA,"1",NA,NA,1
"TOI","FAC","351156","Nivea Daily Essentials Sensitive Day Cream SPF1550ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","351157","Nivea Daily Essentials Sensitive Night Cream 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","351599","Nivea Q10 Plus Anti-Wrinkle CC Tinted Day CreamSPF 15 50ml","Nivea","50ml",NA,"1",NA,NA,1
"TOI","FAC","351602","Nivea In-Shower Body Moisturiser Indulging Cocoa250ml","Nivea","250ml",NA,"1",NA,NA,1
"TOI","FAC","351604","Nivea Lip Butter Vanilla and Macadamia 19ml","Nivea","16.7g",NA,"1",NA,NA,0.93
"TOI","FAC","433805","Nivea Daily Essentials Caring Micellar WaterNormal Skin 200ml","Nivea","200ml",NA,"1",NA,NA,1
"TOI","FAC","433807","Nivea Facial Cleansing Wipes 25pk","Nivea",NA,NA,"25",NA,NA,0.9125
"TOI","FAC","433813","Nivea Fruity Shine Strawberry Lip Balm 4.8g","Nivea","4.8G",NA,"1",NA,NA,0.93
"TOI","FAC","433814","Nivea Fruity Shine Peach Lip Balm 4.8g","Nivea","4.8G",NA,"1",NA,NA,0.93
"TOI","FAC","433815","Nivea Fruity Shine Cherry Lip Balm 4.8g","Nivea","4.8G",NA,"1",NA,NA,0.93
"TOI","FAC","433816","Nivea Fruity Shine Watermelon Lip Balm 4.8g","Nivea","4.8G",NA,"1",NA,NA,0.93
"TOI","FAC","439495","Nivea Creme Tin 75ml","Nivea","75ml",NA,"1",NA,NA,1
"TOI","FAC","444216","Nivea Original Care Lip Balm 4.8g","Nivea",NA,NA,"1",NA,NA,0.86
"TOI","FAC","447464","Nivea Daily Essentials 3 in 1 Cleansing MicellarWipes All Skin Types 25s","Nivea",NA,NA,"25",NA,NA,0.9125
"TOI","FAC","449224","Nivea Q10 Anti-Age Hand Cream 75ml","Nivea","75ml",NA,"1",NA,NA,1
"TOI","FAC","449225","Nivea Express Care Hand Cream 75ml","Nivea","75ml",NA,"1",NA,NA,1
"TOI","FAC","449226","Nivea Hand Cream Nourishing Care 75ml","Nivea","75ml",NA,"1",NA,NA,1
"TOI","FAC","100782","Olay Beauty Fluid 100ml","Olay","100ml",NA,"1",NA,NA,1
"TOI","FAC","100784","Olay Regular Fluid 200ml","Olay","200ml",NA,"1",NA,NA,1
"TOI","FAC","125950","Olay Beauty Fluid Sensitive 200ml","Olay","200ml",NA,NA,NA,NA,0.9125
"TOI","FAC","142641","Olay Gentle Cleansers Conditioning Milk Normal/Dry/Sensitive Skin 200ml","Olay","200ml",NA,NA,NA,NA,0.9125
"TOI","FAC","146754","Olay Complete Care Day Fluid UV Normal/Oily SPF 15100ml","Olay","200ml",NA,NA,NA,NA,0.9125
"TOI","FAC","171438","Olay Daily Facials Refill Normal to Dry 30pk","Olay",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","204694","Olay Gentle Cleansers Face Wash 150ml","Olay","150ml",NA,"1",NA,NA,1
"TOI","FAC","245099","Olay Everyday Cream Light Glow 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","248483","Olay Anti Wrinkle Firming Day Cream SPF 15 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","248484","Olay Anti Wrinkle Firm and Lift Night Cream 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","249622","Olay Complete Care Day Fluid UV Sensitive SPF15100ml","Olay","100ml",NA,NA,NA,NA,0.9125
"TOI","FAC","264905","Olay Gentle Cleanser Cleaning Wipes 20pk","Olay",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","276143","Olay Double action Day Cream 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","277500","Olay Double Action Night Cream Normal and Dry 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","277772","Olay Anti-Wrinkle Provital Day Cream Mature SkinSPF15 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","277774","Olay Anti Wrinkle Provital Night Cream MatureSkin 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","277777","Olay Complete Care Day Cream Normal and Dry SPF1550ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","277780","Olay Complete Care Enriched Night Cream Normaland Dry Skin 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","277818","Olay Double Action Day Cream Sensitive 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","278820","Olay Anti Wrinkle Instant Hydration Day Cream 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","281330","Olay Anti Wrinkle Instant Hydration Day Serum 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","309636","Olay Anti Wrinkle Firm and Lift 2in1 Day Creamand Serum 50ml","Olay","50ml",NA,NA,NA,NA,0.9125
"TOI","FAC","309642","Olay Gentle Cleansers Refreshing Toner 200ml","Olay","200ml",NA,"1",NA,NA,1
"TOI","FAC","325863","Olay Total Effects 7in1 Anti-Ageing FragranceFree 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","325866","Olay Total Effects Night Cream 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","325985","Olay Complete BB cream Medium SPF15 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","329445","OLAY Total Effects 2in1 Serum 40ml","Olay","40ml",NA,NA,NA,NA,0.9125
"TOI","FAC","351632","Olay Anti Wrinkle Daily Lotion 100ml","Olay","100ml",NA,"1",NA,NA,1
"TOI","FAC","351633","Olay Essential Care Day Cream Sensitive 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","351634","Olay Complete Care BB Cream Medium 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","351636","Olay Total Effects Age Defying MoisturiserSPF15 50ml","Olay","50ml",NA,"1",NA,NA,1
"TOI","FAC","427748","Olay Anti Wrinkle Firm and Lift Lotion 30ml","Olay",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","433559","Olay Total Effects Feather Weight Moisturiser 50ml","Olay","50ml",NA,NA,NA,NA,0.8625
"TOI","FAC","207395","Palmers Cocoa Butter Lotion 250ml","Palmers","250ml",NA,"1",NA,NA,1
"TOI","FAC","207397","Palmers Cocoa Butter Lotion For Stretch Marks250ml","Palmers","250ml",NA,"1",NA,NA,1
"TOI","FAC","302202","Palmers Cocoa Butter Concentrated Cream 60g","Palmers","60g",NA,NA,NA,NA,0.9125
"TOI","FAC","433560","Palmers Coconut Oil Body Lotion 250ml","Palmers","250ml",NA,"1",NA,NA,1
"TOI","FAC","433561","Palmers Coconut Oil Hand Cream 60g","Palmers","60G",NA,"1",NA,NA,1
"TOI","FAC","433545","Sanex Advance Atopi Care Body Lotion 250ml","Sanex",NA,NA,NA,NA,NA,0.825
"TOI","FAC","433547","Sanex Advance Hydrate 24 HourHand Cream 75ml","Sanex",NA,NA,NA,NA,NA,0.825
"TOI","FAC","433548","Sanex Advance Atopi Care Hand Cream 75ml","Sanex",NA,NA,NA,NA,NA,0.825
"TOI","FAC","433550","Sanex Advance Hydrate 24 Hour Body Lotion 400ml","Sanex","400ml",NA,NA,NA,NA,0.9125
"TOI","FAC","433551","Sanex Advance Atopi Care Body Lotion 400ml","Sanex",NA,NA,NA,NA,NA,0.825
"TOI","FAC","159831","Simple Cleansing Wipes 25pk","Simple",NA,NA,"25",NA,NA,0.9125
"TOI","FAC","163799","Simple Kind To Skin Soothing Facial Toner 200ml","Simple","200ml",NA,"1",NA,NA,1
"TOI","FAC","170376","Simple Kind To Skin Moisturising Facial Wash 150ml","Simple","150ml",NA,"1",NA,NA,1
"TOI","FAC","192787","Simple Eye Makeup Remover 125ml","Simple","125ml",NA,"1",NA,NA,1
"TOI","FAC","238385","Simple Replenishing Rich Moisturiser 125ml","Simple","125ml",NA,"1",NA,NA,1
"TOI","FAC","33454","Simple Purifying Cleansing Lotion 200ml","Simple","200ml",NA,"1",NA,NA,1
"TOI","FAC","33455","Simple Hydrating  Lotion 125ml","Simple","125ml",NA,NA,NA,NA,0.9125
"TOI","FAC","338352","Simple Kind to Eyes Soothing Eye Balm 15ml","Simple","15ml",NA,NA,NA,NA,0.9125
"TOI","FAC","338353","Simple Kind to Skin Refreshing Facial Wash Gel 150ml","Simple","150ml",NA,NA,NA,NA,0.9125
"TOI","FAC","351175","Simple Spotless Triple Action Facewash 150ml","Simple","15ml",NA,NA,NA,NA,0.9125
"TOI","FAC","351177","Simple Spotless Skin Quick Fix Cleansing Wipes25pk","Simple",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","351181","Simple Spotless Rapid Action Spot Zapper 15ml","Simple",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","433797","Simple Kind To Skin Micellar Cleansing Wipes 25pk","Simple",NA,NA,NA,NA,NA,0.825
"TOI","FAC","433798","Simple Kind To Skin Micellar Cleansing Water 200ml","Simple",NA,NA,NA,NA,NA,0.825
"TOI","FAC","437549","Simple Regeneration Age Resisting Day CreamSPF15 50ml","Simple","50ml",NA,"1",NA,NA,1
"TOI","FAC","437550","Simple Regeneration Age Resisting Facial Wash150ml","Simple","150ml",NA,"1",NA,NA,1
"TOI","FAC","437554","Simple Anti Blemish Moisturiser 75ml","Simple","75ml",NA,NA,NA,NA,0.9125
"TOI","FAC","279560","St Ives Fresh Skin Apricot Facial Scrub 150ml","St Ives","150ml",NA,NA,NA,NA,0.9125
"TOI","FAC","154756","Vaseline Lip Therapy Original 20g","Vaseline","20g",NA,NA,NA,NA,0.86
"TOI","FAC","214587","Vaseline Lip Therapy Aloe Vera 20g","Vaseline",NA,NA,"1",NA,NA,0.86
"TOI","FAC","222075","Vaseline Advanced Repair Lotion 400ml","Vaseline","400ml",NA,NA,NA,NA,0.9125
"TOI","FAC","253629","Vaseline Intensive Care Essential Lotion 400ml","Vaseline","400ml",NA,"1",NA,NA,1
"TOI","FAC","33372","Vaseline Essential Healing Body Lotion 200ml","Vaseline","200ml",NA,"1",NA,NA,1
"TOI","FAC","338351","Vaseline Lip Therapy Rosy Lip Balm 20g","Vaseline","20g",NA,"1",NA,NA,0.93
"TOI","FAC","338369","Vaseline Intensive Care Cocoa Lotion 400ml","Vaseline","400ml",NA,NA,NA,NA,0.9125
"TOI","FAC","351187","Vaseline Lip Therapy Cocoa Butter 20g","Vaseline","20g",NA,"1",NA,NA,0.93
"TOI","FAC","419517","Vaseline Moisturiser Aerosol Essential 190ml","Vaseline","190ml",NA,"1",NA,NA,0.95
"TOI","FAC","419518","Vaseline Intensive Care Cocoa Spray Moisturiser190ml","Vaseline","190ml",NA,NA,NA,NA,0.9125
"TOI","FAC","419519","Vaseline Intensive Care Aloe Soothe SprayMoisturiser 190ml","Vaseline","190ml",NA,NA,NA,NA,0.9125
"TOI","FAC","452955","Vaseline Cocoa Radiant Lotion 200ml","Vaseline","200ml",NA,"1",NA,NA,1
