"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","272465","Wilko Shower Caddy 3 Tier Chrome Effect","Wilko","12 x 22.5 x 46.5cm","Silver","1","Iron",NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","272536","Wilko Self Adhesive Mirror Tiles 30 x 30cm 4pk","Wilko","30x30cm",NA,"4pk",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","272537","Wilko Rectangular Mirror 25 x 35cm","Wilko","25x35cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","273034","Wilko Electronic Bathroom Scales Black Glass","Wilko","Single","Black",NA,NA,NA,NA,"Battery",NA,NA,NA,0.941666666666667
"HOM","BAT","273104","Wilko Modular Rail for Showers Polished Aluminium","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","273186","Wilko Natural Woven Rectangular Laundry BasketLarge","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298357","Wilko Free Standing Mirror Chrome andCrystal Effect","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298519","Wilko Ceramic Soap Dispenser White","Wilko","6.5cm x 6.5cm x 15.5cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298521","Wilko Ceramic Tumbler White","Wilko","6.5 cm x 6.5 cm x 9.5 cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298522","Wilko Ceramic Soap Dish White","Wilko","12 cm x 7.8 cm x 3 cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298523","Wilko Toilet Brush with Chrome Handle White","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298738","Wilko Free Standing Storage Unit 3 Tier White","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","298784","Wilko Laundry Basket Silver Plastic 45L","Wilko","45L","Silver",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","310229","Wilko Shower Curtain Blue White and Aqua Stripe","Wilko","180cm x180cm","Blue",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310230","Wilko Shower Curtain Naturals Stripe","Wilko","180cm x180cm","Cream",NA,NA,NA,NA,NA,NA,"Painted Paper",NA,1
"HOM","BAT","310276","Wilko Transparent Pebble Bath Mat","Wilko","35x70cm","Clear",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,1
"HOM","BAT","310280","Wilko Bath Mat Non Slip Rubber White","Wilko","40x70cm","White",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,1
"HOM","BAT","310281","Wilko Bath Mat Non Slip Rubber Cream","Wilko","40x70cm","Cream",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,1
