"Article","Web Description","Brand","Type","DQ Score"
"334160","Komodo Daylight Neodymium Spot Bulb ES 150W","Komodo","Heating",1
"334162","Komodo Daylight Neodymium Spot Bulb BC 75W","Komodo","Heating",1
"334163","Komodo Daylight Neodymium Spot Bulb BC 100W","Komodo","Heating",1
"334204","Komodo Mealworm Holding Dish Brown Small","Komodo","Bowl",1
"334205","Komodo Smart Dish Mealworm Holder Brown","Komodo","Bowl",1
"334223","Komodo Leopard Gecko Dusting Powder Premium 75g","Komodo","Food",1
"334228","Komodo Tortoise Diet Complete Holistic Dandelion 340g","Komodo","Food",1
"334230","Komodo Tortoise Diet Complete Holistic Fruit and Flower 340g","Komodo","Food",1
"334238","Komodo Tropical Terrain Compact Brick","Komodo","Terrain",1
"334240","Komodo Tropical Terrain Rainforest Substrate 6L","Komodo","Terrain",1
"334241","Komodo Aspen Bed Terrain Snake Substrate 6L","Komodo","Terrain",1
"428954","Komodo CaCo Sand White 4kg","Komodo","Sand",1
"454289","Komodo Habitat Moss Compact Brick 100g","Komodo","Terrain",1
"454291","Komodo Twin Jelly Pot Holder","Komodo","Food",1
"314649","Supa Turtle Food 1L","Supa","Food",1
"422772","Wilko Turtle Water Conditioner 118ml","Wilko","Water Conditioner",1
"80395","Wilko Turtle and Terrapin Complete Food 20g","Wilko","Food",1
