"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","Assembly","Material","DQ Score"
"347356","Nivea Sun Protect And Refresh Invisible CoolingSun Spray SPF50 High 200ml","Nivea","Sun Cream Spf50",NA,"200ml","1",NA,NA,1
"347357","Nivea Sun Protect And Refresh Refreshing Sun SpraySPF50 High 200ml","Nivea","Sun Cream Spf50",NA,"200ml","1",NA,NA,1
"409353","Nivea Sun Protect And Bronze Tan ActivatingProtecting Oil SPF20 Medium 200ml","Nivea","Sun Cream Spf20",NA,"200ml","1",NA,NA,1
"413542","Palram Skylight Amber Shed 6 x 3","Palram","Polycarbonate Sheds","Brown","6 x 3",NA,"Yes",NA,1
"413543","Palram Skylight Amber Garden Shed 4 x 6","Palram","Polycarbonate Sheds","Brown","186L x 125W x 201.5H",NA,"Yes",NA,1
"413544","Palram Skylight Amber Shed 6 x 5","Palram","Polycarbonate Sheds","Brown","6 x 5",NA,"Yes",NA,1
"413545","Palram Skylight Amber Shed 6 x 8","Palram","Polycarbonate Sheds","Brown","6 x 8",NA,"Yes",NA,1
"413546","Palram Skylight Amber Shed 6 x 10","Palram","Polycarbonate Sheds","Brown","6 x 10",NA,"Yes",NA,1
"407767","Rowlinson Greenvale Metal Pent Garden Shed 6 x 4","Rowlinson","Metal Sheds","Green","6 x 4",NA,"No","Steel",1
"348837","Wilko Suncare Lotion SPF15 200ml","Wilko","Sun Cream Spf15",NA,"200ml","1",NA,NA,1
"348838","Wilko Suncare Lotion SPF30 200ml","Wilko","Sun Cream Spf30",NA,"200ml","1",NA,NA,1
"348839","Wilko Suncare Lotion SPF50 200ml","Wilko","Sun Cream Spf50",NA,"200ml","1",NA,NA,1
"348840","Wilko Suncare Spray SPF15 200ml","Wilko","Sun Cream Spf15",NA,"200ml","1",NA,NA,1
"348841","Wilko Suncare Spray SPF30 200ml","Wilko","Sun Cream Spf30",NA,"200ml","1",NA,NA,1
"348842","Wilko Suncare Spray Clear SPF15 200ml","Wilko","Sun Cream Spf15",NA,"200ml","1",NA,NA,1
"348843","Wilko Suncare Spray Clear SPF30 200ml","Wilko","Sun Cream Spf30",NA,"200ml","1",NA,NA,1
"348845","Wilko Suncare Kids SPF50 150ml","Wilko","Baby and Kids Suncream",NA,"150ml","1",NA,NA,1
"348848","Wilko Suncare Sensitive SPF50 200ml","Wilko","Sun Cream Spf50",NA,"200ml","1",NA,NA,1
"348850","Wilko Suncare Facial SPF30 100ml","Wilko","Sun Cream Spf30",NA,"100ml","1",NA,NA,1
"348852","Wilko After Sun Aloe Vera Gel 200ml","Wilko","Aftersun",NA,"200ml","1",NA,NA,1
"348853","Wilko After Sun Aloe Vera Lotion 200ml","Wilko","Aftersun",NA,"200ml","1",NA,NA,1
"457136","Wilko Garden Weather Vane","Wilko","Weather Vane","Silver","Weather vane 43x33x170cm","1",NA,NA,1
"457148","Wilko Garden Station Clock","Wilko","Clocks","Gold","Length 4cm, Width 20cm, Height 25cm","1",NA,NA,1
"457149","Wilko Garden Thermometer","Wilko","Thermometer","Gold","Length 10cm, Width 5cm, Height 25cm","1",NA,NA,1
"457150","Wilko Garden Twine in a Tin","Wilko","Wire and Twine","Green","Length 13cm, width 8cm, Height 8cm","1",NA,"Galvanized Metal",1
