"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOM","BLI","446190","Square Eyelet Blind White 90 wide x 165cm drop","Global",0.8
"HOM","BLI","446191","Square Eyelet Blind White 120 wide x 165cm drop","Global",0.8
"HOM","BLI","446192","Square Eyelet Blind White 150 wide x 165cm drop","Global",0.8
"HOM","BLI","446193","Square Eyelet Blind White 180 wide x 165cm drop","Global",0.8
"HOM","BLI","446194","Square Eyelet Blind White 210 wide x 165cm drop","Global",0.8
"HOM","BLI","306139","Sun Lover Cord and Ball Chain Retainer","Sunflex",0.8
"HOM","BLI","sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover",0.9
"HOM","BLI","sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover",0.9
"HOM","BLI","sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover",0.9
"HOM","BLI","sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover",0.9
"HOM","BLI","sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover",0.9
"HOM","BLI","sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover",0.9
"HOM","BLI","sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover",0.9
"HOM","BLI","sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover",0.9
"HOM","BLI","sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover",0.9
"HOM","BLI","sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover",0.9
"HOM","CHI","451464","Duvet Set Shimmer and Shine Single","Character",0.9
"HOM","CHI","451465","Duvet Set Pokemon Single","Character",0.85
"HOM","CHI","451466","Paw Patrol Pink Fleece Blanket 100 x 150cm","Character",0.9
"HOM","CHI","451467","Pokemon Fleece Blanket 100 x 150cm","Character",0.9
"HOM","CHI","451468","Trolls Fleece Blanket 100 x 150cm","Character",0.9
"HOM","CHI","451469","My Little Pony Fleece Blanket 100 x 150cm","Character",0.9
"HOM","CHI","432844","Football Illumi Mate","Other",0.783333333333333
"HOM","CHI","451234","Duvet Set Emoji Multi Reversible Single","Other",0.9
"HOM","CHI","451235","Emoji Embroided Poop Cushion","Other",0.9
"HOM","CHI","451479","Paw Patrol Illumi Mate Comfort Light","Other",0.833333333333333
"HOM","CHI","451480","Shimmer andShine Illumimate Assorted","Other",0.716666666666667
"HOM","CHI","451647","Duvet Set Blaze Single","Other",0.85
"HOM","CHI","451648","Duvet Set Trolls Single","Other",0.9
