"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BAT","293767","Croydex Secura Safe Shower Spray Set White","Croydex","33.7CM","20.8CM","6.2CM","Shower Heads","Single",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","452660","Croydex Telescopic Stick n Lock Rod","Croydex","2.2CM","2.2CM","183.0CM","Shower Curtain Rails","5x117cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","151595","Wilko Telescopic Shower Curtain Pole White122-218cm","Wilko","123.4CM","3.3CM","3.3CM","Shower Curtain Rails","122-218cm, 3.3cm Diam",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","161632","Wilko Bathroom Waste Bin Stainless Steel 3L","Wilko","24.0CM","16.7CM","22.0CM","Bathroom Bin","22 x 16.7 x 24cm","Silver","1",NA,NA,NA,NA,"3L",NA,1
"HOM","BAT","188756","Wilko Stainless Steel Shower Hose 150cm","Wilko","23.2CM","16.5CM","4.1CM","Shower Hoses","150cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","188788","Wilko Pedestal and Bath Mat Set Cream","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BAT","194332","Wilko Over the Door Hooks Chrome Plated","Wilko","24.0CM","45.0CM","11.0CM","Towel Rails and Hooks","Single","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194765","Wilko Toilet Roll Holder Chrome Plated","Wilko","21.0CM","22.9CM","3.1CM","Toilet Roll Holders","Single","Metal","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194816","Wilko Telescopic Shower Curtain Rod Silver EffectExtends to 260cm","Wilko","260.0CM","2.5CM","2.5CM","Shower Curtain Rails","180-240cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","212344","Wilko Pedestal and Bath Mat Set White","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BAT","224930","Wilko Pedestal and Bath Mat Set Aqua Blue","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","Blue",NA,"100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BAT","224957","Wilko Pedestal and Bath Mat Set Beige","Wilko","54.2CM","51.5CM","4.0CM","Bath Mats","45x70cm","Multi",NA,"100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BAT","225126","Wilko Clear Jewel Toilet Brush Holder ChromeEffect","Wilko","38.7CM","10.0CM","10.0CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","225128","Wilko Shower Hose 200cm","Wilko","23.1CM","16.5CM","4.1CM","Shower Hoses","200cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","238817","Wilko Light Pull White Ceramic with Chrome Trim","Wilko","7.1CM","2.6CM","2.5CM","Light Pulls","Single","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249006","Wilko Bathroom Corner Shelf Chrome Plated","Wilko","6.0CM","27.6CM","19.0CM","Bathroom Shelves","Single","Silver","1","Iron",NA,NA,NA,NA,NA,1
"HOM","BAT","249013","Wilko Toilet Roll Tower Chrome Plated","Wilko","50.0CM","17.0CM","17.0CM","Toilet Roll Holders","Single","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249482","Wilko Robe Hook White Victoria Range","Wilko","13.0CM","8.0CM","8.1CM","Towel Rails and Hooks","Single","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249483","Wilko Glass Tumbler Victoria Range","Wilko","12.2CM","13.3CM","7.7CM","Tumblers","Single","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249529","Wilko Towel Bar White Victoria Range","Wilko","9.9CM","65.8CM","7.6CM","Towel Rails and Hooks","Single","White","1",NA,NA,NA,NA,NA,NA,1
