"PSA_1","PSA_2","Article","Web Description","DQ Score"
"HOM","CHI","432844","Football Illumi Mate",0.783333333333333
"HOM","CUR","421925","Seattle Eyelet Lined Curtains Natural 122 x 137cm",0.8
"HOM","CUR","421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm",0.8
"HOM","CUR","421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm",0.8
"HOM","CUR","421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm",0.8
"HOM","CUR","421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm",0.8
"HOM","FUR","a100007","Keswick Mattress Rolled Single",0.9
"HOM","FUR","a100008","Keswick Mattress Rolled Double",0.9
"HOM","FUR","a100089","Comfort Express Rolled Mattress Double",0.9
"HOM","FUR","a200001","York Mattress Medium Firm Single",0.9
"HOM","FUR","a200002","York Mattress Medium Firm Double",0.9
"HOM","FUR","a200003","York Mattress Medium Firm Kingsize",0.9
"HOM","FUR","a200004","Henley Trizone Deluxe Mattress Single",0.9
"HOM","FUR","a200005","Henley Trizone Deluxe Mattress Double",0.9
"HOM","FUR","a200069","Blythe Memory Foam No Turn Mattress Double",0.841666666666667
"HOM","FUR","p200147","Vogue Sofa White",0.95
