"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOM","BAT","249481","Wilko Glass Shelf Victoria Range","Wilko","14.6CM","63.0CM","7.1CM","Bathroom Shelves","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","249482","Wilko Robe Hook White Victoria Range","Wilko","13.0CM","8.0CM","8.1CM","Towel Rails and Hooks","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249483","Wilko Glass Tumbler Victoria Range","Wilko","12.2CM","13.3CM","7.7CM","Tumblers","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249529","Wilko Towel Bar White Victoria Range","Wilko","9.9CM","65.8CM","7.6CM","Towel Rails and Hooks","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249530","Wilko Toilet Roll Holder Victoria Range","Wilko","12.5CM","16.0CM","7.0CM","Toilet Roll Holders","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249531","Wilko Towel Ring Victoria Range","Wilko","18.0CM","15.5CM","6.5CM","Towel Rails and Hooks","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","271434","Wilko Under Basin Storage Unit Chrome Plated","Wilko","62.0CM","53.5CM","35.0CM","Under Basin Units","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","271504","Wilko Electronic Glass Bathroom Scales","Wilko","2.7CM","29.0CM","28.0CM","Bathroom Scales","Single","Clear",NA,NA,NA,NA,"Battery",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","271542","Wilko Personal Mechanical Bathroom Scales Black","Wilko","6.0CM","33.0CM","32.0CM","Bathroom Scales","Single","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","271550","Wilko Tongue and Groove Effect Toilet Seat White","Wilko","45.8CM","37.0CM","6.0CM","Toilet Seats","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","272455","Wilko Toilet Brush Holder Stainless Steel","Wilko","38.5CM","9.8CM","9.8CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","272464","Wilko Bathroom Corner Unit 2 Tier Chrome Plated","Wilko","40.0CM","19.0CM","19.0CM","Bathroom Small Storage","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","272465","Wilko Shower Caddy 3 Tier Chrome Effect","Wilko","46.5CM","22.5CM","12.0CM","Wall Units","12 x 22.5 x 46.5cm","Silver","1","Iron",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","272536","Wilko Self Adhesive Mirror Tiles 30 x 30cm 4pk","Wilko","30.4CM","30.4CM","2.0CM","Bathroom Mirrors","30x30cm",NA,"4pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","272537","Wilko Rectangular Mirror 25 x 35cm","Wilko","35.1CM","25.1CM","1.4CM","Bathroom Mirrors","25x35cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","273034","Wilko Electronic Bathroom Scales Black Glass","Wilko","2.7CM","31.7CM","32.2CM","Bathroom Scales","Single","Black",NA,NA,NA,NA,"Battery",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","273104","Wilko Modular Rail for Showers Polished Aluminium","Wilko","2.3CM","270.0CM","2.3CM","Shower Curtain Rails","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","273186","Wilko Natural Woven Rectangular Laundry BasketLarge","Wilko","56.7CM","47.0CM","36.5CM","Laundry Baskets","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298357","Wilko Free Standing Mirror Chrome andCrystal Effect","Wilko","30.0CM","12.0CM","12.0CM","Bathroom Mirrors","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298519","Wilko Ceramic Soap Dispenser White","Wilko","15.8CM","7.7CM","10.0CM","Soap Dispenser","6.5cm x 6.5cm x 15.5cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298521","Wilko Ceramic Tumbler White","Wilko","9.5CM","7.6CM","7.6CM","Tumblers","6.5 cm x 6.5 cm x 9.5 cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298522","Wilko Ceramic Soap Dish White","Wilko","3.0CM","11.4CM","11.4CM","Soap Dish","12 cm x 7.8 cm x 3 cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298523","Wilko Toilet Brush with Chrome Handle White","Wilko","32.0CM","9.5CM","9.5CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","298738","Wilko Free Standing Storage Unit 3 Tier White","Wilko","75.0CM","24.6CM","18.5CM","Storage Tower","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","298784","Wilko Laundry Basket Silver Plastic 45L","Wilko","54.0CM","40.0CM","32.0CM","Laundry Baskets","45L","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","310229","Wilko Shower Curtain Blue White and Aqua Stripe","Wilko","30.5CM","14.0CM","4.0CM","Shower Curtains","180cm x180cm","Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310230","Wilko Shower Curtain Naturals Stripe","Wilko","30.5CM","14.0CM","4.0CM","Shower Curtains","180cm x180cm","Cream",NA,NA,NA,NA,NA,NA,"Painted Paper",NA,NA,1
"HOM","BAT","310276","Wilko Transparent Pebble Bath Mat","Wilko","42.0CM","9.5CM","6.5CM","Bath Mats","35x70cm","Clear",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,NA,1
"HOM","BAT","310280","Wilko Bath Mat Non Slip Rubber White","Wilko","40.5CM","7.0CM","7.0CM","Bath Mats","40x70cm","White",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,NA,1
"HOM","BAT","310281","Wilko Bath Mat Non Slip Rubber Cream","Wilko","40.5CM","7.0CM","7.0CM","Bath Mats","40x70cm","Cream",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,NA,1
