"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Washable","Coverage","Pack Qty","Capacity","Power","Model Number","Age","DQ Score"
"HOM","BAT","347937","Croydex Bath Mat","Croydex","Bath Mats","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","423312","Croydex Sparkle Toilet Seat","Croydex","Toilet Seats",NA,"34cm x 42cm",NA,"Resin",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","423313","Croydex Rust Free Shower Caddy","Croydex","Shower Caddy",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9125
"HOM","BAT","423314","Croydex Foster Sit Tight Toilet Seat White","Croydex","Toilet Seats",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.825
"HOM","BAT","452659","Croydex Toilet Seat White Sparkle","Croydex","Toilet Seats",NA,"44x37x5cm",NA,"Resin, Zinc",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","452661","Croydex Corner Basket Rust Free","Croydex","Shower Caddy",NA,"16.5x28x6cm",NA,"Rust Free Mild Steel",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310595","Weight Watchers Body Analysis Slim Glass PlatformScales","Weight Watchers","Bathroom Scales","White","Single",NA,NA,NA,NA,NA,NA,"Battery",NA,NA,0.941666666666667
"HOM","BAT","345008","Weight Watchers Electric Glass Scales Ultra Slim","Weight Watchers","Bathroom Scales","Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","194334","Wilko Floor Tidy Chrome Plated","Wilko","Storage Tower","Metal","Single",NA,"Iron",NA,NA,"1",NA,NA,NA,NA,0.95
"HOM","BAT","212343","Wilko Pedestal and Bath Mat Set Violet","Wilko","Pedestal Set","Purple",NA,NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","224917","Wilko Toilet Seat White","Wilko","Toilet Seats","White","5.4 x 37.5 x 45.2",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","249481","Wilko Glass Shelf Victoria Range","Wilko","Bathroom Shelves","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","271504","Wilko Electronic Glass Bathroom Scales","Wilko","Bathroom Scales","Clear","Single",NA,NA,NA,NA,NA,NA,"Battery",NA,NA,0.941666666666667
