"Article","Web Description","Brand","Type","Colour","Pack Qty","DQ Score"
"270029","Wilko Foil Banner Birthday Girl 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"270030","Wilko Banner Birthday Boy 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"270561","Wilko Foil Banner Happy Birthday 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298056","Wilko Banner 1st Birthday Pink 3.6m","Wilko","Birthday Banners",NA,"1",0.9125
"298057","Wilko Banner 1st Birthday Blue 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298058","Wilko Banner 18th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298059","Wilko Banner Happy 21st Birthday 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298060","Wilko Banner 30th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298061","Wilko Banner 40th Birthday 3.6m","Wilko","Birthday Banners",NA,NA,0.825
"298062","Wilko Banner Happy 50th Birthday 3.6m","Wilko","Birthday Banners",NA,"1",0.9125
"298063","Wilko Banner Happy 60th Birthday  3.6m","Wilko","Birthday Banners",NA,NA,0.825
