"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"DIY","TOO","208402","Wilko Paint and Rust Remover Wheel 100mm","Wilko","100mm",NA,NA,NA,0.86
"DIY","TOO","208404","Wilko Flap Disc 115mm","Wilko","115mm",NA,NA,NA,0.86
"DIY","TOO","208892","Wilko Wire Brush Set 6mm","Wilko","6mm",NA,"2pk",NA,0.93
"DIY","TOO","208893","Wilko Mounted Stone Set 5piece","Wilko",NA,NA,"5pcs",NA,0.86
"DIY","TOO","208894","Wilko Metal Grinding Wheel 115mm","Wilko","115mm",NA,NA,NA,0.86
"DIY","TOO","208895","Wilko Cutting Wheel for Metal 115mm","Wilko","115mm",NA,NA,NA,0.86
"DIY","TOO","208896","Wilko Stone Cutting Wheel 115mm","Wilko","115mm",NA,"1",NA,0.93
"DIY","TOO","208898","Wilko Flap Wheel 60 x 30mm","Wilko","60mmx30mm",NA,NA,NA,0.86
"DIY","TOO","208900","Wilko Wire Cup Brush 32mm","Wilko","32mm",NA,NA,NA,0.86
"DIY","TOO","208901","Wilko Wire Cup Brush 75mm","Wilko","75mm",NA,"1",NA,0.93
"DIY","TOO","208902","Wilko Brush Wire Wheel 75mm","Wilko","75mm",NA,NA,NA,0.86
"DIY","TOO","208903","Wilko Masonry Cutting Wheel 125mm","Wilko","125mm",NA,"1",NA,0.93
"DIY","TOO","286616","Wilko Wire Brush Wheel 100mm","Wilko","4in",NA,NA,NA,0.86
"DIY","TOO","286642","Wilko Drill Bit High Speed Steel 1.5mm 2pk","Wilko","1.5mm",NA,"2pk",NA,0.93
"DIY","TOO","286643","Wilko Drill Bit High Speed Steel 2.5mm 2pk","Wilko","2.5mm",NA,"2pk",NA,0.93
"DIY","TOO","286644","Wilko Drill Bit High Speed Steel 3.2mm 2pk","Wilko","3.2mm",NA,"2pk",NA,0.93
"DIY","TOO","286645","Wilko Drill Bit High Speed Steel 4mm 2pk","Wilko","4mm",NA,"2pk",NA,0.93
"DIY","TOO","286646","Wilko Drill Bit High Speed Steel 4.8mm 2pk","Wilko","4.8mm",NA,"2pk",NA,0.93
"DIY","TOO","286647","Wilko Drill Bit High Speed Steel 5.5mm 2pk","Wilko","5.5mm",NA,"2pk",NA,0.93
"DIY","TOO","286648","Wilko Steel Twist Drill High Speed 6.5mm 2pk","Wilko","6.5mm",NA,"2pk",NA,0.93
"DIY","TOO","286649","Wilko Drill Bit High Speed Steel 10mm","Wilko","10mm",NA,NA,NA,0.86
"DIY","TOO","286650","Wilko Drill Bit Masonry No.6  4mm 2pk","Wilko","4mm",NA,NA,NA,0.86
"DIY","TOO","286651","Wilko Drill Bit Masonry No.8  4.5mm 2pk","Wilko","4.5mm",NA,"2",NA,0.93
"DIY","TOO","286652","Wilko Drill Bit Masonry No.10  5.5mm 2pk","Wilko","5.5mm",NA,"2",NA,0.93
"DIY","TOO","286653","Wilko Drill Bit Masonry No.11 6mm 2pk","Wilko","6mm",NA,"2",NA,0.93
"DIY","TOO","286654","Wilko Drill Bit Masonry No.12 6.5mm 2pk","Wilko","6.5mm",NA,"2",NA,0.93
"DIY","TOO","286655","Wilko Drill Bit Masonry No.14 7mm 2pk","Wilko","7mm",NA,"2",NA,0.93
"DIY","TOO","286656","Wilko Drill Bit Masonry No.16  8mm","Wilko","8mm",NA,"1",NA,0.93
"DIY","TOO","286657","Wilko Drill Bit Masonry No.21 10mm","Wilko","10mm",NA,NA,NA,0.86
"DIY","TOO","286660","Wilko Masonry Drill Bit No. 21 10 x 400mm","Wilko","10mm",NA,NA,NA,0.86
"DIY","TOO","286661","Wilko Masonry Drill Bit No. 26 16 x 400mm","Wilko","16mm",NA,NA,NA,0.86
"DIY","TOO","286662","Wilko Flat Wood Bit 13mm","Wilko","13mm",NA,NA,NA,0.86
"DIY","TOO","286663","Wilko Drill Bit Flat Wood 16mm","Wilko","16mm",NA,"1",NA,0.93
"DIY","TOO","286677","Wilko Drill Bit Flat Wood 20mm","Wilko","20mm",NA,NA,NA,0.86
"DIY","TOO","286678","Wilko Drill Bit Flat Wood 22mm","Wilko","22mm",NA,"1",NA,0.93
"DIY","TOO","286679","Wilko Drill Bit Flat Wood 25mm","Wilko","25mm",NA,NA,NA,0.86
"DIY","TOO","286680","Wilko Drill Bit Flat Wood 32mm","Wilko","32mm",NA,"1",NA,0.93
"DIY","TOO","289368","Wilko High Speed Twist Drill Bit Set 19 Piece","Wilko","19Piece",NA,"19pcs",NA,0.93
"DIY","TOO","289369","Wilko High Speed Twist Drill Bit Set 6piece","Wilko","6Piece",NA,"6pcs",NA,0.93
"DIY","TOO","289370","Wilko Masonry Drill Bit Set 5piece","Wilko",NA,NA,"5pcs",NA,0.86
"DIY","TOO","344121","Wilko Hss Drill Set 25pieces","Wilko",NA,NA,"25pcs",NA,0.86
"DIY","TOO","344123","Wilko Screwbit Set 100 Piece","Wilko",NA,NA,"100pcs",NA,0.86
