"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","CHI","340703","Wilko Snuggle Throw Duck Egg Blue 100 x 150cm","Wilko","100 x 150cm","Blue",NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","CHI","341201","Wilko Snuggle Throw Blue 100 x 150cm","Wilko","100 x 150cm","Blue",NA,"100% Polyester",NA,NA,NA,NA,NA,0.9
"HOM","CHI","341572","Wilko Snuggle Throw Red 100 x 150cm","Wilko","100 x 150cm","Red",NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","CHI","410454","Wilko Snuggle Throw Lilac 100 x 150cm","Wilko","100 x 150cm","Purple","1",NA,NA,NA,NA,NA,NA,0.9
"HOM","COO","417725","Wilko Fleece Heart Design Red 125 x 150cm","Wilko","125 x 150cm",NA,"1","100% Polyester",NA,"Wash at 40",NA,NA,NA,0.95
"HOM","COO","417726","Wilko Fleece Heart Design Beige 125 x 150cm","Wilko","125 x 150cm",NA,"1","100% Polyester",NA,"Wash at 40",NA,NA,NA,0.95
"HOM","COO","417727","Wilko Fleece Star Design Grey 125 x 150cm","Wilko","125 x 150cm",NA,"1","100% Polyester",NA,"Wash at 40",NA,NA,NA,0.95
"HOM","COO","417728","Wilko Ultra Soft Throw Red 120 x 150cm","Wilko","120 x 150cm",NA,"1","100% Polyester","No","Hand Wash Only",NA,NA,NA,0.65
"HOM","COO","417729","Wilko Ultra Soft Throw Cream 120 x 150cm","Wilko","120 x 150cm","Cream",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","COO","417730","Wilko Ultra Soft Throw Silver 120 x 150cm","Wilko","120 x 150cm",NA,"1","100% Polyester","No","Hand Wash Only",NA,NA,NA,0.65
"HOM","CUT","418391","Wilko Faux Fur Throw 125 x 150cm","Wilko","125 x 150cm",NA,"1",NA,"No",NA,NA,NA,NA,0.65
"HOM","CUT","446571","Wilko Hearts Fleece Throw 125 x 150cm","Wilko","125 x 150cm","Multi",NA,NA,"No",NA,NA,NA,NA,0.941666666666667
"HOM","CUT","455741","Wilko Geo Throw 125 x 150cm","Wilko","125 x 150cm","Grey","1","100% Acrylic","No","Wash at 30",NA,NA,NA,0.65
"HOM","DUV","311016","Wilko Fleece Throw Red 122 x 152cm","Wilko","122 x 152cm","Red","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","DUV","311446","Wilko Fleece Throw Grey 122 x 152cm","Wilko","122 x 152cm","Grey",NA,"100% Polyester",NA,"Washable",NA,NA,NA,0.95
"HOM","DUV","311448","Wilko Fleece Throw Cream 122 x 152cm","Wilko","122 x 152cm","Cream","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","DUV","438065","Wilko Faux Fur Print Throw Grey 150 x 200cm","Wilko","150 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,0.85
"HOM","DUV","438066","Wilko Faux Fur Print Throw Natural 150 x 200cm","Wilko","150 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,0.85
"HOM","DUV","441302","Wilko Duvet Set Checked Design Red Single","Wilko","135x200cm/50x75cm 1PC",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441303","Wilko Duvet Set Double Check Design Red","Wilko","200x200cm/50x75cm 2PCS",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441304","Wilko Red Check Duvet King","Wilko","230x220cm/50x75cm 2PCS",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441305","Wilko Cushion Check Design Red 43 x 43cm","Wilko","43 x 43cm",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441306","Wilko Throw Red Check 150 x 200cm","Wilko","150 x 120cm",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441307","Wilko Duvet Set Single Scandi PrintRed and Blue","Wilko","135x200cm/50x75cm 1PC",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441308","Wilko Duvet Set Double Scandi Print Red and Blue","Wilko","200x200cm/50x75cm 2PCS",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441309","Wilko Duvet Set King Scandi Print Red and Blue","Wilko","230x220cm/50x75cm 2PCS",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441310","Wilko Scandi Print Cushion 43 x 43cm","Wilko","43 x 43cm",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441311","Wilko Scandi Print Throw 150 x 200cm","Wilko","150 x 200cm",NA,"1","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","441323","Wilko Christmas Character Duvet Set Single","Wilko","135x200cm/50x75cm 1PC",NA,"2","100% Polyester","No","Wash at 40",NA,NA,NA,0.65
"HOM","DUV","456458","Wilko Chenille Throw Soft Pink 125 x 150cm","Wilko","125x150cm","Pink","1","100% Polyester",NA,"Wash at 30",NA,NA,NA,1
"HOM","DUV","456459","Wilko Chenille Throw Navy Blue 125 x 150cm","Wilko","125 x 150cm",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456460","Wilko Chenille Throw Grey 125 x 150cm","Wilko","120X150CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456461","Wilko Crushed Velvet Effect CushionBlack 30 x 50cm","Wilko","30X50CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456462","Wilko Crushed Velvet Effect CushionSilver 30 x 50cm","Wilko","30X50CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456463","Wilko Crushed Velvet Effect CushionGold 30 x 50cm","Wilko","30X50CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456464","Wilko Crushed Velvet Effect ThrowSilver 150 x 200cm","Wilko","150X200CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","456465","Wilko Faux Fur Throw Cream 150 x 200cm","Wilko","150X200CM",NA,"1","100% Polyester",NA,"Wash at 30",NA,NA,NA,0.95
"HOM","DUV","426766","Wilko Chenille Throw Teal 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426771","Wilko Chenille Throw Cream 125 x 150cm","Wilko Functional","125 x 150cm","Cream","1",NA,NA,NA,NA,NA,NA,0.85
"HOM","DUV","426819","Wilko Chenille Throw Taupe 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426824","Wilko Chenille Throw Black 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426873","Wilko Chenille Throw Chocolate 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426878","Wilko Chenille Throw Red 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","428255","Wilko Teddy Throw Brown 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,"No",NA,NA,NA,NA,0.6
"HOM","DUV","428256","Wilko Teddy Throw Mink and Latte 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","428257","Wilko Teddy Throw Black 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,0.8
"PET","BED","190153","Wilko Dog Blanket  Fleece Assorted Colours 120 x120cm","Wilko","120x120cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"PET","GEN","439383","Wilko Pet Blanket Assorted 75x110cm","Wilko","75x110CM","Multi","1","100% Polyester","No","Wash at 30","N/A","N/A","N/A",0.65
