"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Coverage","DQ Score"
"DEC","PAS","341561","Wilko Plastic Paste Table","Wilko",NA,NA,"1",NA,0.8
"DEC","PRP","343136","Wilko Protective Dustsheet 2.4 x 3.6m","Wilko","2.4x3.6m",NA,NA,NA,0.8
"DEC","PRP","344321","Wilko Tarpaulin 2mx1.35m","Wilko","2.3mx1.35m",NA,NA,NA,0.8
"DEC","PRP","344322","Wilko Tarpaulin 3.5m x 2.6m","Wilko","3.65x2.74m",NA,"1",NA,0.85
"DEC","PRP","343156","Wilko Best Laminated Cotton Dust Sheet","Wilko Best",NA,NA,"1",NA,0.8
"DEC","PRP","343139","Wilko Functional Protection Roll 2 x 50m","Wilko Functional","2M x 50M",NA,"1",NA,0.85
"DEC","PRP","343811","Wilko Polythene Dust Sheet 12x9ft","Wilko Functional","12x9ft",NA,"1",NA,0.8
"DEC","ROL","418559","Harris No Loss Evolution Paint Brush 0.5in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418560","Harris No Loss Evolution Paint Brush 1in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418562","Harris No Loss Evolution Paint Brush 1.5in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418563","Harris No Loss Evolution Paint Brush 2in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418564","Harris No Loss Evolution Paint Brush 3in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418565","Harris No Loss Evolution Paint Brush 4in","Harris",NA,NA,"1",NA,0.825
"DEC","ROL","418566","Harris No Loss Evolution Paint Brush Set 3pcs","Harris",NA,NA,"3",NA,0.825
"DEC","ROL","418567","Harris No Loss Evolution Paint Brush Set 5 Piece","Harris",NA,NA,"5",NA,0.825
"DEC","ROL","419392","Harris Powercoat Roller Sleeve and Extension Pole9in","Harris","9in",NA,NA,NA,0.766666666666667
"DEC","ROL","419393","Harris Powercoat Roller Set 9in","Harris","9in",NA,NA,NA,0.825
"DEC","ROL","419394","Harris Powercoat Replacement Roller Sleeve 9in","Harris","9in",NA,NA,NA,0.825
"DEC","ROL","419395","Harris Powercoat Jumbo Mini Roller Set 4in","Harris","4in",NA,NA,NA,0.825
"DEC","ROL","419396","Harris Powercoat Jumbo Mini Replacement Sleeves","Harris",NA,NA,NA,NA,0.766666666666667
"DEC","ROL","445633","Harris Taskmaster Decorating Set 10pcs","Harris",NA,"Black","10pk",NA,0.883333333333333
"DEC","ROL","453054","Harris Masonry Roller Extendable Pole 9in","Harris","9in Roller Frame and Sleeve, 1-2m Extension Pole",NA,"1",NA,0.883333333333333
"DEC","ROL","288309","Wilko Comfy Grip Shed/Fence Block Brush","Wilko","130mm","Multi","1",NA,0.941666666666667
"DEC","ROL","288317","Wilko Paint Kettle 2L","Wilko","2L",NA,"1",NA,1
"DEC","ROL","343090","Wilko Roller and Tray 9in","Wilko","9in",NA,"1",NA,0.883333333333333
"DEC","ROL","343094","Wilko Roller Kit 4in","Wilko","4in",NA,NA,NA,0.825
"DEC","ROL","343098","Wilko Masonry Kit","Wilko","9in","Multi","1",NA,0.941666666666667
"DEC","ROL","343108","Wilko Long Armstick Roller Frame 4in","Wilko","4in",NA,NA,NA,0.825
"DEC","ROL","343110","Wilko Smooth Sleeve 9in","Wilko","9in",NA,"1",NA,0.883333333333333
"DEC","ROL","343111","Wilko Rough Sleeve 9in","Wilko","9in",NA,"1",NA,0.883333333333333
"DEC","ROL","343129","Wilko Paint Tray 9in","Wilko","9in",NA,NA,NA,0.825
"DEC","ROL","343158","Wilko Scuttle Capacity 15L","Wilko","15L",NA,NA,NA,0.825
"DEC","ROL","344319","Wilko Masonry Sleeve 9in","Wilko","9in",NA,NA,NA,0.825
"DEC","ROL","344909","Wilko Paint Pad Set","Wilko","3 Pack",NA,"1",NA,0.883333333333333
"DEC","ROL","344912","Wilko Paint Pad Large","Wilko","Large",NA,"1",NA,0.883333333333333
"DEC","ROL","344913","Wilko Paint Pad with Handle Large","Wilko","Large",NA,"1",NA,0.883333333333333
"DEC","ROL","450631","Wilko Paint Roller Sleeve Smooth Finish Emulsion 9in 3pk","Wilko","9in Roller Sleeve",NA,"3pk","N/A",0.941666666666667
"DEC","ROL","450632","Wilko Paint Roller Extendable Pole 9in","Wilko","1 to 2m Pole 9in Frame/Sleeve",NA,"1","N/A",0.941666666666667
"DEC","ROL","450633","Wilko Paint Roller Kit Small Spaces 6 Piece","Wilko","7in Tray; 4in Roller Set",NA,"6pcs","N/A",0.941666666666667
