"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Model Number","DQ Score"
"SBK","COM","332288","Sandisk USB Stick 16GB","SanDisk","16GB",NA,"1","No","16Gb",NA,0.65
"SBK","COM","332289","Sandisk USB Stick 32GB","SanDisk","32GB",NA,NA,"No",NA,NA,0.65
"SBK","COM","439533","SanDisk 16GB Ultra USB 3.0 Flash Drive","SanDisk",NA,"Black","1","No",NA,"SDCZ48-016G-U46",0.65
"SBK","COM","439534","SanDisk 32GB Ultra USB 3.0 Flash Drive","SanDisk",NA,"Black","1","No",NA,"SDCZ48-032G-U46",0.65
"SBK","COM","439535","SanDisk 64GB Ultra USB 3.0 Flash Drive","SanDisk",NA,"Black","1","No",NA,"SDCZ48-064G-U46",0.65
"SBK","COM","439543","SanDisk 64GB Ultra Dual USB 3.0 Drive","SanDisk",NA,"Black","1","No",NA,"SDDD2-064G-G46",0.65
