"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","100","453915","Bob Martin Clear 3 in 1 Dewormer Dogs - 2 Tablets","Bob Martin","2pk","1",1
"PET","100","453916","Bob Martin Clear 3 in 1 Dewormer Dogs - 4 Tablets","Bob Martin","4pk","1",1
"PET","100","453917","Bob Martin Clear 2 in 1 Dewormer Cats - 2 Tablets","Bob Martin","BM Clear 2 in 1 Dewormer Cats x 2 tabs","1",1
"PET","CAT","248796","Bob Martin Spot On Dewormer 2 x 20mg","Bob Martin","20mg","2",1
"PET","CAT","295055","Bob Martin Spot On Flea Clear Treatment 2pk","Bob Martin","50mg","2",0.93
"PET","CAT","411310","Bob Martin Cat Flea Care Tablets","Bob Martin","3x 11.4mg","1",0.93
"PET","CAT","428891","Bob Martin Clear Home Flea and Tick Spray 300ml","Bob Martin","300ml","1",1
"PET","CAT","453815","Wilko Fipronil Cat Spot On 3 Tube","Wilko","2cm x 8.5cm x 14cm","1",1
"PET","CAT","453819","Wilko Cat Spot On Flea Repellent 2 Tubes","Wilko","2pk","1",1
"PET","DOG","453826","Bob Martin Pouch Jelly Multipack 12x100g","Bob Martin","12 x 100g","12",1
"PET","DOG","453827","Bob Martin Pouch Gravy Multipack 12x100g","Bob Martin","12 x 100g","12",1
"PET","DOG","453828","Bob Martin Pouch Gravy Multipack Meat Mix 12x100g","Bob Martin","12 x 100g","12",1
"PET","GEN","122026","Bob Martin Vetzyme Cond Tabs 240pk","Bob Martin",NA,"240pk",0.86
"PET","GEN","336186","Bob Martin FleaClear Spot On Solution for Small Dogs 67mg","Bob Martin","67ml","1",0.93
"PET","GEN","336187","Bob Martin FleaClear Spot On Solution for Medium Dogs 134mg","Bob Martin","134mg","1",0.93
"PET","GEN","336188","Bob Martin FleaClear Spot On Solution for Large Dogs 268mg","Bob Martin","268mg","1",0.93
"PET","GEN","64424","Vitapet Dog Conditioner 150ml","Vitapet",NA,NA,1
"PET","GEN","453816","Wilko Fipronil Small Dog Spot On 3 Tube","Wilko","3pk","1",1
"PET","GEN","453817","Wilko Medium Dog Spot On 3pk","Wilko","3pk","1",1
"PET","GEN","453818","Wilko Large Dog Spot On 3pk","Wilko","3pk","1",1
"PET","GEN","453820","Wilko Dog Spot On Flea Repellent 2 Tubes","Wilko","2pk","1",1
"PET","LIT","194930","Bob Martin Cat Litter Crystals Silicia 3.8L","Bob Martin","3.8L","1",0.93
"PET","LIT","411308","Bob Martin Cat Litter Antibacterial 10L","Bob Martin","10L","1",0.93
"PET","LIT","428893","Bob Martin Cat Litter Freshener 400g","Bob Martin","400g","1",0.93
"PET","LIT","453825","Wilko Cat Litter Concrete Mineral 10L","Bob Martin","10L","1",0.88
"PET","LIT","121972","Wilko Cat Litter Fullers Earth Clumping 10L","Wilko","10L","1",0.93
"PET","LIT","419227","Wilko Cat Litter Lightweight 10L","Wilko","10 litre","1",0.93
"PET","LIT","434324","Wilko Cat Litter Ultra Clumping 5L","Wilko","5L","5L",0.93
"PET","LIT","287684","Wilko Functional Cat Litter 8L","Wilko Functional","8L",NA,0.86
